"AHLE","Production system","Age class","Cause","median","mean","sd","lower95","upper95"
"Production loss","Crop livestock mixed","Juvenile","Non-infectious",6768612856.35093,6791098841.27358,924405860.611726,6733804625.24955,6848393057.29762
"Production loss","Crop livestock mixed","Neonate","External",2339869136.1587,2366492104.48423,449920325.20057,2338606266.23501,2394377942.73345
"Production loss","Crop livestock mixed","Neonate","Infectious",5221765813.37985,5265807910.79147,748350088.09082,5219425544.08914,5312190277.49381
"Production loss","Crop livestock mixed","Neonate","Non-infectious",3000235150.54395,3027127007.51936,505845463.024302,2995774957.00973,3058479058.02899
"Production loss","Pastoral","Adult female","External",1975260772.71716,1991986554.64932,446545343.833865,1964309896.06863,2019663213.23002
"Production loss","Pastoral","Adult female","Infectious",3232858686.73552,3238381804.00969,666080333.38187,3197098475.8351,3279665132.18427
"Production loss","Pastoral","Adult female","Non-infectious",2052954211.39704,2066569450.95727,458826631.719717,2038131604.25438,2095007297.66017
"Production loss","Pastoral","Adult male","External",2912064869.90695,2946031936.92644,628397120.392625,2907084195.57305,2984979678.27982
"Production loss","Pastoral","Adult male","Infectious",4121014416.41572,4163130297.92311,806029732.844003,4113172975.49246,4213087620.35376
"Production loss","Pastoral","Adult male","Non-infectious",2810540949.6314,2846129377.81266,590740534.12034,2809515572.96978,2882743182.65553
"Production loss","Pastoral","Juvenile","External",3299522030.92862,3304804553.1909,514419188.551932,3272921107.43224,3336687998.94957
"Production loss","Pastoral","Juvenile","Infectious",5940979619.93661,5926164691.14691,694770144.269302,5883103182.74574,5969226199.54807
"Production loss","Pastoral","Juvenile","Non-infectious",3434598452.44071,3466378489.91812,489419316.014281,3436044523.84017,3496712455.99608
"Production loss","Pastoral","Neonate","External",2621838386.92961,2630279214.59835,457420571.7376,2601928514.79466,2658629914.40203
"Production loss","Pastoral","Neonate","Infectious",5287578559.10498,5308195924.63321,686590036.029031,5265641415.27715,5350750433.98927
"Production loss","Pastoral","Neonate","Non-infectious",2704792429.31687,2708395907.27992,431110722.31079,2681675878.87378,2735115935.68607
