production_system,group,age_group,sex,ahle_component,cause,disease,median,mean,sd,lower95,upper95,pct_of_total,exchg_rate_lcuperusdol,mean_usd,median_usd,lower95_usd,upper95_usd,sd_usd
Pastoral,Adult female,Adult,Female,Mortality,External,Cause 2,290193270.21695197,293541643.926184,98862657.5403452,99770835.1471074,487312452.70526063,0.1636856730455819,29.06975,10097838.609763896,9982654.48505584,3432118.7883317675,16763558.431196025,3400877.459914351
Pastoral,Adult female,Adult,Female,Mortality,External,Cause 3,290193270.21695197,293541643.926184,98862657.5403452,99770835.1471074,487312452.70526063,0.1636856730455819,29.06975,10097838.609763896,9982654.48505584,3432118.7883317675,16763558.431196025,3400877.459914351
Pastoral,Adult female,Adult,Female,Mortality,External,Cause 4,290193270.21695197,293541643.926184,98862657.5403452,99770835.1471074,487312452.70526063,0.1636856730455819,29.06975,10097838.609763896,9982654.48505584,3432118.7883317675,16763558.431196025,3400877.459914351
Pastoral,Adult female,Adult,Female,Mortality,External,Cause 5,290193270.21695197,293541643.926184,98862657.5403452,99770835.1471074,487312452.70526063,0.1636856730455819,29.06975,10097838.609763896,9982654.48505584,3432118.7883317675,16763558.431196025,3400877.459914351
Pastoral,Adult male,Adult,Male,Mortality,External,Cause 1,152137601.90640742,151795004.4296042,99151501.819904,-42541939.13740763,346131947.996616,0.08464443794988408,29.06975,5221751.285429156,5233536.645702403,-1463443.5843929732,11906946.155251283,3410813.709092923
Pastoral,Adult male,Adult,Male,Mortality,External,Cause 2,152137601.90640742,151795004.4296042,99151501.819904,-42541939.13740763,346131947.996616,0.08464443794988408,29.06975,5221751.285429156,5233536.645702403,-1463443.5843929732,11906946.155251283,3410813.709092923
Pastoral,Adult male,Adult,Male,Mortality,External,Cause 3,152137601.90640742,151795004.4296042,99151501.819904,-42541939.13740763,346131947.996616,0.08464443794988408,29.06975,5221751.285429156,5233536.645702403,-1463443.5843929732,11906946.155251283,3410813.709092923
Pastoral,Adult male,Adult,Male,Mortality,External,Cause 4,152137601.90640742,151795004.4296042,99151501.819904,-42541939.13740763,346131947.996616,0.08464443794988408,29.06975,5221751.285429156,5233536.645702403,-1463443.5843929732,11906946.155251283,3410813.709092923
Pastoral,Adult male,Adult,Male,Mortality,External,Cause 5,152137601.90640742,151795004.4296042,99151501.819904,-42541939.13740763,346131947.996616,0.08464443794988408,29.06975,5221751.285429156,5233536.645702403,-1463443.5843929732,11906946.155251283,3410813.709092923
Pastoral,Juvenile,Juvenile,Overall,Mortality,External,Cause 1,183343579.8636306,184618145.9329252,87413430.82577279,13287821.514410526,355948470.35143983,0.10294738787065418,29.06975,6350868.030613446,6307022.931522652,457101.3343565227,12244634.726870367,3007023.824620879
Pastoral,Juvenile,Juvenile,Overall,Mortality,External,Cause 2,183343579.8636306,184618145.9329252,87413430.82577279,13287821.514410526,355948470.35143983,0.10294738787065418,29.06975,6350868.030613446,6307022.931522652,457101.3343565227,12244634.726870367,3007023.824620879
Pastoral,Juvenile,Juvenile,Overall,Mortality,External,Cause 3,183343579.8636306,184618145.9329252,87413430.82577279,13287821.514410526,355948470.35143983,0.10294738787065418,29.06975,6350868.030613446,6307022.931522652,457101.3343565227,12244634.726870367,3007023.824620879
Pastoral,Juvenile,Juvenile,Overall,Mortality,External,Cause 4,183343579.8636306,184618145.9329252,87413430.82577279,13287821.514410526,355948470.35143983,0.10294738787065418,29.06975,6350868.030613446,6307022.931522652,457101.3343565227,12244634.726870367,3007023.824620879
Pastoral,Juvenile,Juvenile,Overall,Mortality,External,Cause 5,183343579.8636306,184618145.9329252,87413430.82577279,13287821.514410526,355948470.35143983,0.10294738787065418,29.06975,6350868.030613446,6307022.931522652,457101.3343565227,12244634.726870367,3007023.824620879
Pastoral,Neonate,Neonatal,Overall,Mortality,External,Cause 1,357849702.217032,364769538.999266,104094408.88107261,160744497.59236372,568794580.4061683,0.20340401007168835,29.06975,12548079.670422554,12310037.142288188,5529614.034945733,19566545.305899374,3580849.814018786
Pastoral,Neonate,Neonatal,Overall,Mortality,External,Cause 2,357849702.217032,364769538.999266,104094408.88107261,160744497.59236372,568794580.4061683,0.20340401007168835,29.06975,12548079.670422554,12310037.142288188,5529614.034945733,19566545.305899374,3580849.814018786
Pastoral,Neonate,Neonatal,Overall,Mortality,External,Cause 3,357849702.217032,364769538.999266,104094408.88107261,160744497.59236372,568794580.4061683,0.20340401007168835,29.06975,12548079.670422554,12310037.142288188,5529614.034945733,19566545.305899374,3580849.814018786
Pastoral,Neonate,Neonatal,Overall,Mortality,External,Cause 4,357849702.217032,364769538.999266,104094408.88107261,160744497.59236372,568794580.4061683,0.20340401007168835,29.06975,12548079.670422554,12310037.142288188,5529614.034945733,19566545.305899374,3580849.814018786
Pastoral,Neonate,Neonatal,Overall,Mortality,External,Cause 5,357849702.217032,364769538.999266,104094408.88107261,160744497.59236372,568794580.4061683,0.20340401007168835,29.06975,12548079.670422554,12310037.142288188,5529614.034945733,19566545.305899374,3580849.814018786
Crop livestock mixed,Adult female,Adult,Female,Production loss,External,Cause 1,1556159571.227414,1575183450.78872,283994073.716666,1018555066.3040546,2131811835.273385,0.8783590630072604,29.06975,54186343.218937896,53531921.36937586,35038315.30384866,73334371.13402712,9769401.99749451
Crop livestock mixed,Adult female,Adult,Female,Production loss,External,Cause 2,1556159571.227414,1575183450.78872,283994073.716666,1018555066.3040546,2131811835.273385,0.8783590630072604,29.06975,54186343.218937896,53531921.36937586,35038315.30384866,73334371.13402712,9769401.99749451
Crop livestock mixed,Adult female,Adult,Female,Production loss,External,Cause 3,1556159571.227414,1575183450.78872,283994073.716666,1018555066.3040546,2131811835.273385,0.8783590630072604,29.06975,54186343.218937896,53531921.36937586,35038315.30384866,73334371.13402712,9769401.99749451
Crop livestock mixed,Adult female,Adult,Female,Production loss,External,Cause 4,1556159571.227414,1575183450.78872,283994073.716666,1018555066.3040546,2131811835.273385,0.8783590630072604,29.06975,54186343.218937896,53531921.36937586,35038315.30384866,73334371.13402712,9769401.99749451
Crop livestock mixed,Adult female,Adult,Female,Production loss,External,Cause 5,1556159571.227414,1575183450.78872,283994073.716666,1018555066.3040546,2131811835.273385,0.8783590630072604,29.06975,54186343.218937896,53531921.36937586,35038315.30384866,73334371.13402712,9769401.99749451
Crop livestock mixed,Adult male,Adult,Male,Production loss,External,Cause 1,255243553.640134,253125049.028162,112144123.6937104,33322566.588489622,472927531.46783435,0.14114843625148338,29.06975,8707506.91107292,8780383.513450718,1146296.97842223,16268716.843723608,3857760.16971974
Crop livestock mixed,Adult male,Adult,Male,Production loss,External,Cause 2,255243553.640134,253125049.028162,112144123.6937104,33322566.588489622,472927531.46783435,0.14114843625148338,29.06975,8707506.91107292,8780383.513450718,1146296.97842223,16268716.843723608,3857760.16971974
Crop livestock mixed,Adult male,Adult,Male,Production loss,External,Cause 3,255243553.640134,253125049.028162,112144123.6937104,33322566.588489622,472927531.46783435,0.14114843625148338,29.06975,8707506.91107292,8780383.513450718,1146296.97842223,16268716.843723608,3857760.16971974
