agesex_scenario,species,production_system,item,mean_current,stdev_current,mean_ideal,stdev_ideal,mean_mortality_zero,stdev_mortality_zero,mean_mortality_zero_j,stdev_mortality_zero_j,mean_mortality_zero_n,stdev_mortality_zero_n,mean_all_mort_25_imp,stdev_all_mort_25_imp,mean_mort_25_imp_j,stdev_mort_25_imp_j,mean_mort_25_imp_n,stdev_mort_25_imp_n,mean_all_mort_50_imp,stdev_all_mort_50_imp,mean_mort_50_imp_j,stdev_mort_50_imp_j,mean_mort_50_imp_n,stdev_mort_50_imp_n,mean_all_mort_75_imp,stdev_all_mort_75_imp,mean_mort_75_imp_j,stdev_mort_75_imp_j,mean_mort_75_imp_n,stdev_mort_75_imp_n,mean_current_growth_25_imp_all,stdev_current_growth_25_imp_all,mean_current_growth_50_imp_all,stdev_current_growth_50_imp_all,mean_current_growth_75_imp_all,stdev_current_growth_75_imp_all,mean_current_growth_100_imp_all,stdev_current_growth_100_imp_all,mean_current_repro_25_imp,stdev_current_repro_25_imp,mean_current_repro_50_imp,stdev_current_repro_50_imp,mean_current_repro_75_imp,stdev_current_repro_75_imp,mean_current_repro_100_imp,stdev_current_repro_100_imp,mean_ideal_a,stdev_ideal_a,mean_ideal_j,stdev_ideal_j,mean_ideal_n,stdev_ideal_n,mean_mortality_zero_a,stdev_mortality_zero_a,exchg_rate_lcuperusdol,mean_current_usd,mean_ideal_usd,mean_mortality_zero_usd,mean_mortality_zero_j_usd,mean_mortality_zero_n_usd,mean_all_mort_25_imp_usd,mean_mort_25_imp_j_usd,mean_mort_25_imp_n_usd,mean_all_mort_50_imp_usd,mean_mort_50_imp_j_usd,mean_mort_50_imp_n_usd,mean_all_mort_75_imp_usd,mean_mort_75_imp_j_usd,mean_mort_75_imp_n_usd,mean_current_growth_25_imp_all_usd,mean_current_growth_50_imp_all_usd,mean_current_growth_75_imp_all_usd,mean_current_growth_100_imp_all_usd,mean_current_repro_25_imp_usd,mean_current_repro_50_imp_usd,mean_current_repro_75_imp_usd,mean_current_repro_100_imp_usd,mean_ideal_a_usd,mean_ideal_j_usd,mean_ideal_n_usd,mean_mortality_zero_a_usd,stdev_current_usd,stdev_ideal_usd,stdev_mortality_zero_usd,stdev_mortality_zero_j_usd,stdev_mortality_zero_n_usd,stdev_all_mort_25_imp_usd,stdev_mort_25_imp_j_usd,stdev_mort_25_imp_n_usd,stdev_all_mort_50_imp_usd,stdev_mort_50_imp_j_usd,stdev_mort_50_imp_n_usd,stdev_all_mort_75_imp_usd,stdev_mort_75_imp_j_usd,stdev_mort_75_imp_n_usd,stdev_current_growth_25_imp_all_usd,stdev_current_growth_50_imp_all_usd,stdev_current_growth_75_imp_all_usd,stdev_current_growth_100_imp_all_usd,stdev_current_repro_25_imp_usd,stdev_current_repro_50_imp_usd,stdev_current_repro_75_imp_usd,stdev_current_repro_100_imp_usd,stdev_ideal_a_usd,stdev_ideal_j_usd,stdev_ideal_n_usd,stdev_mortality_zero_a_usd
Adult Female,Sheep,Crop livestock mixed,Wool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Cml Dry Matter,2721390538.7459,84107872.4306915,3195107540.03418,152811702.599657,2764733214.48326,86522552.6901609,2751064776.84979,84306381.368307,2808877706.02484,86458048.2784828,2724395793.84155,82557059.1429315,2711457167.90258,84195073.3490415,2741997444.09267,84177015.6812013,2735534869.58464,84252529.9613404,2728390985.12595,83655362.0978028,2767785407.98178,85323395.9097836,2745991385.27469,85704329.3217765,2742235227.13347,84321706.1483258,2783845467.4266,84407209.4374078,2710041356.2892,84625493.2049119,2718339973.99635,84248318.0652614,2709361568.73989,83570922.5475233,2700218490.23231,84660045.8284516,2784300111.50473,89100236.4049979,2849197719.94382,99756488.0885157,2914229721.39857,108784748.619014,3130597765.58949,149795585.256806,,,,,,,,,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Value of Offtake,15009208101.0913,2732181384.4016,16605798607.5139,2991715778.19222,15166410248.1849,2761879168.07622,15253901259.709,2792378928.16803,15351521802.6462,2775206005.59348,17511494616.6918,145462525.707619,17564869972.2761,146380405.579502,17601629510.2356,144456599.352542,17520642096.8168,144584477.793857,17640759163.1251,144427210.189892,17686982987.8866,144026076.959191,17549953064.9372,144745759.311581,17709673232.0198,142971755.290737,17788104307.2155,144288615.457501,15059802451.3025,2739965061.77027,15159941270.6657,2783917724.47468,15203655667.9944,2765751221.97483,15261901335.6927,2793168418.15166,15246088003.4992,2766357946.79911,15457974297.8621,2833987910.85418,15752471512.511,2841505839.18588,16454740546.25,3037956765.41018,,,,,,,,,29.06975,516317068.4677818,571239814.842367,521724825.57245594,524734518.1747005,528092666.8666294,602395776.2516637,604231889.5854316,605496418.4499557,602710449.7567677,606842479.316991,608432579.842847,603718747.6650883,609213124.709356,611911155.3149064,518057515.1593151,521502292.6122757,523006068.7826486,525009720.95366144,524465741.9998177,531754634.8992372,541885345.1615855,566043414.4170487,,,,,93987096.01567264,102915084.5188631,95008700.3870422,96057892.76371588,95467143.87270203,5003913.886690426,5035488.9732282525,4969309.999313445,4973709.020334094,4968299.011511692,4954500.020096183,4979257.107872651,4918231.332940153,4963531.349856844,94254854.67781009,95766827.1820253,95141899.12107363,96085051.23544785,95162770.46755166,97489242.62692937,97747859.51671,104505775.43357547,,,,
Adult Female,Sheep,Crop livestock mixed,Value of Herd Increase,5509953300.71815,1014945766.91029,25121638970.5303,4853851182.53874,8313306485.54128,1086735927.73174,7324068671.73848,1098927454.28589,9653486039.02483,1239976044.30293,6425696519.66986,898217939.372996,6156115681.76429,915095840.03052,6757726761.01335,910896674.774173,7121739272.13057,871064551.176979,6639349101.20422,914119519.521994,7820532680.15382,922421408.18149,7875610647.81162,879311474.844327,7085673077.9087,913946416.96658,9009294770.68707,928047661.781323,5480045521.34261,991927228.019739,5694954309.94271,1027731003.9077,5710703080.37313,1033032743.35484,5696512289.78638,1038935738.97684,8045319351.44114,1468544398.847,10530931632.2079,2077243063.93052,13067356697.4307,2707406773.02157,21160374848.7142,4571545302.13472,,,,,,,,,29.06975,189542507.27020875,864184899.0971818,285977914.68936884,251948113.4766718,332080118.99052554,221044092.90309894,211770506.5149955,232465940.05842328,244987977.9540784,228393746.11767283,269026485.6131828,270921168.83742106,243747300.12843937,309919926.0635909,188513679.04239324,195906545.80595672,196448303.83381796,195960140.34473568,276759151.7450663,362264265.50651103,449517340.10202014,727917331.5461674,,,,,34914155.33020718,166972580.86288118,37383738.344214864,37803127.10931089,42655201.51714171,30898715.653660454,31479315.78463936,31334864.413150202,29964638.5392712,31445730.338994797,31731315.480232544,30248332.88364458,31439775.60751572,31924858.72019274,34122317.11726929,35353967.74680553,35536347.69321511,35739410.864449814,50517957.631111376,71457204.27353245,93134848.87285134,157261252.75018603,,,,
Adult Female,Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,20519161401.8094,2923093862.38375,41727437578.0442,5992516305.76823,23479716733.7262,3001927816.07411,22577969931.4475,3020666294.65245,25005007841.6711,3058788716.68317,23937191136.3616,991782818.782872,23720985654.0404,1009591949.36841,24359356271.2489,1002019682.03687,24642381368.9474,963077625.508237,24280108264.3293,1006397134.55668,25507515668.0404,1015602801.2119,25425563712.7488,971391073.246331,24795346309.9285,1005155598.90025,26797399077.9026,1020259513.85,20539847972.6451,2934161791.23255,20854895580.6084,3004219674.62367,20914358748.3675,2971436010.88659,20958413625.4791,2992248610.59317,23291407354.9404,3180088573.52558,25988905930.07,3599228516.24703,28819828209.9417,4055851740.36482,37615115394.9642,5772337098.58887,,,,,,,,,29.06975,705859575.7379888,1435424713.9395487,807702740.2618254,776682631.6513729,860172785.8571573,823439869.1547605,816002396.1004275,837962358.5083773,847698427.7108471,835236225.4346632,877459065.456029,874639916.5025086,852960424.8377954,921831081.3784983,706571194.201708,717408838.418232,719454372.6164656,720969861.2983978,801224893.744886,894018900.4057482,991402685.2636057,1293960745.9632163,,,,,100554489.19869451,206142684.60403788,103266378.8327767,103910982.88263401,105222394.98733804,34117349.436540455,34729983.896263644,34469497.74376697,33129890.19541747,34620082.200799115,34936757.32374375,33415872.969197568,34577373.34859261,35096948.334609,100935226.17953543,103345218.81418554,102217460.10497476,102933413.96445343,109395112.5663475,123813535.24701898,139521383.58137995,198568515.33256635,,,,
Adult Female,Sheep,Crop livestock mixed,Value of Manure,1152283492.74417,7156510.98061672,1288701969.97198,34046755.2704465,1177697581.73778,6643630.83035009,1166071378.24249,7095507.89159037,1180446379.24714,7310852.48476533,1158022413.99884,6998584.66742363,1154934364.32168,7256713.05078478,1158395543.67381,7171872.41908094,1164434964.60253,6626024.38144463,1158436065.39836,7100505.29291216,1165256513.84845,7181225.83921039,1171093775.50781,6592791.62552732,1161742498.74232,7092157.01019478,1172849964.40019,7126466.7375196,1151559207.58756,7045390.33694715,1152566512.33187,7169452.76242932,1152304598.07651,7211500.57470961,1151845154.8302,7270947.57131944,1169977265.85484,10305493.0597585,1187437471.90449,14963338.8288913,1204794589.96341,19563931.8738253,1261295885.60475,33707184.8282877,,,,,,,,,29.06975,39638575.93354501,44331374.36586074,40512821.11947231,40112879.47926935,40607379.8105295,39835994.94315707,39729765.97052538,39848830.61167743,40056586.81627912,39850224.559838325,40084848.12729555,40285650.0488587,39963965.935115375,40346062.98300433,39613660.50920837,39648311.81320342,39639301.957413115,39623497.10025714,40247242.09375176,40847873.542238586,41444958.76171656,43388604.497966096,,,,,246184.12544369046,1171209.0840288103,228541.03768866573,244085.6179220795,251493.4763720132,240751.4570102471,249631.07872564366,246712.5592439199,227935.3754829206,244257.5286306955,247034.31708942767,226792.16799344064,243970.34753290899,245150.60286103596,242361.57300792576,246629.32300516244,248075.76861547178,250120.74652583667,354509.1739611968,514739.1645573595,672999.6602593865,1159527.853809809,,,,
Adult Female,Sheep,Crop livestock mixed,Value of Hides,34846856.469053,2061841.17931166,21811307.1052445,2053743.64538739,18103807.2445403,1311554.13758361,21564676.2852555,1634121.78045385,35667149.5695465,2143352.23124306,30923980.9568115,1777546.6726593,31903499.218975,1973310.21298243,35112677.9368956,2083935.11622347,26636572.0346994,1537447.59495821,28596232.039501,1788659.63752692,35337359.7849642,2088345.97895734,22243873.9093735,1351749.37662485,25075983.9512004,1731404.75008264,35890723.5306137,2099071.47471629,35002391.6579787,2051045.60917449,34740427.0557498,2074899.49630255,34643607.9891472,2116935.77508397,34860919.2882468,2094089.60437859,35130055.9733862,2033783.51804197,35997728.2866095,2185432.65531024,36735569.9214655,2340826.2859801,38579852.3186219,2629377.66187639,,,,,,,,,29.06975,1198732.5817749724,750309.4146060596,622771.342874992,741825.3093079748,1226950.6813628084,1063785.5831856655,1097481.031621359,1207876.845755316,916298.627772836,983710.9723854179,1215605.905966312,765189.7215962814,862614.365489913,1234641.6302380895,1204082.9954842646,1195071.4077606376,1191740.8298711616,1199216.343045496,1208474.6505692755,1238322.5960529244,1263704.3635210313,1327147.7160492232,,,,,70927.37912474858,70648.82379062049,45117.48940336982,56213.82297590623,73731.36099357787,61147.64222806526,67881.91205574283,71687.41101053398,52888.22899949982,61529.92844888312,71839.14477961937,46500.20645601872,59560.359139058295,72208.10205510161,70556.01128920923,71376.58549875903,72822.63435646918,72036.72561265886,69962.19499796077,75178.92845002934,80524.47255239896,90450.64583893532,,,,
Adult Female,Sheep,Crop livestock mixed,Value of Milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,29.06975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Adult Female,Sheep,Crop livestock mixed,Total Production Value,21706291751.0227,2925029197.35244,43037950855.1214,6018664404.30156,24675518122.7085,3003823884.87497,23765605985.9752,3022547585.16822,26221121370.4877,3060834338.39639,25126137531.3173,997866974.347393,24907823517.581,1015741421.79669,25552864492.8596,1008053487.09181,25833452905.5846,968977702.657468,25467140561.7671,1012451714.21008,26708109541.6738,1021699072.69514,26618901362.166,977332954.55851,25982164792.6221,1011201866.48521,28006139765.8334,1026275931.68842,21726409571.8906,2936035803.75213,22042202519.996,3006197430.57324,22101306954.4332,2973417499.77344,22145119699.5975,2994189479.84286,24496514676.7686,3184280031.57742,27212341130.2611,3607169608.43093,30061358369.8265,4068128949.72803,38914991132.8875,5798137006.95115,,,,,,,,,29.06975,746696884.2533115,1480506397.7200148,848838332.7241721,817537336.4399488,902007116.3490467,864339649.6811049,856829643.1025723,879019065.9658098,888671313.1548982,876070160.9668849,918759519.4892905,915690756.2729642,893787005.1384034,963411785.9917406,747388937.7063992,758252221.6391953,760285415.4037514,761792574.7416989,842680610.4892062,936105096.5440398,1034111348.3888407,1338676498.177229,,,,,100621064.7615628,207042179.73328152,103331603.63866115,103975699.31520636,105292764.41649446,34326644.51353703,34941525.87472166,34677060.76219472,33332852.97112868,34828359.86584268,35146469.18859433,33620273.80897703,34785365.07831027,35303913.232429594,100999692.24888863,103413253.65967165,102285623.36358036,103000179.90670234,109539298.80984254,124086708.98204939,139943719.83687612,199456032.7127392,,,,
Adult Female,Sheep,Crop livestock mixed,Feed Cost,3143792445.4318,149829577.151663,3662853526.20246,188022857.29878,3206697537.02352,154652263.894682,3170464433.37277,150076337.199184,3232654395.08923,150523943.212059,3145190167.2796,151218744.440075,3145128607.29945,148851038.140347,3153762966.58073,148188913.648532,3177829688.863,153242673.907033,3163866271.06957,150546321.706966,3173831962.2041,150199799.059868,3185893241.82993,154186515.447077,3174335409.80469,148248926.969885,3197139861.8509,150802647.586078,3189265521.76809,150459490.022852,3239707523.15696,151155101.985335,3289822264.79144,158432366.797726,3246199403.64143,149996333.141299,3193184950.96545,150292856.675154,3242479880.3504,156791667.659527,3301098012.22461,159407714.760672,3460595059.90011,183143963.006586,,,,,,,,,29.06975,108146525.01076892,126002236.90270676,110310461.45988597,109064041.94644846,111203377.91309626,108194606.67118225,108192489.00659448,108489511.1440838,109317406.88733134,108837065.02703223,109179885.00775205,109594793.27582556,109197203.6156035,109981677.23667732,109710799.77530216,111446005.66420282,113169953.81079783,111669326.48686108,109845628.22058842,111541374.80887865,113557839.75523044,119044541.48728867,,,,,5154140.546501535,6467990.171872135,5320041.070001703,5162629.097229389,5178026.753310882,5201927.929895339,5120478.784315208,5097701.688130514,5271551.145332622,5178796.573997576,5166876.187785173,5304019.313791038,5099766.147623733,5187614.189529597,5175809.562271846,5199738.6281387005,5450076.687887787,5159876.95598686,5170077.37167172,5393636.603669692,5483628.677944324,6300156.107520223,,,,
