"AHLE","Production system","Age class","Cause","median","mean","sd","lower95","upper95"
"Mortality","Dairy","Sub-adult","Infectious",-21661452.3768051,-8790920.69410914,3221134203.40729,-208435218.459924,190853377.071706
"Mortality","Dairy","Sub-adult","Non-infectious",-12927130.1553292,7492185.57158944,1919491052.1361,-111476916.295112,126461287.438291
"Mortality","Pastoral","Adult","External",NA,NA,NA,NA,NA
"Mortality","Pastoral","Adult","Infectious",NA,NA,NA,NA,NA
"Mortality","Pastoral","Adult","Non-infectious",NA,NA,NA,NA,NA
"Mortality","Pastoral","Juvenile","External",1499790226.69997,1488344090.88199,2805326580.53878,1314471343.021,1662216838.74298
"Mortality","Pastoral","Juvenile","Infectious",2950699340.66418,2918746659.93087,5652094731.25692,2568432636.27609,3269060683.58565
"Mortality","Pastoral","Juvenile","Non-infectious",1254101389.11176,1241968366.48663,2401500808.04139,1093124539.39668,1390812193.57657
"Mortality","Pastoral","Sub-adult","External",1572196122.77702,1581039554.8434,2942373943.55229,1398672679.50379,1763406430.18301
"Mortality","Pastoral","Sub-adult","Infectious",2767868225.87254,2707201755.37382,4984595365.36073,2398259010.82392,3016144499.92371
"Mortality","Pastoral","Sub-adult","Non-infectious",1540690974.19265,1515161843.41731,2832868793.12534,1339582042.90234,1690741643.93228
"Production loss","Crop livestock mixed","Adult","External",NA,NA,NA,NA,NA
"Production loss","Crop livestock mixed","Adult","Infectious",NA,NA,NA,NA,NA
"Production loss","Crop livestock mixed","Adult","Non-infectious",NA,NA,NA,NA,NA
"Production loss","Crop livestock mixed","Juvenile","External",NA,NA,NA,NA,NA
"Production loss","Crop livestock mixed","Juvenile","Infectious",NA,NA,NA,NA,NA
"Production loss","Crop livestock mixed","Juvenile","Non-infectious",NA,NA,NA,NA,NA
"Production loss","Crop livestock mixed","Oxen","External",7611106514.51953,7714222858.38638,11860547752.787,6979112000.62754,8449333716.14523
"Production loss","Crop livestock mixed","Oxen","Infectious",25571336515.4396,25278868484.609,38545263856.6036,22889852178.8899,27667884790.3282
"Production loss","Crop livestock mixed","Oxen","Non-infectious",21893000498.8513,22425481537.7188,34309098644.1299,20299020647.4709,24551942427.9667
"Production loss","Crop livestock mixed","Sub-adult","External",NA,NA,NA,NA,NA
"Production loss","Crop livestock mixed","Sub-adult","Infectious",NA,NA,NA,NA,NA
"Production loss","Crop livestock mixed","Sub-adult","Non-infectious",NA,NA,NA,NA,NA
"Production loss","Dairy","Adult","External",NA,NA,NA,NA,NA
"Production loss","Dairy","Adult","Infectious",NA,NA,NA,NA,NA
"Production loss","Dairy","Adult","Non-infectious",NA,NA,NA,NA,NA
"Production loss","Dairy","Juvenile","External",NA,NA,NA,NA,NA
"Production loss","Dairy","Juvenile","Infectious",NA,NA,NA,NA,NA
"Production loss","Dairy","Juvenile","Non-infectious",NA,NA,NA,NA,NA
"Production loss","Dairy","Sub-adult","External",NA,NA,NA,NA,NA
"Production loss","Dairy","Sub-adult","Infectious",NA,NA,NA,NA,NA
"Production loss","Dairy","Sub-adult","Non-infectious",NA,NA,NA,NA,NA
"Production loss","Pastoral","Adult","External",NA,NA,NA,NA,NA
"Production loss","Pastoral","Adult","Infectious",NA,NA,NA,NA,NA
"Production loss","Pastoral","Adult","Non-infectious",NA,NA,NA,NA,NA
"Production loss","Pastoral","Juvenile","External",NA,NA,NA,NA,NA
"Production loss","Pastoral","Juvenile","Infectious",NA,NA,NA,NA,NA
"Production loss","Pastoral","Juvenile","Non-infectious",NA,NA,NA,NA,NA
"Production loss","Pastoral","Sub-adult","External",NA,NA,NA,NA,NA
"Production loss","Pastoral","Sub-adult","Infectious",NA,NA,NA,NA,NA
"Production loss","Pastoral","Sub-adult","Non-infectious",NA,NA,NA,NA,NA
