"AHLE","Production system","Age class","Cause","median","mean","sd","lower95","upper95"
"Production loss","Pastoral","Adult female","External",11925350676.4613,12039293745.9108,2323835739.60951,11895263561.1807,12183323930.641
"Production loss","Pastoral","Adult female","Infectious",19554596674.7405,19576921626.5658,3362877968.24968,19368492120.669,19785351132.4626
"Production loss","Pastoral","Adult female","Non-infectious",12445258618.7392,12494712593.5301,2389065176.19836,12346639520.7241,12642785666.3361
"Production loss","Pastoral","Adult male","External",189846746.418389,238962250.255599,1809870377.23342,126787383.363153,351137117.148044
"Production loss","Pastoral","Adult male","Infectious",287113008.168745,324423716.667544,2583601854.43783,164293357.184202,484554076.150886
"Production loss","Pastoral","Adult male","Non-infectious",183936125.444003,235229913.039364,1739485621.95666,127417458.313969,343042367.764759
"Production loss","Pastoral","Juvenile","External",8194066307.28007,8267502339.26483,2350868878.56407,8121796654.01149,8413208024.51817
"Production loss","Pastoral","Juvenile","Infectious",14672840786.9343,14798292392.3017,3822071945.99055,14561402271.7781,15035182512.8252
"Production loss","Pastoral","Juvenile","Non-infectious",8521625189.3478,8652540161.82458,2344315060.98474,8507240678.92907,8797839644.72009
"Production loss","Pastoral","Neonate","External",8135400416.25416,8129964002.29698,2236816540.51444,7991327224.29822,8268600780.29573
"Production loss","Pastoral","Neonate","Infectious",16323663285.0957,16397090587.4999,4065374469.35354,16145120697.4436,16649060477.5562
"Production loss","Pastoral","Neonate","Non-infectious",8318730039.2956,8364832302.90111,2228018770.22842,8226740806.33422,8502923799.468
