species,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95,region,disease,disease_proportion,exchg_rate_lcuperusdol,mean_usd,lower95_usd,upper95_usd,sd_usd
All Poultry,Small holder,Adult,Adult,Overall,2018,Mortality,External,8041610.86336502,25313378.2043016,-41572610.41706612,57655832.14379615,National,All causes,1.0,27.4293865941667,293175.0163554586,-1515623.0444434073,2101973.0771543244,922856.1534688091
All Poultry,Small holder,Adult,Adult,Overall,2018,Mortality,Infectious,0.0,0.0,0.0,0.0,National,PPR,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2018,Mortality,Infectious,0.0,0.0,0.0,0.0,National,Brucellosis,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2018,Mortality,Infectious,21481882.913205,67211162.4035753,-110251995.39780259,153215761.2242126,National,Other Infectious,1.0,27.4293865941667,783170.3723835177,-4019484.541489872,5585825.2862569075,2450334.1397313215
All Poultry,Small holder,Adult,Adult,Overall,2018,Mortality,Non-infectious,7692943.52812576,24489156.9274718,-40305804.04971897,55691691.105970494,National,All conditions,1.0,27.4293865941667,280463.56420386693,-1469438.7682111217,2030365.8966188557,892807.3124566269
All Poultry,Small holder,Adult,Adult,Overall,2018,Production loss,External,15535144.9804393,26623170.1840013,-36646268.58020325,67716558.54108185,National,All causes,1.0,27.4293865941667,566368.6618403307,-1336022.1693035115,2468759.4929841724,970607.5669101236
All Poultry,Small holder,Adult,Adult,Overall,2018,Production loss,Infectious,0.0,0.0,0.0,0.0,National,PPR,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2018,Production loss,Infectious,0.0,0.0,0.0,0.0,National,Brucellosis,0.0,27.4293865941667,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2018,Production loss,Infectious,46087836.2201605,77676079.2413238,-106157279.09283413,198332951.53315514,National,Other Infectious,1.0,27.4293865941667,1680235.7596272975,-3870202.4461389226,7230673.965393518,2831856.2274317453
All Poultry,Small holder,Adult,Adult,Overall,2018,Production loss,Non-infectious,36889623.3931473,63224353.2564228,-87030108.9894414,160809355.77573597,National,All conditions,1.0,27.4293865941667,1344894.2165185884,-3172878.4269623347,5862666.859999511,2304986.0425923076
All Poultry,Small holder,Adult,Adult,Overall,2019,Health cost,External,-204002.39503861227,10297.957864092175,-224186.39245223295,-183818.3976249916,National,All causes,1.0,29.06975,-7017.686599940223,-7712.0165275667305,-6323.356672313715,354.2499630747487
All Poultry,Small holder,Adult,Adult,Overall,2019,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,PPR,0.0,29.06975,-0.0,-0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2019,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,Brucellosis,0.0,29.06975,-0.0,-0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2019,Health cost,Infectious,-204002.39503861227,10297.957864092175,-224186.39245223295,-183818.3976249916,National,Other Infectious,1.0,29.06975,-7017.686599940223,-7712.0165275667305,-6323.356672313715,354.2499630747487
All Poultry,Small holder,Adult,Adult,Overall,2019,Health cost,Non-infectious,-204002.39503861227,10297.957864092175,-224186.39245223295,-183818.3976249916,National,All conditions,1.0,29.06975,-7017.686599940223,-7712.0165275667305,-6323.356672313715,354.2499630747487
All Poultry,Small holder,Adult,Adult,Overall,2019,Mortality,External,8443691.40653327,26579047.1145167,-43651240.93791946,60538623.750986,National,All causes,1.0,29.06975,290463.1586626397,-1501603.589226583,2082529.9065518624,914319.7693312361
All Poultry,Small holder,Adult,Adult,Overall,2019,Mortality,Infectious,0.0,0.0,0.0,0.0,National,PPR,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2019,Mortality,Infectious,0.0,0.0,0.0,0.0,National,Brucellosis,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2019,Mortality,Infectious,22555977.0588653,70571720.523754,-115764595.16769254,160876549.28542316,National,Other Infectious,1.0,29.06975,775926.0763806122,-3982304.4631513013,5534156.615912527,2427668.642618323
All Poultry,Small holder,Adult,Adult,Overall,2019,Mortality,Non-infectious,8077590.70453205,25713614.7738454,-42321094.25220493,58476275.66126903,National,All conditions,1.0,29.06975,277869.2869574747,-1455846.5157837593,2011585.0896987086,884548.8789496092
All Poultry,Small holder,Adult,Adult,Overall,2019,Production loss,External,16311902.2294613,27954328.6932014,-38478582.00921345,71102386.46813604,National,All causes,1.0,29.06975,561129.7733713328,-1323664.0153153518,2445923.562058017,961629.4840238186
All Poultry,Small holder,Adult,Adult,Overall,2019,Production loss,Infectious,0.0,0.0,0.0,0.0,National,PPR,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2019,Production loss,Infectious,0.0,0.0,0.0,0.0,National,Brucellosis,0.0,29.06975,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2019,Production loss,Infectious,48392228.0311685,81559883.20339,-111465143.0474759,208249599.1098129,National,Other Infectious,1.0,29.06975,1664693.6430883822,-3834403.2214751043,7163790.507651868,2805661.6655936157
All Poultry,Small holder,Adult,Adult,Overall,2019,Production loss,Non-infectious,38734104.5628046,66385570.9192439,-91381614.43891343,168849823.56452265,National,All conditions,1.0,29.06975,1332453.9964328762,-3143529.422816276,5808437.415682029,2283665.0098209963
All Poultry,Small holder,Adult,Adult,Overall,2020,Health cost,External,-214202.51479054298,10812.855757296782,-235395.71207484466,-193009.3175062413,National,All causes,1.0,34.9271654040404,-6132.834208348436,-6739.616838405498,-5526.051578291373,309.5829745189096
All Poultry,Small holder,Adult,Adult,Overall,2020,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,PPR,0.0,34.9271654040404,-0.0,-0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2020,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,Brucellosis,0.0,34.9271654040404,-0.0,-0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2020,Health cost,Infectious,-214202.51479054298,10812.855757296782,-235395.71207484466,-193009.3175062413,National,Other Infectious,1.0,34.9271654040404,-6132.834208348436,-6739.616838405498,-5526.051578291373,309.5829745189096
All Poultry,Small holder,Adult,Adult,Overall,2020,Health cost,Non-infectious,-214202.51479054298,10812.855757296782,-235395.71207484466,-193009.3175062413,National,All conditions,1.0,34.9271654040404,-6132.834208348436,-6739.616838405498,-5526.051578291373,309.5829745189096
All Poultry,Small holder,Adult,Adult,Overall,2020,Mortality,External,8865875.97685993,27907999.4702426,-45833802.98481557,63565554.93853542,National,All causes,1.0,34.9271654040404,253838.978179269,-1312268.0427857875,1819945.9991443253,799034.1943699268
All Poultry,Small holder,Adult,Adult,Overall,2020,Mortality,Infectious,0.0,0.0,0.0,0.0,National,PPR,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2020,Mortality,Infectious,0.0,0.0,0.0,0.0,National,Brucellosis,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2020,Mortality,Infectious,23683775.9118086,74100306.5499417,-121552824.92607714,168920376.74969435,National,Other Infectious,1.0,34.9271654040404,678090.410081456,-3480180.0695803333,4836360.889743246,2121566.571256015
All Poultry,Small holder,Adult,Adult,Overall,2020,Mortality,Non-infectious,8481470.23975865,26999295.5125376,-44437148.96481504,61400089.44433234,National,All conditions,1.0,34.9271654040404,242833.05391789702,-1272280.4284505297,1757946.5362863236,773017.082841034
All Poultry,Small holder,Adult,Adult,Overall,2020,Production loss,External,17127497.3409343,29352045.1278614,-40402511.109674044,74657505.79154265,National,All causes,1.0,34.9271654040404,490377.53687715455,-1156764.674209727,2137519.747964036,840378.67912596
All Poultry,Small holder,Adult,Adult,Overall,2020,Production loss,Infectious,0.0,0.0,0.0,0.0,National,PPR,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2020,Production loss,Infectious,0.0,0.0,0.0,0.0,National,Brucellosis,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2020,Production loss,Infectious,50811839.4327269,85637877.3635595,-117038400.19984972,218662079.0653035,National,Other Infectious,1.0,34.9271654040404,1454794.2509771762,-3350927.532937174,6260516.034891526,2451898.8693440566
All Poultry,Small holder,Adult,Adult,Overall,2020,Production loss,Non-infectious,40670809.7909449,69704849.4652061,-95950695.16085905,177292314.74274886,National,All conditions,1.0,34.9271654040404,1164446.3362675307,-2747165.2523442227,5076057.924879285,1995720.1982713027
All Poultry,Small holder,Adult,Adult,Overall,2021,Health cost,External,-224912.64053007006,11353.498545161623,-247165.49767858683,-202659.78338155328,National,All causes,1.0,34.9271654040404,-6439.475918765856,-7076.597680325771,-5802.354157205939,325.0621232448552
All Poultry,Small holder,Adult,Adult,Overall,2021,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,PPR,0.0,34.9271654040404,-0.0,-0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2021,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,Brucellosis,0.0,34.9271654040404,-0.0,-0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2021,Health cost,Infectious,-224912.64053007006,11353.498545161623,-247165.49767858683,-202659.78338155328,National,Other Infectious,1.0,34.9271654040404,-6439.475918765856,-7076.597680325771,-5802.354157205939,325.0621232448552
All Poultry,Small holder,Adult,Adult,Overall,2021,Health cost,Non-infectious,-224912.64053007006,11353.498545161623,-247165.49767858683,-202659.78338155328,National,All conditions,1.0,34.9271654040404,-6439.475918765856,-7076.597680325771,-5802.354157205939,325.0621232448552
All Poultry,Small holder,Adult,Adult,Overall,2021,Mortality,External,9309169.77570293,29303399.4437547,-48125493.13405628,66743832.68546214,National,All causes,1.0,34.9271654040404,266530.9270882325,-1377881.444925075,1910943.2991015401,838985.9040884223
All Poultry,Small holder,Adult,Adult,Overall,2021,Mortality,Infectious,0.0,0.0,0.0,0.0,National,PPR,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2021,Mortality,Infectious,0.0,0.0,0.0,0.0,National,Brucellosis,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2021,Mortality,Infectious,24867964.707399,77805321.8774388,-127630466.17238106,177366395.58717906,National,Other Infectious,1.0,34.9271654040404,711994.9305855279,-3654189.0730593516,5078178.934230408,2227644.899818816
All Poultry,Small holder,Adult,Adult,Overall,2021,Mortality,Non-infectious,8905543.75174659,28349260.2881645,-46659006.41305583,64470093.916549005,National,All conditions,1.0,34.9271654040404,254974.70661379205,-1335894.4498730572,1845843.8631006412,811667.9369830864
All Poultry,Small holder,Adult,Adult,Overall,2021,Production loss,External,17983872.2079811,30819647.3842545,-42422636.66515772,78390381.08111992,National,All causes,1.0,34.9271654040404,514896.4137210147,-1214602.9079202127,2244395.7353622424,882397.6130822588
All Poultry,Small holder,Adult,Adult,Overall,2021,Production loss,Infectious,0.0,0.0,0.0,0.0,National,PPR,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2021,Production loss,Infectious,0.0,0.0,0.0,0.0,National,Brucellosis,0.0,34.9271654040404,0.0,0.0,0.0,0.0
All Poultry,Small holder,Adult,Adult,Overall,2021,Production loss,Infectious,53352431.4043633,89919771.2317374,-122890320.209842,229595183.0185686,National,Other Infectious,1.0,34.9271654040404,1527533.9635260366,-3518473.909584027,6573541.8366361,2574493.8128112573
All Poultry,Small holder,Adult,Adult,Overall,2021,Production loss,Non-infectious,42704350.2804921,73190091.9384664,-100748229.91890204,186156930.47988623,National,All conditions,1.0,34.9271654040404,1222668.653080906,-2884523.5149614345,5329860.821123247,2095506.2081848679
All Poultry,Small holder,Chick,Chick,Overall,2017,Health cost,External,-175281.4107086217,9394.60347571318,-193694.83352101952,-156867.98789622387,National,All causes,1.0,23.8661044574125,-7344.3661918684675,-8115.896495243087,-6572.835888493848,393.6379098850101
All Poultry,Small holder,Chick,Chick,Overall,2017,Health cost,Infectious,-0.0,0.0,-0.0,0.0,National,PPR,0.0,23.8661044574125,-0.0,-0.0,0.0,0.0
