region,scope,number_of_countries,antimicrobial_class,amu_tonnes,importance_ctg,antimicrobial_class_group,antimicrobial_class_group2,biomass_total_kg,amu_mg_perkgbiomass
"Asia, Far East and Oceania",All,22.0,cephalosporins__all_generations,421.64690735783785,C: Other,other_low_importance,others,282812613977.946,1.4909055909038
Europe,All,41.0,cephalosporins__all_generations,44.660103946599996,C: Other,other_low_importance,others,136752195587.50722,0.326576869605155
Middle East,All,3.0,cephalosporins__all_generations,0.2,C: Other,other_low_importance,others,2446925465.033676,0.08173522359302737
Africa,Terrestrial Food Producing,6.0,cephalosporins__all_generations,0.07614,C: Other,other_low_importance,others,81776881551.43832,0.0009310699864742007
Americas,Terrestrial Food Producing,11.0,cephalosporins__all_generations,49.93894542825001,C: Other,other_low_importance,others,299914043716.64056,0.1665108602764612
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,cephalosporins__all_generations,306.59636165858984,C: Other,other_low_importance,others,227493629165.94614,1.347714055917328
Europe,Terrestrial Food Producing,10.0,cephalosporins__all_generations,1.752115809,C: Other,other_low_importance,others,133355079235.00725,0.013138725716718327
Middle East,Terrestrial Food Producing,1.0,cephalosporins__all_generations,0.0,C: Other,other_low_importance,others,2421760815.033676,0.0
Africa,AGP,1.0,1_2_gen__cephalosporins,0.0,B: Highly Important,other_highly_important,others,,
Americas,AGP,5.0,1_2_gen__cephalosporins,0.0,B: Highly Important,other_highly_important,others,,
"Asia, Far East and Oceania",AGP,6.0,1_2_gen__cephalosporins,0.0,B: Highly Important,other_highly_important,others,,
Europe,AGP,0.0,1_2_gen__cephalosporins,0.0,B: Highly Important,other_highly_important,others,,
Middle East,AGP,0.0,1_2_gen__cephalosporins,0.0,B: Highly Important,other_highly_important,others,,
Africa,All,24.0,1_2_gen__cephalosporins,0.026490000000000003,B: Highly Important,other_highly_important,others,82210550037.93834,0.00032222141790531086
Americas,All,19.0,1_2_gen__cephalosporins,55.612756462499995,B: Highly Important,other_highly_important,others,307414936043.14056,0.18090453631926223
"Asia, Far East and Oceania",All,22.0,1_2_gen__cephalosporins,27.308859372837826,B: Highly Important,other_highly_important,others,282812613977.946,0.09656167378364318
Europe,All,41.0,1_2_gen__cephalosporins,25.717692272599997,B: Highly Important,other_highly_important,others,136752195587.50722,0.18806054383341395
Middle East,All,3.0,1_2_gen__cephalosporins,0.0,B: Highly Important,other_highly_important,others,2446925465.033676,0.0
Africa,Terrestrial Food Producing,6.0,1_2_gen__cephalosporins,0.002,B: Highly Important,other_highly_important,others,81776881551.43832,2.445678976816918e-05
Americas,Terrestrial Food Producing,11.0,1_2_gen__cephalosporins,43.17509936249999,B: Highly Important,other_highly_important,others,299914043716.64056,0.14395824492730963
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,1_2_gen__cephalosporins,17.315807408589826,B: Highly Important,other_highly_important,others,227493629165.94614,0.07611557067366816
Europe,Terrestrial Food Producing,10.0,1_2_gen__cephalosporins,2.2454462000000004,B: Highly Important,other_highly_important,others,133355079235.00725,0.01683810030244836
Middle East,Terrestrial Food Producing,1.0,1_2_gen__cephalosporins,0.0,B: Highly Important,other_highly_important,others,2421760815.033676,0.0
Africa,AGP,1.0,3_4_gen_cephalosporins,0.0,A: Critically Important,other_critically_important,others,,
Americas,AGP,5.0,3_4_gen_cephalosporins,0.0,A: Critically Important,other_critically_important,others,,
"Asia, Far East and Oceania",AGP,6.0,3_4_gen_cephalosporins,0.0,A: Critically Important,other_critically_important,others,,
Europe,AGP,0.0,3_4_gen_cephalosporins,0.0,A: Critically Important,other_critically_important,others,,
Middle East,AGP,0.0,3_4_gen_cephalosporins,0.0,A: Critically Important,other_critically_important,others,,
Africa,All,24.0,3_4_gen_cephalosporins,0.0874096,A: Critically Important,other_critically_important,others,82210550037.93834,0.0010632406663094022
Americas,All,19.0,3_4_gen_cephalosporins,25.316200491750003,A: Critically Important,other_critically_important,others,307414936043.14056,0.08235188835521412
"Asia, Far East and Oceania",All,22.0,3_4_gen_cephalosporins,303.07204798500004,A: Critically Important,other_critically_important,others,282812613977.946,1.071635538889485
Europe,All,41.0,3_4_gen_cephalosporins,17.566308674,A: Critically Important,other_critically_important,others,136752195587.50722,0.12845357691357417
Middle East,All,3.0,3_4_gen_cephalosporins,0.0,A: Critically Important,other_critically_important,others,2446925465.033676,0.0
Africa,Terrestrial Food Producing,6.0,3_4_gen_cephalosporins,0.00033999999999999997,A: Critically Important,other_critically_important,others,81776881551.43832,4.1576542605887604e-06
Americas,Terrestrial Food Producing,11.0,3_4_gen_cephalosporins,6.76284606575,A: Critically Important,other_critically_important,others,299914043716.64056,0.02254928106047462
"Asia, Far East and Oceania",Terrestrial Food Producing,9.0,3_4_gen_cephalosporins,289.28055424999997,A: Critically Important,other_critically_important,others,227493629165.94614,1.2715984852436597
Europe,Terrestrial Food Producing,10.0,3_4_gen_cephalosporins,1.126169609,A: Critically Important,other_critically_important,others,133355079235.00725,0.008444894753617808
Middle East,Terrestrial Food Producing,1.0,3_4_gen_cephalosporins,0.0,A: Critically Important,other_critically_important,others,2421760815.033676,0.0
Africa,AGP,1.0,fluoroquinolones,0.0,A: Critically Important,fluoroquinolones,others,,
Americas,AGP,5.0,fluoroquinolones,0.0,A: Critically Important,fluoroquinolones,others,,
"Asia, Far East and Oceania",AGP,6.0,fluoroquinolones,0.0,A: Critically Important,fluoroquinolones,others,,
Europe,AGP,0.0,fluoroquinolones,0.0,A: Critically Important,fluoroquinolones,others,,
