,partner,partner_label,reporter,reporter_label,year,export_total_100kg,export_total_head,export_total_value_in_euros,export_live_gallusdom_gt185g_100kg,export_live_gallusdom_gt185g_head,export_live_gallusdom_gt185g_value_in_euros,export_live_gallusdom_lte185g_100kg,export_live_gallusdom_lte185g_head,export_live_gallusdom_lte185g_value_in_euros,import_total_100kg,import_total_head,import_total_value_in_euros,import_live_gallusdom_gt185g_100kg,import_live_gallusdom_gt185g_head,import_live_gallusdom_gt185g_value_in_euros,import_live_gallusdom_lte185g_100kg,import_live_gallusdom_lte185g_head,import_live_gallusdom_lte185g_value_in_euros
1287,EU_INTRA,"Intra-EU (AT-01/1995, BE-01/1958, BG-01/2007, CY-05/2004, CZ-05/2004, DE-01/1958, DK-01/1973, EE-05/2004, ES-01/1986, FI-01/1995, FR-01/1958, GB-01/1973->01/2020, GR-01/1981, HR-07/2013, HU-05/2004, IE-01/1973, IT-01/1958, LT-05/2004, LU-01/1958, LV-05/2004, MT-05/2004, NL-01/1958, PL-05/2004, PT-01/1986, RO-01/2007, SE-01/1995, SI-05/2004, SK-05/2004, QR-01/1993, QV-01/1993, QY-01/1988)",NL,Netherlands,2011,3260861053.06,0.0,369008314302.0,1654850.72,82742536.0,158049097.0,78510.42,186929582.0,61125682.0,2181532410.31,0.0,199175655715.0,4037323.4,201866170.0,345400555.0,20594.83,49039009.0,31662881.0
456,ES,Spain (incl. Canary Islands 'XB' from 1997),EU27_2020,"European Union - 27 countries (AT, BE, BG, CY, CZ, DE, DK, EE, ES, FI, FR, GR, HR, HU, IE, IT, LT, LU, LV, MT, NL, PL, PT, RO, SE, SI, SK)",2016,749707395.58,,163912836764.0,56026.91,2267456.0,2592532.0,22315.9,46240474.0,15030656.0,801625832.43,,143024836920.0,23735.93,2131731.0,3634225.0,553.27,811303.0,208594.0
1973,GB,United Kingdom,NL,Netherlands,2015,201567076.98,0.0,47763015769.0,,,,970.42,2310540.0,905916.0,306306673.6,0.0,23412080329.0,,,,338.6,806184.0,167600.0
1913,GB,United Kingdom,IE,Ireland (Eire),2021,92295962.95,,17876950391.0,31351.01,1330934.0,839048.0,1771.91,3543845.0,1438435.0,144975852.04,,18388495747.0,13605.74,288749.0,410300.0,233.33,471600.0,204650.0
2711,IT,Italy (incl. San Marino 'SM' -> 1993),SI,Slovenia,2016,62605371.49,,3098053005.0,,,,,,,34974751.34,,3715124742.0,370.92,24728.0,101661.0,2.18,6200.0,3213.0
3675,WORLD,All countries of the world,NL,Netherlands,2012,4362730049.3,0.0,510097962235.0,1740199.14,87026047.0,153220444.0,64646.6,152765444.0,65460278.0,4861397133.55,0.0,456823551901.0,4668532.96,233426648.0,400585592.0,11793.23,28085478.0,22483476.0
2983,NL,Netherlands,MT,Malta,2013,295805.07,0.0,47180992.0,,,,,,,1851997.42,0.0,202133851.0,,,,,,
188,DE,Germany (incl. German Democratic Republic 'DD' from 1991),HU,Hungary,2012,45518830.6,0.0,20051146217.0,1448.94,40570.0,161436.0,,,,38084248.93,0.0,18207557546.0,,,,2418.87,5825546.0,1247836.0
3230,PL,Poland,GB,United Kingdom,2018,22709359.36,,5976529425.0,,,,,,,39059498.17,,12224644594.0,,,,,,
1629,FR,"France (incl. Saint Barthélemy 'BL' -> 2012; incl. French Guiana 'GF', Guadeloupe 'GP', Martinique 'MQ', Réunion 'RE' from 1997; incl. Mayotte 'YT' from 2014)",NL,Netherlands,2012,277458025.41,0.0,43689605550.0,15982.04,799102.0,1769434.0,44.14,105096.0,44744.0,150616955.19,0.0,18055762807.0,4087.84,204392.0,312683.0,735.92,1754546.0,890003.0
2763,NL,Netherlands,CY,Cyprus,2013,560729.03,0.0,18479362.0,,,,,,,2522939.73,0.0,295186511.0,,,,3.65,8797.0,15045.0
840,EU_EXTRA,Extra-EU (= 'WORLD' - 'EU_INTRA'),GB,United Kingdom,2015,453339635.29,0.0,230443514527.0,0.82,70.0,2969.0,1544.63,3280904.0,25216775.0,1742359570.46,0.0,261897027582.0,,,,7.07,13526.0,708875.0
613,ES,Spain (incl. Canary Islands 'XB' from 1997),NL,Netherlands,2019,68116520.9,,19778961286.0,21730.52,969679.0,1671494.0,32.53,79361.0,24641.0,78561805.32,,9856901018.0,2148.5,95873.0,179038.0,5.11,12460.0,3867.0
1705,GB,United Kingdom,AT,Austria,2011,9057107.01,0.0,3758567784.0,,,,,,,6812944.66,0.0,2073742820.0,,,,,,
64,DE,Germany (incl. German Democratic Republic 'DD' from 1991),DE,Germany (incl. German Democratic Republic 'DD' from 1991),2020,,,,,,,,,,,,,,,,,,
