,geo,time_period,breedingsows_gte50kg_dec_thsdhd,breedingsows_gte50kg_jun_thsdhd,pigs_20to50kg_dec_thsdhd,pigs_20to50kg_jun_thsdhd,pigs_50to80kg_dec_thsdhd,pigs_50to80kg_jun_thsdhd,pigs_80to110kg_dec_thsdhd,pigs_80to110kg_jun_thsdhd,pigs_gte110kg_dec_thsdhd,pigs_gte110kg_jun_thsdhd,pigs_lt20kg_dec_thsdhd,pigs_lt20kg_jun_thsdhd,sl_pigmeat_thsdhd,sl_pigmeat_thsdtonne,_merge_slaughter,piglets_live_priceper100kg_euros,pigs_grade1_carcass_priceper100kg_euros,pigs_grade2_carcass_priceper100kg_euros,pigs_light_live_priceper100kg_euros,_merge_prodprice,electricity_priceper100kwh_euros,dieseloil_priceper100litres_euros,heatingoil_priceper100litres_euros,motorspirit_priceper100litres_euros,residualfueloil_priceper100kg_euros,feed_bulk_fatteningpigs_priceper100kg_euros,feed_sacks_fatteningpigs_priceper100kg_euros,feed_bulk_rearingpigs_priceper100kg_euros,feed_sacks_rearingpigs_priceper100kg_euros,feed_bulk_sows_priceper100kg_euros,feed_sacks_sows_priceper100kg_euros,_merge_costofprod
68,CY,2019,32.73,,70.73,,64.75,,58.66,,1.43,,124.69,,583.02,43.35,both,189.1,,,,both,16.99,76.54,82.97,61.51,,,,,43.84,,,both
303,MK,2015,20.0,,39.0,,30.0,,26.0,,21.0,,58.0,,172.77,11.55,both,,,,,left_only,,,,,,,,,,,,left_only
38,BE,2021,386.34,392.34,1213.49,1112.31,1298.13,1503.81,1221.86,1294.01,296.45,178.07,1622.81,1661.62,11584.37,1140.74,both,,,,,left_only,,,,,,,,,,,,left_only
100,DK,2018,1243.0,1269.0,3937.0,3984.0,2321.0,2386.0,580.0,597.0,7.0,7.0,4543.0,4624.0,18085.7,1581.3,both,184.0,136.9,131.2,86.1,both,12.3,88.9,91.1,,,22.3,,31.3,,22.8,,both
50,CH,2011,157.01,,259.76,,,,,,,,652.53,,2827.21,248.43,both,,,,,left_only,,,,,,,,,,,,left_only
54,CH,2015,140.84,,251.22,,,,,,,,608.5,,2734.24,240.06,both,,,,,left_only,,,,,,,,,,,,left_only
115,EL,2011,193.0,,273.0,,185.0,,137.0,,22.0,,298.0,,1829.34,115.12,both,372.51,,173.31,210.26,both,5.72,152.68,88.37,161.93,,,46.67,,50.1,,37.71,both
246,IS,2018,3.4,,10.5,,9.0,,6.4,,0.7,,7.2,,81.45,6.79,both,,,,,left_only,,,,,,,,,,,,left_only
103,DK,2021,1235.0,1275.0,4032.0,4051.0,2608.0,2434.0,652.0,608.0,7.0,6.0,4608.0,4786.0,,,left_only,,,,,left_only,,,,,,,,,,,,left_only
321,NL,2012,1081.0,1066.0,1835.0,1935.0,1885.0,1936.0,1790.0,1738.0,513.0,370.0,4993.0,5180.0,14317.7,1331.73,both,192.39,,,120.9,both,,96.7,,147.2,,28.8,32.8,38.65,42.65,28.1,32.1,both
