column_name,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
wahis_slaughtered_thsdhd_dvh,100.0,0.15763000000000002,0.8776141976398225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30039999999999906,4.1946400000000175,7.426
wahis_slaughtered_thsdhd_flua,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_slaughtered_thsdhd_hpai,100.0,0.5806899999999999,5.8068999999999855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.580690000000297,58.068999999999996
wahis_slaughtered_thsdhd_ibd,100.0,2.0583299999999998,15.995922638335596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06660000000000192,1.3404499999999984,26.04414000000068,157.92600000000002
wahis_slaughtered_thsdhd_lpai,100.0,6.262439999999999,52.39925863407233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0495999999999979,88.34050000000222,518.05
wahis_slaughtered_thsdhd_msyn,100.0,23.12812,151.73363301944113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.568799999999927,669.3867100000036,1361.17
wahis_slaughtered_thsdhd_ndv,100.0,0.21168000000000003,1.3015137874759126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013599999999999796,6.091350000000025,10.976999999999999
wahis_slaughtered_thsdhd_pul,100.0,10.76767,54.495042634708405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.176000000000006,37.645549999999936,204.5392600000014,481.567
wahis_slaughtered_thsdhd_rab,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_slaughtered_thsdhd_trh,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wahis_slaughtered_thsdhd_typh,100.0,10.28695,64.66204693157562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028999999999999998,0.09799999999999914,424.8985000000003,478.606
wahis_deaths_thsdhd_aib,100.0,6.07868,17.37469057634807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.13260000000002,44.34114999999996,79.82342000000004,84.122
wahis_deaths_thsdhd_ail,100.0,2.3585999999999996,9.230464627109702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1747000000000085,17.610549999999996,31.933160000000218,75.707
wahis_deaths_thsdhd_chla,100.0,0.012360000000000003,0.05670685206134326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005900000000000077,0.05134999999999993,0.21851000000000131,0.467
wahis_deaths_thsdhd_dvh,100.0,1.46225,6.829841855061592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2008999999999865,44.109020000000015,47.87299999999998
wahis_deaths_thsdhd_flua,100.0,0.00049,0.0034480121633758513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024010000000000007,0.025
wahis_deaths_thsdhd_hpai,100.0,11.893570000000006,26.440343026112284,0.0,0.0,0.0,0.0,0.0,0.5,6.55025,37.638000000000005,60.55914999999992,125.75703000000017,155.163
wahis_deaths_thsdhd_ibd,100.0,5.357090000000002,12.395564769768084,0.0,0.0,0.0,0.0,0.0,0.0,4.2515,15.931400000000062,30.85184999999999,55.03864000000008,69.655
