,geo,time_period,chickshatched_broilers_slct_thsdhd,chickshatched_broilers_thsdhd,chickshatched_layers_slct_thsdhd,chickshatched_layers_thsdhd,sl_chicken_thsdhd,sl_chicken_thsdtonne,_merge_slaughter,broilingfowl_carcass_priceper100kg_euros,chickens_live1stchoice_priceper100kg_euros,_merge_prodprice,electricity_priceper100kwh_euros,dieseloil_priceper100litres_euros,heatingoil_priceper100litres_euros,motorspirit_priceper100litres_euros,residualfueloil_priceper100kg_euros,feed_bulk_chicks_priceper100kg_euros,feed_sacks_broilers_priceper100kg_euros,feed_sacks_chicks_priceper100kg_euros,_merge_costofprod,geo_inscope,geo_eu27,chickshatched_alltypes_thsdhd,chickshatched_layersandbreeders_thsdhd,chickshatched_broilers_prpn,sl_est_broilers_thsdhd,sl_est_broilers_thsdtonne,mortality_calc_broilers_thsdhd,mortality_calc_broilers_pctplaced
237,LV,2018,0.0,20670.95,0.0,0.0,20047.04,33.17,both,,122.56,both,,98.81,,,,42.5,,43.9,both,False,True,20670.95,0.0,1.0,20047.04,33.17,623.9099999999999,0.03018293789109837
35,BG,2017,0.0,78101.0,0.0,0.0,45925.14,79.29,both,,94.16,both,10.89,103.28,100.73,103.79,,29.91,33.78,31.69,both,False,True,78101.0,0.0,1.0,45925.14,79.29,32175.86,0.4119775675087387
164,HR,2019,0.0,47362.0,0.0,0.0,36908.1,53.94,both,120.92,95.49,both,,,,,,,35.62,37.64,both,False,True,47362.0,0.0,1.0,36908.1,53.94,10453.900000000001,0.22072336472277357
132,EU28,2018,0.0,0.0,0.0,0.0,,,both,,,left_only,,,,,,,,,left_only,False,False,0.0,0.0,,,,,
20,BE,2013,0.0,193929.48,0.0,7266.55,290476.46,379.33,both,,94.91,both,14.23,69.84,,69.84,56.26,,36.16,37.46,both,False,True,201196.03,7266.55,0.963883233680108,279985.38957275054,365.6298270318753,-86055.90957275053,-0.44374846760147313
190,IS,2013,0.0,5110.72,0.0,0.0,,,both,,,left_only,,,,,,,,,left_only,False,False,5110.72,0.0,1.0,,,,
273,PL,2021,0.0,1315633.38,0.0,40320.8,,,left_only,,,left_only,,,,,,,,,left_only,True,True,1355954.18,40320.8,0.9702638919554051,,,,
100,EL,2020,0.0,133889.0,0.0,2708.0,141123.06,236.52,both,,140.81,both,8.24,123.42,85.42,144.88,,,38.91,48.71,both,False,False,136597.0,2708.0,0.9801752600715975,138325.33203759967,231.83105251213425,-4436.33203759967,-0.03313440265891649
52,CZ,2012,0.0,185494.3,0.0,0.0,106418.41,148.99,both,,91.77,both,11.14,144.96,71.18,145.92,,,34.15,,both,False,True,185494.3,0.0,1.0,106418.41,148.99,79075.88999999998,0.42629822048440297
286,RO,2012,0.0,186416.2,0.0,3737.4,,,both,107.42,97.55,both,,98.36,60.96,130.5,52.49,41.93,39.36,44.85,both,False,True,190153.6,3737.4,0.9803453629066187,,,,
196,IS,2019,74.25,6001.27,5.43,212.45,5725.64,9.15,both,,,left_only,,,,,,,,,left_only,False,False,6293.400000000001,292.13,0.9535815298566752,5459.864550608574,8.725270998188579,541.4054493914264,0.09021514602599555
38,BG,2020,0.0,67509.1,0.0,0.0,51068.29,86.9,both,,93.05,both,12.18,97.15,130.38,95.61,,31.29,34.43,33.93,both,False,True,67509.1,0.0,1.0,51068.29,86.9,16440.810000000005,0.24353472346691044
110,ES,2019,7894.77,622740.9,1844.43,37860.56,716259.1,1412.22,both,19.6,105.23,both,,72.97,,,,,33.0,,both,True,True,670340.66,47599.759999999995,0.9289916861077769,665398.7489990388,1311.9406389551248,-42657.848999038804,-0.06850015632350276
50,CY,2021,0.0,13369.11,0.0,450.13,,,left_only,,,left_only,,,,,,,,,left_only,False,True,13819.24,450.13,0.9674272970148865,,,,
244,MT,2014,0.0,2402.66,0.0,34.3,2230.34,3.92,both,,124.85,both,,136.0,,,,,,,both,False,True,2436.96,34.3,0.9859250869936313,2198.9481585253757,3.8648263410150347,203.71184147462418,0.08478596283894692
300,SE,2012,0.0,0.0,0.0,0.0,76840.26,109.67,both,,109.83,both,,124.42,,,,,,,both,False,True,0.0,0.0,,,,,
265,PL,2013,1241.43,871345.04,78.61,28727.36,784906.11,1365.62,both,,92.23,both,15.96,131.96,93.39,,,,47.21,44.22,both,True,True,901392.4400000001,30047.4,0.966665573543084,758741.7150006209,1320.0978405419064,112603.32499937911,0.12922931769873747
401,MK,2015,,,,,455.73,0.65,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
266,PL,2014,1109.94,926925.87,61.18,29040.77,845308.62,1477.1,both,,88.45,both,15.3,126.19,89.38,,,,45.87,42.41,both,True,True,957137.7599999999,30211.89,0.9684351707114763,818626.5977135825,1430.4755906579217,108299.27228641754,0.1168370371261917
154,FR,2020,12509.11,842719.64,4142.24,49411.25,770478.0,1130.0,both,,,left_only,,,,,,32.95,,,both,True,True,908782.24,66062.6,0.9273064579254983,714469.2250895221,1047.856297455813,128250.41491047794,0.1521863367400313
27,BE,2020,0.0,272430.75,0.0,5735.21,297295.25,441.3,both,,78.95,both,19.26,43.74,,43.26,41.67,,37.73,31.81,both,False,True,278165.96,5735.21,0.979382056668616,291165.63338281034,432.2013016078603,-18734.883382810338,-0.0687693418705867
230,LV,2011,0.0,15183.4,0.0,0.0,14640.68,22.81,both,,173.75,both,,103.82,,,,37.63,,39.53,both,False,True,15183.4,0.0,1.0,14640.68,22.81,542.7199999999993,0.03574429969572029
31,BG,2013,0.0,61554.07,0.0,2621.9,42777.86,69.78,both,,116.78,both,9.82,133.45,130.89,131.4,,35.62,39.55,38.54,both,False,True,64175.97,2621.9,0.9591451442027288,41030.176698384144,66.92914816246642,20523.893301615855,0.33342869613034287
40,CY,2011,0.0,13839.0,0.0,337.0,13610.02,27.22,both,251.8,,both,12.2,87.0,83.9,35.6,,,,,both,False,True,14176.0,337.0,0.9762274266365688,13286.474801072234,26.5729105530474,552.5251989277658,0.039925225733634356
55,CZ,2015,0.0,216757.11,0.0,10673.42,110359.76,144.3,both,,86.99,both,8.7,114.36,46.43,114.93,,,30.55,,both,False,True,227430.53,10673.42,0.953069537322012,105180.52540216829,137.52793423556636,111576.5845978317,0.5147539778410577
184,IE,2017,0.0,88600.0,0.0,0.0,87485.4,128.17,both,,,left_only,,,,,,,43.59,48.63,both,False,True,88600.0,0.0,1.0,87485.4,128.17,1114.6000000000058,0.012580135440180653
217,LT,2019,0.0,55228.0,0.0,0.0,54518.05,96.62,both,31.1,84.7,both,8.3,52.76,47.38,79.73,,,,,both,False,True,55228.0,0.0,1.0,54518.05,96.62,709.9499999999971,0.012854892445860742
22,BE,2015,0.0,237635.64,0.0,7554.38,302961.38,444.95,both,,90.87,both,14.31,47.56,,47.56,38.64,,30.06,27.85,both,False,True,245190.02000000002,7554.38,0.9691896921416295,293627.04661300324,431.24095351841805,-55991.40661300323,-0.2356187254277314
316,SI,2017,0.0,0.0,0.0,0.0,38064.84,63.78,both,,99.45,both,11.39,96.6,68.2,104.2,,,41.21,42.65,both,False,True,0.0,0.0,,,,,
160,HR,2015,0.0,50826.0,0.0,0.0,35657.6,52.3,both,117.11,96.94,both,,,,,,,33.39,36.18,both,False,True,50826.0,0.0,1.0,35657.6,52.3,15168.400000000001,0.2984378074213985
195,IS,2018,68.86,5796.94,5.96,209.71,5611.28,9.11,both,,,left_only,,,,,,,,,left_only,False,False,6081.469999999999,284.53000000000003,0.9532136144715012,5348.748490611645,8.683776027835375,448.19150938835446,0.07731518859749359
339,TR,2020,0.0,1329288.41,0.0,64452.44,1200706.6,2136.26,both,,,left_only,,,,,,,,,left_only,False,False,1393740.8499999999,64452.44,0.9537557932667325,1145180.8757636014,2037.4703509239903,184107.53423639853,0.13850081957488708
215,LT,2017,0.0,58360.2,0.0,0.0,54689.55,100.94,both,31.3,81.52,both,8.86,43.21,45.66,76.71,,,,,both,False,True,58360.2,0.0,1.0,54689.55,100.94,3670.649999999994,0.06289646025887496
18,BE,2011,0.0,183019.3,0.0,6001.4,303349.57,394.01,both,,94.61,both,14.07,66.88,,66.88,55.14,,31.28,33.34,both,False,True,189020.69999999998,6001.4,0.9682500382233269,293718.2327475298,381.500197560373,-110698.93274752982,-0.604848410782523
352,AL,2018,,,,,4518.87,4.74,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
385,EU27_2020,2019,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
400,MK,2014,,,,,458.43,0.68,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
241,MT,2011,0.0,0.0,0.0,0.0,2437.04,4.16,both,,126.68,both,,129.67,,,,,,,both,False,True,0.0,0.0,,,,,
220,LU,2011,0.0,0.0,0.0,0.0,0.0,0.0,both,400.0,330.8,both,15.66,64.53,65.53,,,,,,both,False,True,0.0,0.0,,,,,
41,CY,2012,0.0,12735.15,0.0,391.39,12573.77,25.15,both,252.7,,both,20.9,89.2,95.2,60.9,,,,,both,False,True,13126.539999999999,391.39,0.9701833080156691,12198.86177282818,24.400110196594078,536.288227171819,0.042110868515236884
73,DK,2011,0.0,141079.0,0.0,2783.0,106194.1,159.3,both,,87.51,both,,78.38,82.28,,,,,,both,False,True,143862.0,2783.0,0.9806550722219906,104139.7828050493,156.21835300496312,36939.2171949507,0.2618335627198286
90,EE,2021,0.0,0.0,0.0,0.0,,,left_only,,,left_only,,,,,,,,,left_only,False,True,0.0,0.0,,,,,
134,FI,2011,1512.0,60633.0,21.0,3483.0,56144.41,92.49,both,,,both,11.87,,86.83,,,,,,both,False,True,65649.0,5016.0,0.9235936571768039,51854.62096193392,85.42317735228258,8778.37903806608,0.14477889990708162
99,EL,2019,0.0,0.0,0.0,0.0,135549.8,227.56,both,,140.24,both,8.03,144.79,108.76,160.07,,,39.01,48.74,both,False,False,0.0,0.0,,,,,
10,AT,2021,0.0,86990.15,0.0,9886.5,,,left_only,,,left_only,,,,,,,,,left_only,False,True,96876.65,9886.5,0.8979475446353687,,,,
351,AL,2017,,,,,2634.54,3.24,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
281,PT,2018,0.0,267591.0,0.0,0.0,202001.02,291.72,both,112.76,31.4,both,,78.21,105.97,125.91,,,46.41,50.25,both,False,True,267591.0,0.0,1.0,202001.02,291.72,65589.98000000001,0.2451128027474766
182,IE,2015,0.0,76166.0,0.0,0.0,,,both,,,left_only,,,,,,,45.94,50.26,both,False,True,76166.0,0.0,1.0,,,,
186,IE,2019,0.0,93967.0,0.0,0.0,96247.27,141.0,both,,,left_only,,,,,,42.67,41.33,42.67,both,False,True,93967.0,0.0,1.0,96247.27,141.0,-2280.270000000004,-0.024266710653740187
87,EE,2018,0.0,0.0,0.0,0.0,,,both,,,left_only,,,,,,,,,both,False,True,0.0,0.0,,,,,
256,NL,2015,22052.0,501136.0,2346.0,39980.0,592145.99,985.71,both,,87.0,both,,93.75,,128.77,,27.5,36.8,31.5,both,True,True,565514.0,64378.0,0.8861602011621286,524736.2096157478,873.4969718875218,-23600.209615747794,-0.04709342297449753
175,HU,2019,14331.82,261118.53,603.22,8125.52,174269.44,335.57,both,,80.81,both,8.86,96.34,96.34,92.22,,30.37,,,both,False,True,284179.09,23060.559999999998,0.9188520168742886,160127.82642355282,308.339171302505,100990.70357644718,0.386761918338186
3,AT,2014,0.0,69818.21,0.0,9337.13,76953.93,97.27,both,,107.66,both,17.29,108.17,73.25,,,,,,both,False,True,79155.34000000001,9337.13,0.8820404283526544,67876.47738062017,85.7960724658627,1941.7326193798363,0.027811263270425237
240,LV,2021,0.0,22453.73,0.0,0.0,,,left_only,,,left_only,,,,,,,,,left_only,False,True,22453.73,0.0,1.0,,,,
387,EU28,2012,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
158,HR,2013,0.0,49510.0,0.0,0.0,35037.9,48.8,both,146.77,103.85,both,,,,,,,42.2,45.76,both,False,True,49510.0,0.0,1.0,35037.9,48.8,14472.099999999999,0.29230660472631786
381,EU27_2020,2013,,,,,,,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
416,XK,2017,,,,,0.0,0.0,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
406,RS,2012,,,,,34170.17,52.79,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
103,ES,2012,9257.5,588151.5,0.0,32875.5,604962.29,1137.19,both,46.91,124.94,both,,88.04,,,,,39.24,,both,True,True,630284.5,42133.0,0.933152409745123,564522.018718428,1061.1715888380566,23629.48128157202,0.04017584122725526
397,ME,2018,,,,,1233.3,1.99,right_only,,,left_only,,,,,,,,,left_only,False,False,,,,,,,
