,country,year,yield_pigs_hgperhd,production_pigs_tonnes,slaughtered_pigs_hd,stocks_pigs_hd,country_inscope,producerprice_pigs_carcass_lcupertonne,producerprice_pigs_live_lcupertonne,producerprice_pigs_carcass_slcpertonne,producerprice_pigs_live_slcpertonne,producerprice_pigs_carcass_usdpertonne,producerprice_pigs_live_usdpertonne,producerprice_pigs_carcass_index,producerprice_pigs_live_index,_merge_prodprice
362,"China, mainland",2013,768.0,54930300.0,715569980.0,478931400.0,True,20040.0,14610.0,20040.0,14610.0,3235.0,2358.0,115.0,122.0,both
392,Cook Islands,2013,300.0,555.0,18500.0,32200.0,False,,,,,,,95.0,95.0,both
521,El Salvador,2012,452.0,9487.0,210118.0,365723.0,False,,21368.0,,2442.0,,2442.0,100.0,98.0,both
1287,Puerto Rico,2018,1636.0,8990.0,54949.0,48903.0,False,,,,,,,107.0,107.0,both
1159,Nicaragua,2020,546.0,12494.0,228958.0,529433.0,False,,59205.0,,59205.0,,1724.0,,,both
1002,Mauritania,2013,,0.0,0.0,,False,,,,,,,,,left_only
1737,Vanuatu,2018,513.0,3417.0,66645.0,91531.0,False,,,,,,,,,left_only
227,Burkina Faso,2018,300.0,40244.0,1341454.0,2539000.0,False,,,,,,,112.0,112.0,both
193,Brazil,2014,860.0,3192918.0,37130094.0,37930307.0,True,,3840.0,,3840.0,,1632.0,98.0,98.0,both
300,Chad,2011,296.0,2421.0,81820.0,108293.0,False,966000.0,,966000.0,,2047.0,,131.0,,both
1324,Russian Federation,2015,878.0,3098678.0,35310350.0,19546095.0,False,168055.0,103030.0,168055.0,103030.0,2758.0,1691.0,108.0,106.0,both
347,"China, Macao SAR",2018,863.0,5851.0,67761.0,,True,,,,,,,,,left_only
468,Democratic Republic of the Congo,2019,452.0,26076.0,577439.0,995584.0,False,,,,,,,,,left_only
206,Brunei Darussalam,2017,353.0,53.0,1500.0,1300.0,False,,,,,,,,,both
846,Kazakhstan,2017,746.0,91912.0,1231324.0,815121.0,False,,546095.0,,546095.0,,1675.0,126.0,126.0,both
1675,Ukraine,2016,875.0,748000.0,8550300.0,7079000.0,False,,23821.0,,23821.0,,932.0,107.0,107.0,both
1498,Spain,2019,876.0,4641160.0,52982310.0,31246040.0,True,1348.0,,1348.0,,1510.0,,113.0,85.0,both
1773,Zimbabwe,2014,550.0,20800.0,378000.0,238145.0,False,,,,,,,,,both
1394,Senegal,2015,495.0,15003.0,302979.0,409994.0,False,,,,,,,,99.0,both
1231,Paraguay,2012,979.0,33183.0,339000.0,1168606.0,False,,,,,,,101.0,101.0,both
1403,Serbia,2014,566.0,320363.0,5657008.0,3235658.0,False,,174620.0,,174620.0,,1975.0,113.0,113.0,both
1279,Portugal,2020,675.0,379290.0,5617880.0,2259180.0,False,,,,,,,,,both
804,Israel,2015,834.0,15825.0,189850.0,190000.0,False,,16681.0,,16681.0,,4292.0,108.0,103.0,both
544,Estonia,2015,916.0,50100.0,547000.0,357900.0,False,1491.0,1015.0,1491.0,1015.0,1654.0,1126.0,95.0,91.0,both
1059,Montenegro,2020,945.0,3000.0,31761.0,26853.0,False,,,,,,,,,left_only
238,Burundi,2019,723.0,9751.0,134837.0,804013.0,False,,,,,,,109.0,109.0,both
208,Brunei Darussalam,2019,354.0,32.0,905.0,773.0,False,,,,,,,,,both
1079,Mozambique,2020,762.0,91708.0,1203852.0,1695167.0,False,,,,,,,,,left_only
1476,Somalia,2017,498.0,105.0,2107.0,3828.0,False,,,,,,,,,left_only
740,Hungary,2011,927.0,434707.0,4687213.0,3169000.0,False,,330206.0,,330206.0,,1642.0,89.0,90.0,both
663,Greece,2014,571.0,82850.0,1449807.0,724150.0,False,2420.0,2084.0,2420.0,2084.0,3211.0,2765.0,109.0,102.0,both
72,Austria,2013,974.0,529284.0,5431798.0,2983158.0,False,1720.0,1388.0,1720.0,1388.0,2284.0,1843.0,114.0,114.0,both
1526,Sweden,2017,934.0,240700.0,2576290.0,1382300.0,False,,,,,,,103.0,103.0,both
1345,Saint Kitts and Nevis,2016,629.0,66.0,1050.0,7100.0,False,,,,,,,,99.0,both
596,France,2017,916.0,2147550.0,23453731.0,12930857.0,True,1413.0,,1413.0,,1596.0,,106.0,85.0,both
1214,Panama,2015,740.0,35954.0,485961.0,365000.0,False,,,,,,,102.0,102.0,both
1030,Micronesia (Federated States of),2011,300.0,933.0,31115.0,35000.0,False,,,,,,,,,left_only
1180,Niue,2011,645.0,60.0,930.0,2112.0,False,,,,,,,,,left_only
571,Fiji,2012,450.0,4005.0,89000.0,146400.0,False,6480.0,5040.0,6480.0,5040.0,3620.0,2816.0,95.0,96.0,both
488,Dominica,2019,601.0,426.0,7092.0,5070.0,False,,,,,,,,,left_only
1031,Micronesia (Federated States of),2012,300.0,932.0,31058.0,35000.0,False,,,,,,,,,left_only
1604,Tonga,2015,474.0,1709.0,36055.0,83356.0,False,,,,,,,,,left_only
76,Austria,2017,987.0,508494.0,5152595.0,2792803.0,False,1660.0,1341.0,1660.0,1341.0,1875.0,1515.0,110.0,110.0,both
109,Barbados,2020,821.0,2848.0,34686.0,19827.0,False,,,,,,,,,left_only
8,Albania,2019,494.0,10232.0,206967.0,183847.0,False,,362279.0,,362279.0,,3298.0,97.0,107.0,both
1353,Saint Lucia,2014,1652.0,512.0,3100.0,11018.0,False,,,,,,,99.0,99.0,both
180,Botswana,2011,358.0,460.0,12850.0,4865.0,False,,,,,,,,,left_only
666,Greece,2017,584.0,77319.0,1323843.0,716856.0,False,2380.0,2109.0,2380.0,2109.0,2689.0,2382.0,107.0,104.0,both
710,Guyana,2011,501.0,203.0,4050.0,9000.0,False,,653660.0,,653660.0,,3204.0,,124.0,both
1121,Netherlands,2012,930.0,1331731.0,14317700.0,12233650.0,True,,1212.0,,1212.0,,1557.0,100.0,115.0,both
1652,Tuvalu,2013,301.0,117.0,3885.0,14036.0,False,,,,,,,,,left_only
264,Cambodia,2015,500.0,111618.0,2232359.0,2180000.0,False,,,,,,,99.0,99.0,both
1533,Switzerland,2014,883.0,242094.0,2742441.0,1498321.0,False,3653.0,2809.0,3653.0,2809.0,3987.0,3066.0,109.0,109.0,both
625,Gambia,2016,400.0,440.0,11000.0,12000.0,False,,,,,,,108.0,108.0,both
1765,Zambia,2016,440.0,26850.0,610000.0,1051082.0,False,,,,,,,113.0,,both
