,year,month,production_broiler_chicken_compounds_ipu_thsdtonnes,production_broiler_chicken_compounds_rtl_thsdtonnes,production_layers_compounds_ipu_thsdtonnes,production_layers_compounds_rtl_thsdtonnes,production_total_poultry_feed_rtl_thsdtonnes,production_total_production_ipu_thsdtonnes,production_broiler_chicken_compounds_thsdtonnes,production_layers_compounds_thsdtonnes,production_total_poultry_feed_thsdtonnes
41,1995.0,Sep,169.1,70.2,34.7,61.6,231.6,282.3,239.3,96.30000000000001,513.9
157,2005.0,Mar,209.5,84.0,24.9,80.9,237.1,283.1,293.5,105.80000000000001,520.2
100,2000.0,Oct,161.1,68.4,22.1,64.3,214.4,236.8,229.5,86.4,451.20000000000005
113,2001.0,Sep,210.6,90.8,24.1,66.8,249.4,284.0,301.4,90.9,533.4
298,2017.0,Jan,116.3,156.0,12.5,88.5,299.2,160.8,272.3,101.0,460.0
10,1993.0,Jan,,75.4,,66.8,213.8,,,,
292,2016.0,Oct,115.7,157.4,11.5,86.2,316.7,167.7,273.1,97.7,484.4
260,2014.0,Dec,157.0,131.0,14.3,95.2,287.9,220.3,288.0,109.5,508.2
343,2021.0,Aug,131.1,176.8,8.7,93.6,355.7,171.0,307.9,102.3,526.7
341,2020.0,Sep,155.6,207.8,13.8,111.3,408.2,211.1,363.4,125.1,619.3
144,2004.0,Jun,210.0,85.1,23.7,73.6,260.9,283.8,295.1,97.3,544.7
103,2001.0,Aug,171.7,77.6,21.0,65.6,239.8,232.6,249.29999999999998,86.6,472.4
197,2008.0,Sep,194.7,94.7,21.2,80.8,263.9,262.3,289.4,102.0,526.2
290,2016.0,May,113.8,147.5,12.2,89.9,312.4,161.9,261.3,102.10000000000001,474.29999999999995
132,2003.0,Jun,192.5,92.4,23.8,69.0,255.2,263.6,284.9,92.8,518.8
347,2021.0,Jul,127.0,179.5,8.7,92.0,370.0,167.5,306.5,100.7,537.5
101,2000.0,Sep,196.6,77.3,25.7,68.8,233.4,287.1,273.9,94.5,520.5
228,2011.0,Jun,198.1,118.5,17.7,85.3,299.1,261.4,316.6,103.0,560.5
280,2015.0,Oct,112.3,140.1,11.4,85.9,300.6,163.7,252.39999999999998,97.30000000000001,464.3
175,2007.0,Aug,150.8,88.2,19.6,75.1,251.6,208.2,239.0,94.69999999999999,459.79999999999995
326,2019.0,May,116.5,167.7,11.8,88.3,332.1,162.6,284.2,100.1,494.70000000000005
168,2006.0,Jun,215.6,72.6,22.6,77.5,235.9,286.2,288.2,100.1,522.1
115,2002.0,Aug,152.2,85.8,20.0,64.9,247.8,210.4,238.0,84.9,458.20000000000005
148,2004.0,Oct,177.5,72.7,20.5,69.6,219.7,239.7,250.2,90.1,459.4
246,2013.0,Apr,143.4,117.0,13.5,80.8,265.0,193.6,260.4,94.3,458.6
54,1997.0,Apr,150.9,72.6,29.7,61.9,222.0,241.7,223.5,91.6,463.7
33,1995.0,Feb,,73.4,,58.4,212.1,,,,
222,2011.0,Apr,163.7,95.9,16.1,77.0,235.9,216.1,259.6,93.1,452.0
250,2013.0,Jan,143.7,109.7,13.9,80.7,245.6,193.2,253.39999999999998,94.60000000000001,438.79999999999995
154,2005.0,Jan,176.8,72.3,20.6,69.6,197.6,235.9,249.10000000000002,90.19999999999999,433.5
16,1993.0,Oct,,83.9,,59.4,228.9,,,,
249,2013.0,Feb,145.0,108.7,14.0,76.3,239.9,197.4,253.7,90.3,437.3
149,2004.0,Sep,213.9,83.3,24.7,76.1,246.6,287.9,297.2,100.8,534.5
268,2014.0,Oct,139.6,113.9,12.0,82.4,265.3,195.5,253.5,94.4,460.8
220,2010.0,Oct,160.9,93.3,16.8,80.4,246.6,215.7,254.2,97.2,462.29999999999995
241,2012.0,Mar,189.3,123.2,17.4,88.4,275.9,253.4,312.5,105.80000000000001,529.3
320,2019.0,Dec,137.7,189.9,13.7,108.8,373.1,198.8,327.6,122.5,571.9000000000001
30,1995.0,Apr,,71.5,,62.2,220.8,,,,
90,2000.0,Apr,156.5,63.4,21.7,64.1,194.4,228.9,219.9,85.8,423.3
46,1996.0,Jan,146.0,70.0,28.1,57.6,199.1,239.8,216.0,85.7,438.9
