???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Broilers,Conditions,Perihepatitis/Peritonitis,2020-09,England,71623,65124367,42,0.11
Broilers,Conditions,Perihepatitis/Peritonitis,2020-09,England,246,65124367,42,0
Broilers,Conditions,Perihepatitis/Peritonitis,2020-07,Wales,2,7924167,3,0
Broilers,Conditions,Perihepatitis/Peritonitis,2020-07,Wales,8208,7924167,3,0.104
Broilers,Conditions,Perihepatitis/Peritonitis,2020-08,Wales,26,8295869,4,0
Broilers,Conditions,Perihepatitis/Peritonitis,2020-08,Wales,7018,8295869,4,0.085
Broilers,Conditions,Perihepatitis/Peritonitis,2020-09,Wales,1,7861283,3,0
Broilers,Conditions,Perihepatitis/Peritonitis,2020-09,Wales,8100,7861283,3,0.103
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-07,England,1102,72066108,44,0.002
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-07,England,7,72066108,44,0
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-08,England,1934,68773331,43,0.003
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-08,England,12,68773331,43,0
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-09,England,833,65124367,42,0.001
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-09,England,16,65124367,42,0
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-07,Wales,46,7924167,3,0.001
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-08,Wales,46,8295869,4,0.001
Broilers,Conditions,Respiratory Disease (air sacculitis),2020-09,Wales,55,7861283,3,0.001
Broilers,Conditions,Salpingitis,2020-07,England,386,72066108,44,0.001
Broilers,Conditions,Salpingitis,2020-08,England,374,68773331,43,0.001
Broilers,Conditions,Salpingitis,2020-09,England,268,65124367,42,0
Broilers,Conditions,Salpingitis,2020-07,Wales,7,7924167,3,0
Broilers,Conditions,Salpingitis,2020-09,Wales,3,7861283,3,0
Broilers,Conditions,Tumours/Nodules,2020-07,England,11921,72066108,44,0.017
Broilers,Conditions,Tumours/Nodules,2020-07,England,46,72066108,44,0
Broilers,Conditions,Tumours/Nodules,2020-08,England,9,68773331,43,0
Broilers,Conditions,Tumours/Nodules,2020-08,England,10828,68773331,43,0.016
Broilers,Conditions,Tumours/Nodules,2020-09,England,11019,65124367,42,0.017
Broilers,Conditions,Tumours/Nodules,2020-09,England,6,65124367,42,0
Broilers,Conditions,Tumours/Nodules,2020-07,Wales,398,7924167,3,0.005
Broilers,Conditions,Tumours/Nodules,2020-08,Wales,224,8295869,4,0.003
Broilers,Conditions,Tumours/Nodules,2020-09,Wales,356,7861283,3,0.005
Ducks,Conditions,Abnormal Colour/Fevered,2020-07,England,27,712821,6,0.004
Ducks,Conditions,Abnormal Colour/Fevered,2020-08,England,114,676417,3,0.017
Ducks,Conditions,Abnormal Colour/Fevered,2020-09,England,83,711455,8,0.012
Ducks,Conditions,Antemortem Rejects (Cull/Runts),2020-07,England,9,712821,6,0.001
Ducks,Conditions,Antemortem Rejects (Cull/Runts),2020-08,England,18,676417,3,0.003
Ducks,Conditions,Antemortem Rejects (Cull/Runts),2020-09,England,44,711455,8,0.006
Ducks,Conditions,Ascites/Oedema,2020-07,England,3170,712821,6,0.445
Ducks,Conditions,Ascites/Oedema,2020-08,England,3196,676417,3,0.472
Ducks,Conditions,Ascites/Oedema,2020-09,England,4945,711455,8,0.695
Ducks,Conditions,Contamination,2020-07,England,11,712821,6,0.002
Ducks,Conditions,Contamination,2020-07,England,7,712821,6,0.001
Ducks,Conditions,Contamination,2020-08,England,82,676417,3,0.012
Ducks,Conditions,Contamination,2020-09,England,13,711455,8,0.002
Ducks,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-07,England,338,712821,6,0.047
Ducks,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-08,England,621,676417,3,0.092
Ducks,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-09,England,543,711455,8,0.076
Ducks,Conditions,Death other than slaughter (uncut/badly bled),2020-07,England,1,712821,6,0
Ducks,Conditions,Dermatitis,2020-07,England,293,712821,6,0.041
Ducks,Conditions,Dermatitis,2020-08,England,1021,676417,3,0.151
Ducks,Conditions,Dermatitis,2020-09,England,684,711455,8,0.096
Ducks,Conditions,Emaciation,2020-07,England,608,712821,6,0.085
Ducks,Conditions,Emaciation,2020-08,England,607,676417,3,0.09
Ducks,Conditions,Emaciation,2020-09,England,633,711455,8,0.089
Ducks,Conditions,Hepatitis,2020-07,England,59,712821,6,0.008
Ducks,Conditions,Hepatitis,2020-08,England,43,676417,3,0.006
Ducks,Conditions,Hepatitis,2020-09,England,62,711455,8,0.009
Ducks,Conditions,Hepatitis,2020-09,England,5,711455,8,0.001
Ducks,Conditions,Joint Lesions,2020-07,England,192,712821,6,0.027
Ducks,Conditions,Joint Lesions,2020-08,England,458,676417,3,0.068
Ducks,Conditions,Joint Lesions,2020-09,England,314,711455,8,0.044
Ducks,Conditions,Machine Damage,2020-07,England,31,712821,6,0.004
Ducks,Conditions,Machine Damage,2020-08,England,231,676417,3,0.034
Ducks,Conditions,Machine Damage,2020-09,England,263,711455,8,0.037
Ducks,Conditions,"Other Factory (poor plucking, product requirement)",2020-07,England,15,712821,6,0.002
Ducks,Conditions,"Other Factory (poor plucking, product requirement)",2020-08,England,63,676417,3,0.009
Ducks,Conditions,"Other Factory (poor plucking, product requirement)",2020-09,England,28,711455,8,0.004
Ducks,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-07,England,25,712821,6,0.004
Ducks,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-07,England,4,712821,6,0.001
Ducks,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-08,England,8,676417,3,0.001
Ducks,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-09,England,15,711455,8,0.002
Ducks,Conditions,Overscald,2020-07,England,1,712821,6,0
Ducks,Conditions,Overscald,2020-08,England,49,676417,3,0.007
Ducks,Conditions,Overscald,2020-09,England,8,711455,8,0.001
Ducks,Conditions,Pericarditis,2020-07,England,480,712821,6,0.067
Ducks,Conditions,Pericarditis,2020-08,England,344,676417,3,0.051
Ducks,Conditions,Pericarditis,2020-09,England,249,711455,8,0.035
Ducks,Conditions,Pericarditis,2020-09,England,1,711455,8,0
Ducks,Conditions,Perihepatitis/Peritonitis,2020-07,England,19,712821,6,0.003
Ducks,Conditions,Perihepatitis/Peritonitis,2020-08,England,4,676417,3,0.001
Ducks,Conditions,Perihepatitis/Peritonitis,2020-09,England,81,711455,8,0.011
Ducks,Conditions,Respiratory Disease (air sacculitis),2020-07,England,20,712821,6,0.003
Ducks,Conditions,Respiratory Disease (air sacculitis),2020-08,England,117,676417,3,0.017
Ducks,Conditions,Respiratory Disease (air sacculitis),2020-09,England,64,711455,8,0.009
Ducks,Conditions,Salpingitis,2020-07,England,5,712821,6,0.001
Ducks,Conditions,Salpingitis,2020-08,England,20,676417,3,0.003
Ducks,Conditions,Salpingitis,2020-09,England,1,711455,8,0
Ducks,Conditions,Tumours/Nodules,2020-07,England,315,712821,6,0.044
Ducks,Conditions,Tumours/Nodules,2020-08,England,226,676417,3,0.033
Ducks,Conditions,Tumours/Nodules,2020-09,England,218,711455,8,0.031
Hens,Conditions,Abnormal Colour/Fevered,2020-07,England,7376,3283741,14,0.225
Hens,Conditions,Abnormal Colour/Fevered,2020-08,England,9320,2670764,12,0.349
Hens,Conditions,Abnormal Colour/Fevered,2020-09,England,5588,2617539,11,0.213
Hens,Conditions,Antemortem Rejects (Cull/Runts),2020-07,England,90,3283741,14,0.003
Hens,Conditions,Antemortem Rejects (Cull/Runts),2020-08,England,232,2670764,12,0.009
Hens,Conditions,Antemortem Rejects (Cull/Runts),2020-09,England,48,2617539,11,0.002
Hens,Conditions,Ascites/Oedema,2020-07,England,2524,3283741,14,0.077
Hens,Conditions,Ascites/Oedema,2020-08,England,2625,2670764,12,0.098
Hens,Conditions,Ascites/Oedema,2020-09,England,1991,2617539,11,0.076
Hens,Conditions,Bruising/Fractures,2020-07,England,154,3283741,14,0.005
Hens,Conditions,Bruising/Fractures,2020-07,England,5577,3283741,14,0.17
Hens,Conditions,Bruising/Fractures,2020-08,England,115,2670764,12,0.004
Hens,Conditions,Bruising/Fractures,2020-08,England,3336,2670764,12,0.125
Hens,Conditions,Bruising/Fractures,2020-09,England,3584,2617539,11,0.137
Hens,Conditions,Cellulitis,2020-07,England,318,3283741,14,0.01
Hens,Conditions,Cellulitis,2020-08,England,413,2670764,12,0.015
Hens,Conditions,Cellulitis,2020-09,England,425,2617539,11,0.016
Hens,Conditions,Contamination,2020-07,England,518,3283741,14,0.016
Hens,Conditions,Contamination,2020-07,England,7,3283741,14,0
Hens,Conditions,Contamination,2020-08,England,17,2670764,12,0.001
Hens,Conditions,Contamination,2020-08,England,303,2670764,12,0.011
Hens,Conditions,Contamination,2020-09,England,458,2617539,11,0.017
Hens,Conditions,Contamination,2020-09,England,49,2617539,11,0.002
Hens,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-07,England,6460,3283741,14,0.197
Hens,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-08,England,5606,2670764,12,0.21
Hens,Conditions,Dead on Arrival/Death in the Lairage (DOA),2020-09,England,5162,2617539,11,0.197
Hens,Conditions,Death other than slaughter (uncut/badly bled),2020-07,England,19,3283741,14,0.001
Hens,Conditions,Death other than slaughter (uncut/badly bled),2020-08,England,26,2670764,12,0.001
Hens,Conditions,Death other than slaughter (uncut/badly bled),2020-09,England,4,2617539,11,0
Hens,Conditions,Dermatitis,2020-07,England,2659,3283741,14,0.081
Hens,Conditions,Dermatitis,2020-08,England,1846,2670764,12,0.069
Hens,Conditions,Dermatitis,2020-09,England,1415,2617539,11,0.054
Hens,Conditions,Emaciation,2020-07,England,5256,3283741,14,0.16
Hens,Conditions,Emaciation,2020-08,England,4117,2670764,12,0.154
Hens,Conditions,Emaciation,2020-09,England,3938,2617539,11,0.15
Hens,Conditions,Hepatitis,2020-07,England,2,3283741,14,0
Hens,Conditions,Hepatitis,2020-07,England,142,3283741,14,0.004
Hens,Conditions,Hepatitis,2020-08,England,190,2670764,12,0.007
Hens,Conditions,Hepatitis,2020-09,England,176,2617539,11,0.007
Hens,Conditions,Hepatitis,2020-09,England,30,2617539,11,0.001
Hens,Conditions,Joint Lesions,2020-07,England,89,3283741,14,0.003
Hens,Conditions,Joint Lesions,2020-08,England,71,2670764,12,0.003
Hens,Conditions,Joint Lesions,2020-09,England,73,2617539,11,0.003
Hens,Conditions,Machine Damage,2020-07,England,4137,3283741,14,0.126
Hens,Conditions,Machine Damage,2020-08,England,2617,2670764,12,0.098
Hens,Conditions,Machine Damage,2020-08,England,3,2670764,12,0
Hens,Conditions,Machine Damage,2020-09,England,2395,2617539,11,0.091
Hens,Conditions,"Other Factory (poor plucking, product requirement)",2020-07,England,415,3283741,14,0.013
Hens,Conditions,"Other Factory (poor plucking, product requirement)",2020-08,England,6,2670764,12,0
Hens,Conditions,"Other Factory (poor plucking, product requirement)",2020-08,England,1274,2670764,12,0.048
Hens,Conditions,"Other Factory (poor plucking, product requirement)",2020-09,England,460,2617539,11,0.018
Hens,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-07,England,89,3283741,14,0.003
Hens,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-08,England,98,2670764,12,0.004
Hens,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2020-09,England,32,2617539,11,0.001
Hens,Conditions,Overscald,2020-07,England,2453,3283741,14,0.075
Hens,Conditions,Overscald,2020-08,England,1586,2670764,12,0.059
Hens,Conditions,Overscald,2020-09,England,1803,2617539,11,0.069
Hens,Conditions,Pericarditis,2020-07,England,23,3283741,14,0.001
Hens,Conditions,Pericarditis,2020-08,England,44,2670764,12,0.002
Hens,Conditions,Pericarditis,2020-09,England,15,2617539,11,0.001
Hens,Conditions,Pericarditis,2020-09,England,45,2617539,11,0.002
Hens,Conditions,Perihepatitis/Peritonitis,2020-07,England,4,3283741,14,0
Hens,Conditions,Perihepatitis/Peritonitis,2020-07,England,8010,3283741,14,0.244
Hens,Conditions,Perihepatitis/Peritonitis,2020-08,England,7214,2670764,12,0.27
Hens,Conditions,Perihepatitis/Peritonitis,2020-09,England,6295,2617539,11,0.24
Hens,Conditions,Respiratory Disease (air sacculitis),2020-07,England,104,3283741,14,0.003
Hens,Conditions,Respiratory Disease (air sacculitis),2020-08,England,56,2670764,12,0.002
Hens,Conditions,Respiratory Disease (air sacculitis),2020-09,England,28,2617539,11,0.001
Hens,Conditions,Salpingitis,2020-07,England,7144,3283741,14,0.218
Hens,Conditions,Salpingitis,2020-08,England,272,2670764,12,0.01
Hens,Conditions,Salpingitis,2020-08,England,6567,2670764,12,0.246
Hens,Conditions,Salpingitis,2020-09,England,4491,2617539,11,0.172
Hens,Conditions,Tumours/Nodules,2020-07,England,2129,3283741,14,0.065
Hens,Conditions,Tumours/Nodules,2020-07,England,1128,3283741,14,0.034
Hens,Conditions,Tumours/Nodules,2020-08,England,512,2670764,12,0.019
Hens,Conditions,Tumours/Nodules,2020-08,England,2319,2670764,12,0.087
Hens,Conditions,Tumours/Nodules,2020-09,England,1633,2617539,11,0.062
Hens,Conditions,Tumours/Nodules,2020-09,England,1995,2617539,11,0.076
Poultry,Conditions,Abnormal Colour/Fevered,2020-07,England,515,369366,11,0.139
Poultry,Conditions,Abnormal Colour/Fevered,2020-08,England,1146,751601,14,0.152
Poultry,Conditions,Abnormal Colour/Fevered,2020-09,England,1131,709904,12,0.159
Poultry,Conditions,Abnormal Colour/Fevered,2020-07,Wales,13,7610,2,0.171
Poultry,Conditions,Antemortem Rejects (Cull/Runts),2020-07,England,10,369366,11,0.003
Poultry,Conditions,Antemortem Rejects (Cull/Runts),2020-08,England,52,751601,14,0.007
Poultry,Conditions,Antemortem Rejects (Cull/Runts),2020-09,England,16,709904,12,0.002
Poultry,Conditions,Ascites/Oedema,2020-07,England,301,369366,11,0.081
Poultry,Conditions,Ascites/Oedema,2020-08,England,610,751601,14,0.081
Poultry,Conditions,Ascites/Oedema,2020-09,England,532,709904,12,0.075
Poultry,Conditions,Ascites/Oedema,2020-07,Wales,22,7610,2,0.289
Poultry,Conditions,Bruising/Fractures,2020-07,England,152,369366,11,0.041
Poultry,Conditions,Bruising/Fractures,2020-07,England,15,369366,11,0.004
