Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Turkeys,Conditions,Hepatitis,2018-08,England,821,976332,11,0.084
Turkeys,Conditions,Hepatitis,2018-09,England,1148,793195,11,0.145
Turkeys,Conditions,Hepatitis,2018-07,Wales,165,7726,1,2.136
Turkeys,Conditions,Hepatitis,2018-08,Wales,469,21801,1,2.151
Turkeys,Conditions,Hepatitis,2018-09,Wales,101,10762,1,0.938
Turkeys,Conditions,Joint Lesions,2018-07,England,635,975078,10,0.065
Turkeys,Conditions,Joint Lesions,2018-08,England,339,976332,11,0.035
Turkeys,Conditions,Joint Lesions,2018-09,England,232,793195,11,0.029
Turkeys,Conditions,Joint Lesions,2018-09,Wales,2,10762,1,0.019
Turkeys,Conditions,Machine Damage,2018-07,England,191,975078,10,0.02
Turkeys,Conditions,Machine Damage,2018-08,England,239,976332,11,0.024
Turkeys,Conditions,Machine Damage,2018-09,England,111,793195,11,0.014
Turkeys,Conditions,Machine Damage,2018-07,Wales,115,7726,1,1.488
Turkeys,Conditions,Machine Damage,2018-08,Wales,2,21801,1,0.009
Turkeys,Conditions,Machine Damage,2018-09,Wales,360,10762,1,3.345
Turkeys,Conditions,"Other Factory (poor plucking, product requirement)",2018-07,England,9,975078,10,0.001
Turkeys,Conditions,"Other Factory (poor plucking, product requirement)",2018-08,England,41,976332,11,0.004
Turkeys,Conditions,"Other Factory (poor plucking, product requirement)",2018-09,England,100,793195,11,0.013
Turkeys,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-07,England,21,975078,10,0.002
Turkeys,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-08,England,11,976332,11,0.001
Turkeys,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-09,England,4,793195,11,0.001
Turkeys,Conditions,"Other Farm (Jaundice, Oregon, White Muscle,Congen)",2018-08,Wales,2,21801,1,0.009
Turkeys,Conditions,Overscald,2018-07,England,180,975078,10,0.018
Turkeys,Conditions,Overscald,2018-08,England,382,976332,11,0.039
Turkeys,Conditions,Overscald,2018-09,England,171,793195,11,0.022
Turkeys,Conditions,Overscald,2018-07,Wales,1,7726,1,0.013
Turkeys,Conditions,Pericarditis,2018-07,England,2684,975078,10,0.275
Turkeys,Conditions,Pericarditis,2018-08,England,1681,976332,11,0.172
Turkeys,Conditions,Pericarditis,2018-09,England,1952,793195,11,0.246
Turkeys,Conditions,Pericarditis,2018-07,Wales,343,7726,1,4.44
Turkeys,Conditions,Pericarditis,2018-08,Wales,458,21801,1,2.101
Turkeys,Conditions,Pericarditis,2018-09,Wales,237,10762,1,2.202
Turkeys,Conditions,Perihepatitis/Peritonitis,2018-07,England,725,975078,10,0.074
Turkeys,Conditions,Perihepatitis/Peritonitis,2018-08,England,853,976332,11,0.087
Turkeys,Conditions,Perihepatitis/Peritonitis,2018-09,England,609,793195,11,0.077
Turkeys,Conditions,Perihepatitis/Peritonitis,2018-07,Wales,6,7726,1,0.078
Turkeys,Conditions,Perihepatitis/Peritonitis,2018-08,Wales,18,21801,1,0.083
Turkeys,Conditions,Perihepatitis/Peritonitis,2018-09,Wales,10,10762,1,0.093
Turkeys,Conditions,Respiratory Disease (air sacculitis),2018-07,England,314,975078,10,0.032
Turkeys,Conditions,Respiratory Disease (air sacculitis),2018-08,England,349,976332,11,0.036
Turkeys,Conditions,Respiratory Disease (air sacculitis),2018-09,England,406,793195,11,0.051
Turkeys,Conditions,Salpingitis,2018-07,England,92,975078,10,0.009
Turkeys,Conditions,Salpingitis,2018-08,England,193,976332,11,0.02
Turkeys,Conditions,Salpingitis,2018-09,England,58,793195,11,0.007
Turkeys,Conditions,Salpingitis,2018-08,Wales,22,21801,1,0.101
Turkeys,Conditions,Salpingitis,2018-09,Wales,45,10762,1,0.418
Turkeys,Conditions,Tumours/Nodules,2018-07,England,3,975078,10,0
Turkeys,Conditions,Tumours/Nodules,2018-08,England,5,976332,11,0.001
Turkeys,Conditions,Tumours/Nodules,2018-09,England,1,793195,11,0
Turkeys,Conditions,Tumours/Nodules,2018-08,Wales,1,21801,1,0.005
