???Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Turkeys,Conditions,Respiratory Disease (air sacculitis),2020-04,England,194,828151,11,0.023
Turkeys,Conditions,Respiratory Disease (air sacculitis),2020-05,England,62,545716,12,0.011
Turkeys,Conditions,Respiratory Disease (air sacculitis),2020-06,England,248,845645,11,0.029
Turkeys,Conditions,Salpingitis,2020-04,England,383,828151,11,0.046
Turkeys,Conditions,Salpingitis,2020-04,England,1,828151,11,0
Turkeys,Conditions,Salpingitis,2020-05,England,184,545716,12,0.034
Turkeys,Conditions,Salpingitis,2020-05,England,8,545716,12,0.001
Turkeys,Conditions,Salpingitis,2020-06,England,169,845645,11,0.02
Turkeys,Conditions,Salpingitis,2020-05,Wales,12,4554,1,0.264
Turkeys,Conditions,Salpingitis,2020-06,Wales,10,3451,1,0.29
Turkeys,Conditions,Tumours/Nodules,2020-04,England,10,828151,11,0.001
Turkeys,Conditions,Tumours/Nodules,2020-05,England,9,545716,12,0.002
Turkeys,Conditions,Tumours/Nodules,2020-06,England,12,845645,11,0.001
Turkeys,Conditions,Tumours/Nodules,2020-06,Wales,1,3451,1,0.029
