iso3,year,incomegroup,flag
ATG,2002,H,
ARG,2002,UM,
ARM,2002,LM,
ABW,2002,H,
AUS,2002,H,
AUT,2002,H,
AZE,2002,L,
BHS,2002,H,
BHR,2002,H,
BGD,2002,L,
BRB,2002,H,
BLR,2002,LM,
BEL,2002,H,
BLZ,2002,UM,
BEN,2002,L,
BMU,2002,H,
BTN,2002,L,
BOL,2002,LM,
BIH,2002,LM,
BWA,2002,UM,
BRA,2002,LM,
VGB,2002,..,
BRN,2002,H,
BGR,2002,LM,
BFA,2002,L,
BDI,2002,L,
CPV,2002,LM,
KHM,2002,L,
CMR,2002,L,
CAN,2002,H,
CYM,2002,H,
CAF,2002,L,
TCD,2002,L,
CHI,2002,H,
CHL,2002,UM,
CHN,2002,LM,
COL,2002,LM,
COM,2002,L,
COD,2002,L,
COG,2002,L,
CRI,2002,UM,
CIV,2002,L,
HRV,2002,UM,
CUB,2002,LM,
CUW,2002,..,
CYP,2002,H,
CZE,2002,UM,
DNK,2002,H,
DJI,2002,LM,
DMA,2002,UM,
DOM,2002,LM,
ECU,2002,LM,
EGY,2002,LM,
SLV,2002,LM,
GNQ,2002,L,
ERI,2002,L,
EST,2002,UM,
SWZ,2002,LM,
ETH,2002,L,
FRO,2002,H,
FJI,2002,LM,
FIN,2002,H,
FRA,2002,H,
PYF,2002,H,
GAB,2002,UM,
GMB,2002,L,
GEO,2002,L,
DEU,2002,H,
GHA,2002,L,
GIB,2002,..,
GRC,2002,H,
GRL,2002,H,
GRD,2002,UM,
GUM,2002,H,
GTM,2002,LM,
GIN,2002,L,
GNB,2002,L,
GUY,2002,LM,
HTI,2002,L,
HND,2002,LM,
HKG,2002,H,
HUN,2002,UM,
ISL,2002,H,
IND,2002,L,
IDN,2002,L,
IRN,2002,LM,
IRQ,2002,LM,
IRL,2002,H,
IMN,2002,H,
ISR,2002,H,
ITA,2002,H,
JAM,2002,LM,
JPN,2002,H,
JOR,2002,LM,
KAZ,2002,LM,
KEN,2002,L,
KIR,2002,LM,
PRK,2002,L,
KOR,2002,H,
XKX,2002,..,
KWT,2002,H,
KGZ,2002,L,
LAO,2002,L,
LVA,2002,UM,
LBN,2002,UM,
LSO,2002,L,
LBR,2002,L,
LBY,2002,UM,
LIE,2002,H,
LTU,2002,UM,
LUX,2002,H,
MAC,2002,H,
MDG,2002,L,
MWI,2002,L,
MYS,2002,UM,
MDV,2002,LM,
MLI,2002,L,
MLT,2002,H,
MHL,2002,LM,
MRT,2002,L,
MUS,2002,UM,
MEX,2002,UM,
FSM,2002,LM,
MDA,2002,L,
MCO,2002,H,
MNG,2002,L,
MNE,2002,..,
MAR,2002,LM,
MOZ,2002,L,
MMR,2002,L,
NAM,2002,LM,
NRU,2002,..,
NPL,2002,L,
NLD,2002,H,
NCL,2002,H,
NZL,2002,H,
NIC,2002,L,
NER,2002,L,
NGA,2002,L,
MKD,2002,LM,
MNP,2002,UM,
NOR,2002,H,
OMN,2002,UM,
PAK,2002,L,
PLW,2002,UM,
PAN,2002,UM,
PNG,2002,L,
PRY,2002,LM,
PER,2002,LM,
PHL,2002,LM,
POL,2002,UM,
PRT,2002,H,
PRI,2002,H,
QAT,2002,H,
