agesex_scenario,species,production_system,item,mean_current,stdev_current,mean_ideal,stdev_ideal,mean_mortality_zero,stdev_mortality_zero,mean_all_mort_25_imp,stdev_all_mort_25_imp,mean_all_mort_50_imp,stdev_all_mort_50_imp,mean_all_mort_75_imp,stdev_all_mort_75_imp,mean_current_growth_25_imp_all,stdev_current_growth_25_imp_all,mean_current_growth_50_imp_all,stdev_current_growth_50_imp_all,mean_current_growth_75_imp_all,stdev_current_growth_75_imp_all,mean_current_growth_100_imp_all,stdev_current_growth_100_imp_all,mean_current_repro_25_imp,stdev_current_repro_25_imp,mean_current_repro_50_imp,stdev_current_repro_50_imp,mean_current_repro_75_imp,stdev_current_repro_75_imp,mean_current_repro_100_imp,stdev_current_repro_100_imp,exchg_rate_lcuperusdol,mean_current_usd,mean_ideal_usd,mean_mortality_zero_usd,mean_all_mort_25_imp_usd,mean_all_mort_50_imp_usd,mean_all_mort_75_imp_usd,mean_current_growth_25_imp_all_usd,mean_current_growth_50_imp_all_usd,mean_current_growth_75_imp_all_usd,mean_current_growth_100_imp_all_usd,mean_current_repro_25_imp_usd,mean_current_repro_50_imp_usd,mean_current_repro_75_imp_usd,mean_current_repro_100_imp_usd,stdev_current_usd,stdev_ideal_usd,stdev_mortality_zero_usd,stdev_all_mort_25_imp_usd,stdev_all_mort_50_imp_usd,stdev_all_mort_75_imp_usd,stdev_current_growth_25_imp_all_usd,stdev_current_growth_50_imp_all_usd,stdev_current_growth_75_imp_all_usd,stdev_current_growth_100_imp_all_usd,stdev_current_repro_25_imp_usd,stdev_current_repro_50_imp_usd,stdev_current_repro_75_imp_usd,stdev_current_repro_100_imp_usd
Adult Female,Sheep,Crop livestock mixed,Wool,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Cml Dry Matter,2714004825.1165,83585784.9158792,3201993261.79111,153089968.811262,2767941795.73012,86122868.3387788,2732250970.69889,83631992.2282885,2746785647.72979,85085851.6524956,2745334664.91638,87036443.6265054,2711946002.20319,84140945.8674547,2712553675.4335,84622011.6641928,2701011890.52876,85526260.3082385,2710084434.46359,83089892.716581,2777775990.81588,88261238.8438843,2857653382.25279,98205621.2780373,2920160795.702,110432850.076079,3117740122.91923,150946645.034269,29.06975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adult Female,Sheep,Crop livestock mixed,Value of Offtake,15131541926.556,2799812175.82989,16686779930.1467,3027249904.15856,15116740317.0887,2774893331.43392,17529461524.3796,147333162.01662,17533574941.2636,146740624.751717,17552460811.2925,147509965.562031,15095083251.5377,2778735496.05924,15164206492.6496,2711291783.71189,15083899242.6019,2740962409.96554,15175255977.9567,2738260243.7196,15296500132.184,2828513061.89511,15469132562.0954,2811779656.59712,15684600325.1419,2853088703.05059,16414216170.3482,3027291816.66087,29.06975,520525354.58873916,574025574.0123909,520016178.9175586,603013838.2469612,603155339.8726717,603805014.1914705,519271175.41560215,521649016.336556,518886445.27737254,522029118.85918176,526199920.2670818,532138479.4191694,539550574.9152263,564649375.0496031,96313596.63670619,104137459.18552998,95456387.87515956,5068263.814330017,5047880.520187377,5074345.859941383,95588558.4175729,93268493.32078502,94289163.47631267,94196208.90167959,97300907.70973642,96725278.22210786,98146310.27272646,104138900.97647451
Adult Female,Sheep,Crop livestock mixed,Value of Herd Increase,5571742546.00676,1007083148.81522,25337912211.211,4828111880.4713,8226776765.81315,1066200008.95728,6610484524.65033,892714865.504206,7181108651.94688,878609221.160333,7930664839.85463,887211472.29766,5590915728.77151,989937975.149848,5640269283.37483,1030707545.08789,5453393267.34434,1005990643.70631,5677431985.64825,1025299360.27187,7889099197.52162,1477417459.66239,10408283527.2658,2046642369.44537,13163730175.2639,2676621878.78955,20775554867.6675,4569653188.42725,29.06975,191668058.5834677,871624703.0404803,283001290.5447467,227400804.0884538,247030285.8451442,272815034.1800198,192327616.46630985,194025379.76332203,187596840.95474988,195303777.48856628,271385175.22584885,358045168.1650444,452832589.72863203,714679516.2554717,34643681.10545223,166087148.34050173,36677302.31451182,30709409.798990566,30224175.34242066,30520092.95909528,34053886.77748684,35456360.82483991,34606098.90715641,35270319.15554382,50823191.10630088,70404539.75164458,92075847.87586924,157196163.9995958
Adult Female,Sheep,Crop livestock mixed,Value of Herd Increase plus Offtake,20703284472.5627,3005035505.59224,42024692141.3577,5984692303.44073,23343517082.9018,2996013858.91634,24139946049.0299,988081250.154716,24714683593.2105,974369633.710984,25483125651.1471,983223451.097278,20685998980.3092,2967768430.73501,20804475776.0245,2936833831.12002,20537292509.9462,2935581093.17436,20852687963.605,2948531480.78468,23185599329.7056,3243442432.55265,25877416089.3612,3551289221.80342,28848330500.4057,4044641252.03051,37189771038.0157,5772818277.31042,29.06975,712193413.1722047,1445650277.052871,803017469.4623035,830414642.3354139,850185625.7178166,876620048.3714893,711598791.8819116,715674396.0998806,706483286.2321211,717332896.3477498,797585095.4929299,890183647.5842139,992383164.643855,1279328891.305075,103373283.41634311,205873538.76248437,103062938.58448525,33990015.39933147,33518335.510659155,33822907.01149057,102091295.27206151,101027144.40681534,100984050.1956281,101429543.79671927,111574486.62450314,122164422.52869117,139135742.55129507,198585067.89051917
Adult Female,Sheep,Crop livestock mixed,Value of Manure,1152750698.20502,7166304.26866585,1289786781.59878,33852736.1474351,1177023127.45894,6633588.34477613,1159346461.8791,6934510.36709774,1164782653.40103,6695782.68226865,1171453784.83587,6679174.31985652,1152410252.22215,7003384.18254745,1152293443.8187,7193995.78856306,1150438528.50519,7120743.94021867,1151680689.22771,7190526.29842079,1169061952.62233,10396585.6055153,1186522328.20947,14815288.7901222,1205479491.97465,19460850.154701,1258265768.6897,33295171.23382,29.06975,39654647.81104138,44368691.908213176,40489619.87835947,39881542.21756637,40068547.318123825,40298034.377174556,39642936.46220384,39638918.250714235,39575109.125644006,39617839.480136916,40215755.29966133,40816392.580241315,41468519.4050396,43284368.413546726,246521.0147547141,1164534.8221926608,228195.57597764448,238547.2997565421,230335.06247107903,229763.73446130496,240916.56042956855,247473.60361073143,244953.73851576538,247354.25307822702,357642.75941538194,509646.2401679478,669453.6469939025,1145354.5776561545
Adult Female,Sheep,Crop livestock mixed,Value of Hides,34631855.8338599,2041763.19893725,21886395.9481163,2041020.98744462,18256622.1543884,1303967.25027339,30731368.7840326,1788098.29867248,26629928.8643366,1573836.75039948,22530674.6930269,1418645.6743335,34818752.7105052,2053759.21966648,34613257.0309356,2056091.67418342,35366142.8943209,2083716.22266943,34742747.7651984,2112500.2995664,35078174.5534444,2106657.47828719,36661354.2019772,2174312.61234771,36740750.7848939,2264399.6427422,39030921.6462041,2662309.16624171,29.06975,1191336.5554867138,752892.4723506841,628028.1789278684,1057159.7204665537,916070.1025752405,775055.67447353,1197765.8119008662,1190696.7562822385,1216596.0455222663,1195151.2402135693,1206689.9286524446,1261151.3412388205,1263882.5853299014,1342664.5102281272,70236.6961854591,70211.16409479339,44856.50032330481,61510.61838070434,54140.01669775214,48801.44047793669,70649.35954614264,70729.59602966727,71679.88106775703,72670.0539071165,72469.06073451578,74796.39874260048,77895.39444756834,91583.490268809
Adult Female,Sheep,Crop livestock mixed,Value of Milk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.06975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adult Female,Sheep,Crop livestock mixed,Total Production Value,21890667026.6016,3006999771.61729,43336365318.9046,6010647363.46957,24538796832.5152,2997792798.83382,25330023879.693,994089598.877063,25906096175.4758,980311889.057114,26677110110.676,989208705.117687,21873227985.2418,2969577713.09806,21991382476.8741,2938950829.28994,21723097181.3457,2937430426.48165,22039111400.5979,2950464038.90958,24389739456.8814,3247630282.70899,27100599771.7726,3559117641.17513,30090550743.1653,4056757295.50239,38487067728.3516,5798343635.51967,29.06975,753039397.5387336,1490771861.4334352,844135117.5195935,871353344.2734458,891170243.1385134,917693138.4231374,752439494.1560143,756504011.1068758,747274991.4032869,758145887.0681001,839007540.7212447,932261191.5056924,1035115566.6342263,1323955924.2288496,103440854.2081473,206766393.36318922,103124134.1543639,34196702.7193926,33722749.21721426,34028799.87332836,102153534.62269405,101099969.18755545,101047667.29956914,101496023.83610387,111718548.75631851,122433720.31665665,139552534.69680303,199463140.73976108
Adult Female,Sheep,Crop livestock mixed,Feed Cost,3134149583.69218,149112650.032844,3666708926.98038,186815604.914305,3208616057.87451,152176188.381672,3175293903.69674,153810721.533958,3163189361.50697,149888797.73138,3187750500.611,152180663.29764,3183845584.885,152841516.679818,3245154386.60565,156760550.85761,3277787246.63833,156341351.458045,3243180149.11746,149668822.243156,3198499773.57753,153611684.366805,3244057165.56605,155164277.116502,3298930405.21121,164386297.759276,3461482185.02685,182865321.515637,29.06975,107814810.36789723,126134862.76904275,110376458.61675832,109230175.82527336,108813779.32410736,109658683.01622821,109524353.83465631,111633377.87926109,112755948.93792792,111565464.06891906,110028458.22814196,111595633.4528522,113483274.02923004,119075058.60995881,5129478.238816777,6426460.664928491,5234864.02124793,5291091.995423352,5156177.735666113,5235017.958449591,5257751.328436537,5392566.185041495,5378145.717044178,5148610.574330911,5284245.112765159,5337654.33540027,5654892.035854316,6290570.834480414
