species,production_system,group,age_group,sex,ahle_component,cause,median,mean,sd,lower95,upper95,exchg_rate_lcuperusdol,mean_usd,median_usd,lower95_usd,upper95_usd,sd_usd
All Poultry,Small holder,Juvenile,Juvenile,Overall,Mortality,Non-infectious,-2939982.37198902,-3164855.29753318,32387261.5361686,-5172201.67853977,-1157508.9165266,29.06975,-108871.08755779393,-101135.45427769487,-177923.84449607477,-39818.330619513414,1114122.465317679
All Poultry,Small holder,Juvenile,Juvenile,Overall,Production loss,External,-2724186.65970689,-2446461.19365358,32852889.5886051,-4482666.97004035,-410255.417266811,29.06975,-84158.31555667249,-93712.07732116342,-154203.83629168983,-14112.794821655192,1130140.0799320634
All Poultry,Small holder,Juvenile,Juvenile,Overall,Production loss,Infectious,-6079993.89767613,-5802839.03642491,68943908.1567744,-10075948.214748,-1529729.85810184,29.06975,-199617.78262368648,-209151.91557120823,-346612.82655502716,-52622.73869234651,2371671.8635961576
All Poultry,Small holder,Juvenile,Juvenile,Overall,Production loss,Non-infectious,-5865810.59229482,-5688363.38551418,65617743.5385441,-9755318.53313662,-1621408.23789174,29.06975,-195679.81786957852,-201784.00544534507,-335583.1588897951,-55776.47684936196,2257251.7320769564
All Poultry,Village,Adult,Adult,Overall,Health cost,External,,0.0,0.0,0.0,0.0,29.06975,0.0,,0.0,0.0,0.0
All Poultry,Village,Adult,Adult,Overall,Health cost,Infectious,,0.0,0.0,0.0,0.0,29.06975,0.0,,0.0,0.0,0.0
All Poultry,Village,Adult,Adult,Overall,Health cost,Non-infectious,,0.0,0.0,0.0,0.0,29.06975,0.0,,0.0,0.0,0.0
All Poultry,Village,Adult,Adult,Overall,Mortality,External,1931660401.6661,1953153791.33346,1118140441.93888,1883852002.2002,2022455580.46671,29.06975,67188530.73498946,66449157.68680845,64804547.75841554,69572513.71156305,38464054.28113004
All Poultry,Village,Adult,Adult,Overall,Mortality,Infectious,5734612263.81853,5799647417.847,3210179238.67711,5600682103.35307,5998612732.34093,29.06975,199507990.87873134,197270780.23782557,192663579.9534936,206352401.8039691,110430232.06863184
All Poultry,Village,Adult,Adult,Overall,Mortality,Non-infectious,2173953093.3838,2268033792.30855,1329631684.06666,2185623881.05062,2350443703.56648,29.06975,78020409.26765968,74784031.28282149,75185506.61944531,80855311.91587406,45739357.375507526
All Poultry,Village,Adult,Adult,Overall,Production loss,External,3073095012.24563,3166735117.80457,1680763076.52423,3062562257.2735,3270907978.33563,29.06975,108935753.41392927,105714531.84996878,105352204.86153132,112519301.96632685,57818284.523404226
All Poultry,Village,Adult,Adult,Overall,Production loss,Infectious,10625322549.6011,10814108372.1935,5402190896.6553,10479283264.0627,11148933480.3242,29.06975,372005551.20678717,365511315.0130669,360487560.57629323,383523541.8372776,185835478.34622934
All Poultry,Village,Adult,Adult,Overall,Production loss,Non-infectious,8318712096.91618,8473629180.05139,4318105072.02748,8205995172.79022,8741263187.31257,29.06975,291493018.689579,286163867.8322373,282286403.3158256,300699634.06333286,148542903.6034875
All Poultry,Village,Chick,Chick,Overall,Health cost,External,,0.0,0.0,0.0,0.0,29.06975,0.0,,0.0,0.0,0.0
All Poultry,Village,Chick,Chick,Overall,Health cost,Infectious,,0.0,0.0,0.0,0.0,29.06975,0.0,,0.0,0.0,0.0
All Poultry,Village,Chick,Chick,Overall,Health cost,Non-infectious,,0.0,0.0,0.0,0.0,29.06975,0.0,,0.0,0.0,0.0
All Poultry,Village,Chick,Chick,Overall,Mortality,External,3532193556.37158,3611145270.00999,1812271368.23328,3498821590.88811,3723468949.13187,29.06975,124223471.82242677,121507531.2437011,120359534.94227196,128087408.70258154,62342172.472528316
All Poultry,Village,Chick,Chick,Overall,Mortality,Infectious,5911687545.41776,6016340260.82925,2976775775.23359,5831841177.05182,6200839344.60669,29.06975,206962229.14986372,203362173.5796751,200615456.85985672,213309001.439871,102401148.10872437
All Poultry,Village,Chick,Chick,Overall,Mortality,Non-infectious,1639749985.46859,1691968424.65442,892613914.005397,1636644657.68777,1747292191.62107,29.06975,58203748.73036128,56407433.3445795,56300610.00482529,60106887.45589728,30705937.065347895
All Poultry,Village,Chick,Chick,Overall,Production loss,External,362912340.383087,343105277.871824,1925134744.99695,223786382.725222,462424173.018427,29.06975,11802828.640487932,12484191.999693392,7698256.184701348,15907401.096274547,66224674.962700054
All Poultry,Village,Chick,Chick,Overall,Production loss,Infectious,578902721.668948,606625779.348296,3194188794.26906,408651544.65521,804600014.041382,29.06975,20867939.330344982,19914265.57397116,14057621.570712168,27678257.089977793,109880160.45095195
All Poultry,Village,Chick,Chick,Overall,Production loss,Non-infectious,520179679.221545,489604384.103478,2719565048.38866,321047093.401438,658161674.805519,29.06975,16842400.918600194,17894191.70173617,11044026.639425451,22640775.197774973,93553093.79642618
All Poultry,Village,Juvenile,Juvenile,Overall,Health cost,External,,0.0,0.0,0.0,0.0,29.06975,0.0,,0.0,0.0,0.0
All Poultry,Village,Juvenile,Juvenile,Overall,Health cost,Infectious,,0.0,0.0,0.0,0.0,29.06975,0.0,,0.0,0.0,0.0
All Poultry,Village,Juvenile,Juvenile,Overall,Health cost,Non-infectious,,0.0,0.0,0.0,0.0,29.06975,0.0,,0.0,0.0,0.0
All Poultry,Village,Juvenile,Juvenile,Overall,Mortality,External,426981049.952203,455661562.352754,841198816.565638,403524477.583969,507798647.12154,29.06975,15674767.149795027,14688156.93124994,13881250.357638748,17468283.941951342,28937256.652211938
All Poultry,Village,Juvenile,Juvenile,Overall,Mortality,Infectious,1170778691.27766,1250653034.14214,2268656524.13578,1110042829.77567,1391263238.50861,29.06975,43022490.18798373,40274811.14483819,38185496.255580805,47859484.12038666,78041831.25536959
All Poultry,Village,Juvenile,Juvenile,Overall,Mortality,Non-infectious,600103972.465631,623785449.75739,1134797634.14294,553451256.126114,694119643.388666,29.06975,21458232.346593626,20643589.03897113,19038734.633979104,23877730.059208147,39037062.03675436
All Poultry,Village,juvenile,juvenile,Overall,Production loss,External,,,,,,29.06975,,,,,
All Poultry,Village,juvenile,juvenile,Overall,Production loss,Infectious,,,,,,29.06975,,,,,
All Poultry,Village,juvenile,juvenile,Overall,Production loss,Non-infectious,,,,,,29.06975,,,,,
All Small Ruminants,Crop livestock mixed,Adult female,Adult,Female,Health cost,External,,21288937.558951866,306571.23386393423,20688057.940578554,21889817.177325178,29.06975,732339.891431879,,711669.6201576744,753010.1627060837,10546.056772553402
All Small Ruminants,Crop livestock mixed,Adult female,Adult,Female,Health cost,Infectious,,21288937.558951866,306571.23386393423,20688057.940578554,21889817.177325178,29.06975,732339.891431879,,711669.6201576744,753010.1627060837,10546.056772553402
All Small Ruminants,Crop livestock mixed,Adult female,Adult,Female,Health cost,Non-infectious,,21288937.558951866,306571.23386393423,20688057.940578554,21889817.177325178,29.06975,732339.891431879,,711669.6201576744,753010.1627060837,10546.056772553402
All Small Ruminants,Crop livestock mixed,Adult female,Adult,Female,Mortality,External,1389892090.63752,1408656296.6732,1232793642.58214,1332248359.12029,1485064234.2261,29.06975,48457805.68024149,47812316.605320655,45829371.05136061,51086240.309122026,42408126.749701664
All Small Ruminants,Crop livestock mixed,Adult female,Adult,Female,Mortality,Infectious,2836893916.10353,2842403755.57104,2449582143.09005,2690579871.22012,2994227639.92195,29.06975,97778747.8588925,97589209.26748699,92556003.103574,103001492.61421065,84265676.2817035
All Small Ruminants,Crop livestock mixed,Adult female,Adult,Female,Mortality,Non-infectious,1884719252.17532,1872921567.08042,1618610364.29977,1772600900.77745,1973242233.38339,29.06975,64428540.56469079,64834381.17545971,60977507.573248826,67879573.55613275,55680229.94005006
All Small Ruminants,Crop livestock mixed,Adult female,Adult,Female,Production loss,External,5810907874.90729,5893466347.77544,2071640235.76781,5765067115.09033,6021865580.46056,29.06975,202735364.00469354,199895350.8340213,198318427.750164,207152300.25922343,71264466.86909279
All Small Ruminants,Crop livestock mixed,Adult female,Adult,Female,Production loss,Infectious,13077635008.5919,13106415981.4058,4350445434.03735,12836777534.5729,13376054428.2386,29.06975,450860980.2769477,449870914.2181099,441585412.1405551,460136548.4133369,149655412.72413245
All Small Ruminants,Crop livestock mixed,Adult female,Adult,Female,Production loss,Non-infectious,9210037936.72041,9205429049.37993,3136494220.9518,9011030695.68015,9399827403.07972,29.06975,316666949.2988392,316825495.1184792,309979641.9191823,323354256.67849636,107895465.93802148
All Small Ruminants,Crop livestock mixed,Adult male,Adult,Male,Health cost,External,,4960868.4538190365,73006.40769509519,4817775.8947366495,5103961.0129014235,29.06975,170653.97720376117,,165731.59021789487,175576.3641896275,2511.4219315644336
All Small Ruminants,Crop livestock mixed,Adult male,Adult,Male,Health cost,Infectious,,4960868.4538190365,73006.40769509519,4817775.8947366495,5103961.0129014235,29.06975,170653.97720376117,,165731.59021789487,175576.3641896275,2511.4219315644336
All Small Ruminants,Crop livestock mixed,Adult male,Adult,Male,Health cost,Non-infectious,,4960868.4538190365,73006.40769509519,4817775.8947366495,5103961.0129014235,29.06975,170653.97720376117,,165731.59021789487,175576.3641896275,2511.4219315644336
All Small Ruminants,Crop livestock mixed,Adult male,Adult,Male,Mortality,External,435473880.727347,445284749.97589,1261008312.82952,367128081.177241,523441418.774539,29.06975,15317804.58985337,14980310.485207029,12629213.570025234,18006395.60968151,43378711.98856268
All Small Ruminants,Crop livestock mixed,Adult male,Adult,Male,Mortality,Infectious,820644996.397898,840975840.417612,2437534329.50936,689898673.567439,992053007.267785,29.06975,28929586.268117614,28230204.81421058,23732528.610237066,34126643.92599816,83851231.24586073
All Small Ruminants,Crop livestock mixed,Adult male,Adult,Male,Mortality,Non-infectious,480119991.477459,501972492.499712,1444877556.44735,412419699.32227,591525285.677155,29.06975,17267864.102708556,16516137.616507161,14187246.169033788,20348482.036383357,49703817.7640795
All Small Ruminants,Crop livestock mixed,Adult male,Adult,Male,Production loss,External,901142337.211099,941949065.169545,1661170288.64017,838990555.898433,1044907574.44066,29.06975,32403067.28367272,30999314.999650806,28861292.43968156,35944842.127663985,57144292.215797186
All Small Ruminants,Crop livestock mixed,Adult male,Adult,Male,Production loss,Infectious,1986369088.42833,2023950685.88673,3537796518.21184,1804679815.15752,2243221556.61594,29.06975,69623945.36887074,68331137.64061713,62081022.890032426,77166867.84770904,121700273.24665125
All Small Ruminants,Crop livestock mixed,Adult male,Adult,Male,Production loss,Non-infectious,1335395247.26897,1406849705.93512,2442972513.88751,1255435483.11872,1558263928.75153,29.06975,48395658.921563484,45937624.068627015,43187006.53148789,53604311.31163942,84038304.90071328
All Small Ruminants,Crop livestock mixed,Juvenile,Juvenile,Overall,Health cost,External,,16131875.72716158,124517.39579216155,15887821.631408945,16375929.822914217,29.06975,554936.8579764732,,546541.3920453029,563332.3239076434,4283.4009852909485
All Small Ruminants,Crop livestock mixed,Juvenile,Juvenile,Overall,Health cost,Infectious,,16131875.72716158,124517.39579216155,15887821.631408945,16375929.822914217,29.06975,554936.8579764732,,546541.3920453029,563332.3239076434,4283.4009852909485
All Small Ruminants,Crop livestock mixed,Juvenile,Juvenile,Overall,Health cost,Non-infectious,,16131875.72716158,124517.39579216155,15887821.631408945,16375929.822914217,29.06975,554936.8579764732,,546541.3920453029,563332.3239076434,4283.4009852909485
All Small Ruminants,Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,External,983133962.384596,999727646.690645,1200082460.9805,925347131.92349,1074108161.4578,29.06975,34390651.6805492,33819828.597927265,31831960.43734432,36949342.92375407,41282861.42744606
All Small Ruminants,Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,Infectious,2069313827.01016,2127885270.10891,2532439628.78523,1970925919.95568,2284844620.26214,29.06975,73199297.21132484,71184438.35981253,67799892.32641079,78598702.09623887,87115975.49979721
All Small Ruminants,Crop livestock mixed,Juvenile,Juvenile,Overall,Mortality,Non-infectious,1206900758.16242,1232733838.8116,1473227637.55993,1141423921.69025,1324043755.93294,29.06975,42406069.49876074,41517410.99123385,39265006.46514848,45547132.53237265,50679061.139498286
All Small Ruminants,Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,External,,,,,,29.06975,,,,,
All Small Ruminants,Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,Infectious,,,,,,29.06975,,,,,
All Small Ruminants,Crop livestock mixed,Juvenile,Juvenile,Overall,Production loss,Non-infectious,,,,,,29.06975,,,,,
All Small Ruminants,Crop livestock mixed,Neonate,Neonatal,Overall,Health cost,External,,20823305.42025019,196898.20947200508,20437384.92968506,21209225.910815317,29.06975,716322.1362498882,,703046.4634090441,729597.8090907324,6773.302469818457
All Small Ruminants,Crop livestock mixed,Neonate,Neonatal,Overall,Health cost,Infectious,,20823305.42025019,196898.20947200508,20437384.92968506,21209225.910815317,29.06975,716322.1362498882,,703046.4634090441,729597.8090907324,6773.302469818457
All Small Ruminants,Crop livestock mixed,Neonate,Neonatal,Overall,Health cost,Non-infectious,,20823305.42025019,196898.20947200508,20437384.92968506,21209225.910815317,29.06975,716322.1362498882,,703046.4634090441,729597.8090907324,6773.302469818457
All Small Ruminants,Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,External,1603122953.04911,1636834835.51202,1093520718.39763,1569058964.61352,1704610706.41052,29.06975,56307152.12590477,55147462.673366986,53975660.76810155,58638643.48370798,37617135.28315964
All Small Ruminants,Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,Infectious,4333901124.83019,4284569443.31108,2793590835.50315,4111424071.09744,4457714815.52472,29.06975,147389277.28346753,149086288.14593142,141433072.9055957,153345481.66133937,96099582.4010578
All Small Ruminants,Crop livestock mixed,Neonate,Neonatal,Overall,Mortality,Non-infectious,2067708235.40687,2088819254.30561,1379009225.77327,2003348947.54196,2174289561.06925,29.06975,71855425.46136826,71129205.97551991,68915245.14459051,74795605.77814567,47437945.82936798
All Small Ruminants,Crop livestock mixed,Neonate,Neonatal,Overall,Production loss,External,,,,,,29.06975,,,,,
All Small Ruminants,Crop livestock mixed,Neonate,Neonatal,Overall,Production loss,Infectious,,,,,,29.06975,,,,,
All Small Ruminants,Crop livestock mixed,Neonate,Neonatal,Overall,Production loss,Non-infectious,,,,,,29.06975,,,,,
All Small Ruminants,Pastoral,Adult female,Adult,Female,Health cost,External,,21359788.221930232,312904.489605076,20746495.422304284,21973081.02155618,29.06975,734777.1557006934,,713679.8707351899,755874.440666197,10763.920900767156
All Small Ruminants,Pastoral,Adult female,Adult,Female,Health cost,Infectious,,21359788.221930232,312904.489605076,20746495.422304284,21973081.02155618,29.06975,734777.1557006934,,713679.8707351899,755874.440666197,10763.920900767156
All Small Ruminants,Pastoral,Adult female,Adult,Female,Health cost,Non-infectious,,21359788.221930232,312904.489605076,20746495.422304284,21973081.02155618,29.06975,734777.1557006934,,713679.8707351899,755874.440666197,10763.920900767156
All Small Ruminants,Pastoral,Adult female,Adult,Female,Mortality,External,1161411518.74834,1188469236.75095,1057439816.8563,1122929642.20609,1254008831.29581,29.06975,40883366.27425245,39952580.21649102,38628802.86917122,43137929.67933367,36375951.52542764
All Small Ruminants,Pastoral,Adult female,Adult,Female,Mortality,Infectious,1917752694.92434,1964001383.73632,1751240657.48897,1855460357.74817,2072542409.72446,29.06975,67561688.13754229,65970732.28783667,63827874.603261806,71295501.67182243,60242714.763249435
All Small Ruminants,Pastoral,Adult female,Adult,Female,Mortality,Non-infectious,1258946234.02376,1286507685.39408,1139940908.03075,1215854714.20226,1357160656.58591,29.06975,44255890.931090906,43307776.43508321,41825427.26381411,46686354.59836807,39213990.76465226
All Small Ruminants,Pastoral,Adult female,Adult,Female,Production loss,External,5357879614.72856,5348039227.57087,1808291820.95354,5235962198.81247,5460116256.32926,29.06975,183972659.81203383,184311169.3333641,180117207.7094736,187828111.9145937,62205275.96396736
All Small Ruminants,Pastoral,Adult female,Adult,Female,Production loss,Infectious,8594425492.0701,8628690117.23279,2725647457.95048,8459755841.80767,8797624392.65792,29.06975,296827118.12907887,295648414.31626004,291015775.5676492,302638460.6905089,93762328.8108938
All Small Ruminants,Pastoral,Adult female,Adult,Female,Production loss,Non-infectious,5436049081.52091,5514320467.5483,1792690481.29035,5403210402.07195,5625430533.02464,29.06975,189692737.89930427,187000200.60443968,185870549.3536047,193514926.44500348,61668589.55754177
All Small Ruminants,Pastoral,Adult male,Adult,Male,Health cost,External,,6927362.78416878,100641.47359789743,6730105.495916901,7124620.072420659,29.06975,238301.42275625968,,231515.7679690022,245087.0775435172,3462.0687690089335
All Small Ruminants,Pastoral,Adult male,Adult,Male,Health cost,Infectious,,6927362.78416878,100641.47359789743,6730105.495916901,7124620.072420659,29.06975,238301.42275625968,,231515.7679690022,245087.0775435172,3462.0687690089335
All Small Ruminants,Pastoral,Adult male,Adult,Male,Health cost,Non-infectious,,6927362.78416878,100641.47359789743,6730105.495916901,7124620.072420659,29.06975,238301.42275625968,,231515.7679690022,245087.0775435172,3462.0687690089335
All Small Ruminants,Pastoral,Adult male,Adult,Male,Mortality,External,664916259.592774,654787421.837125,1187999435.2349,581155807.003203,728419036.671047,29.06975,22524700.826017596,22873133.05387126,19991771.75597324,25057629.896061953,40867205.09240362
All Small Ruminants,Pastoral,Adult male,Adult,Male,Mortality,Infectious,935785481.641913,894330673.417638,1636751020.80693,792885658.236083,995775688.599193,29.06975,30764993.62456292,32191039.88310574,27275283.00849106,34254704.240634784,56304268.89831973
All Small Ruminants,Pastoral,Adult male,Adult,Male,Mortality,Non-infectious,614031782.303361,591387729.768769,1083433260.89742,524237074.474993,658538385.062544,29.06975,20343750.11029572,21122705.984859213,18033766.182199467,22653734.038391937,37270126.53694717
All Small Ruminants,Pastoral,Adult male,Adult,Male,Production loss,External,785224999.44501,752231471.027715,1644496458.07046,650306397.492263,854156544.563166,29.06975,25876778.129420273,27011756.187962055,22370553.496065944,29383002.762774568,56570712.10005109
All Small Ruminants,Pastoral,Adult male,Adult,Male,Production loss,Infectious,1084295579.60594,1052782352.65496,2279702478.11525,911487525.548135,1194077179.76178,29.06975,36215734.66077142,37299790.31831853,31355189.691969663,41076279.62957301,78421812.30025199
All Small Ruminants,Pastoral,Adult male,Adult,Male,Production loss,Non-infectious,760212015.323701,745314935.580792,1609032268.20495,645587914.915675,845041956.245909,29.06975,25638849.167288743,26151309.017920725,22208237.59804178,29069460.736535713,55350743.23669623
All Small Ruminants,Pastoral,Juvenile,Juvenile,Overall,Health cost,External,,16205267.769225711,134444.2824433634,15941756.975636719,16468778.562814703,29.06975,557461.5457382919,,548396.7689999646,566526.3224766193,4624.886090983356
All Small Ruminants,Pastoral,Juvenile,Juvenile,Overall,Health cost,Infectious,,16205267.769225711,134444.2824433634,15941756.975636719,16468778.562814703,29.06975,557461.5457382919,,548396.7689999646,566526.3224766193,4624.886090983356
All Small Ruminants,Pastoral,Juvenile,Juvenile,Overall,Health cost,Non-infectious,,16205267.769225711,134444.2824433634,15941756.975636719,16468778.562814703,29.06975,557461.5457382919,,548396.7689999646,566526.3224766193,4624.886090983356
All Small Ruminants,Pastoral,Juvenile,Juvenile,Overall,Mortality,External,719358969.471304,732206162.622311,1013482507.19211,669391020.293787,795021304.950836,29.06975,25187907.106951762,24745963.3973909,23027064.914345223,27348749.299558338,34863819.16570008
All Small Ruminants,Pastoral,Juvenile,Juvenile,Overall,Mortality,Infectious,1440413044.50645,1442730211.34551,1931318300.25368,1323028062.5159,1562432360.17512,29.06975,49629949.048254974,49550238.46116496,45512192.65786255,53747705.4386474,66437389.39116023
All Small Ruminants,Pastoral,Juvenile,Juvenile,Overall,Mortality,Non-infectious,686120034.730422,690347610.239693,930751642.362616,632660085.815127,748035134.664259,29.06975,23747972.041028667,23602543.356252532,21763520.010152377,25732424.071904954,32017875.707999416
All Small Ruminants,Pastoral,Juvenile,Juvenile,Overall,Production loss,External,,,,,,29.06975,,,,,
All Small Ruminants,Pastoral,Juvenile,Juvenile,Overall,Production loss,Infectious,,,,,,29.06975,,,,,
All Small Ruminants,Pastoral,Juvenile,Juvenile,Overall,Production loss,Non-infectious,,,,,,29.06975,,,,,
All Small Ruminants,Pastoral,Neonate,Neonatal,Overall,Health cost,External,,19497413.76121847,217672.62915461912,19070775.408075415,19924052.114361525,29.06975,670711.4358127769,,656035.0676588349,685387.8039667188,7487.9429356846595
All Small Ruminants,Pastoral,Neonate,Neonatal,Overall,Health cost,Infectious,,19497413.76121847,217672.62915461912,19070775.408075415,19924052.114361525,29.06975,670711.4358127769,,656035.0676588349,685387.8039667188,7487.9429356846595
All Small Ruminants,Pastoral,Neonate,Neonatal,Overall,Health cost,Non-infectious,,19497413.76121847,217672.62915461912,19070775.408075415,19924052.114361525,29.06975,670711.4358127769,,656035.0676588349,685387.8039667188,7487.9429356846595
All Small Ruminants,Pastoral,Neonate,Neonatal,Overall,Mortality,External,1684029386.96289,1722543682.65358,1090329938.11328,1654965574.73202,1790121790.57513,29.06975,59255538.23660609,57930645.66991082,56930849.92929144,61580226.5439204,37507372.37552026
All Small Ruminants,Pastoral,Neonate,Neonatal,Overall,Mortality,Infectious,3080234236.31326,3183028839.43798,1962189441.6289,3061413312.60178,3304644366.27419,29.06975,109496257.77442119,105960121.30524893,105312681.14110991,113679834.40773278,67499357.29164854
All Small Ruminants,Pastoral,Neonate,Neonatal,Overall,Mortality,Non-infectious,1493305788.44051,1509467576.82655,967480408.694628,1449503621.71046,1569431531.94264,29.06975,51925715.7982628,51369749.94420351,49862954.50461253,53988477.091913074,33281346.02790282
All Small Ruminants,Pastoral,Neonate,Neonatal,Overall,Production loss,External,,,,,,29.06975,,,,,
All Small Ruminants,Pastoral,Neonate,Neonatal,Overall,Production loss,Infectious,,,,,,29.06975,,,,,
All Small Ruminants,Pastoral,Neonate,Neonatal,Overall,Production loss,Non-infectious,,,,,,29.06975,,,,,
Cattle,Crop livestock mixed,Adult,Adult,Overall,Health cost,External,,743982792.2881284,64535.05946905293,743856303.5715691,744109281.0046877,29.06975,25593023.410525665,,25588672.196065295,25597374.62498603,2220.0073777398475
Cattle,Crop livestock mixed,Adult,Adult,Overall,Health cost,External,,1487965584.5762568,91266.35634968888,1487786702.5178113,1488144466.6347022,29.06975,51186046.82105133,,51179893.27454867,51192200.36755398,3139.564542168023
Cattle,Crop livestock mixed,Adult,Adult,Overall,Health cost,Infectious,,743982792.2881284,64535.05946905293,743856303.5715691,744109281.0046877,29.06975,25593023.410525665,,25588672.196065295,25597374.62498603,2220.0073777398475
