species,production_system,group,age_group,sex,mean_current_gross_margin,mean_current_health_cost,mean_mortality_zero_gross_margin,mean_mortality_zero_health_cost,mean_ideal_gross_margin,mean_ideal_health_cost,stdev_current_gross_margin,stdev_current_health_cost,stdev_mortality_zero_gross_margin,stdev_mortality_zero_health_cost,stdev_ideal_gross_margin,stdev_ideal_health_cost,ahle_due_to_mortality_mean,ahle_due_to_healthcost_mean,ahle_due_to_productionloss_mean,ahle_due_to_mortality_stdev,ahle_due_to_healthcost_stdev,ahle_due_to_productionloss_stdev
All small ruminants,Crop livestock mixed,Overall Female,Overall,Female,40291163974.393295,20843019.43647511,49881755149.350296,24103346.6896429,84333963651.5175,32367754.678118996,1195688206.7952554,343852.29208766413,1225620463.3784368,355009.4078903511,4389126261.959648,1373041.1194863138,9590591174.957,20843019.43647511,34431365482.73073,1712254597.92673,343852.29208766413,4860649705.301622
All small ruminants,Crop livestock mixed,Overall Male,Overall,Male,40291163974.393295,20843019.43647511,49881755149.350296,24103346.6896429,51041049909.4589,24135453.8445998,1195688206.7952554,343852.29208766413,1156068699.4664657,355009.4078903511,1295521228.8412266,371239.6400669111,9590591174.957,20843019.43647511,1138451740.6721294,1663179222.3796384,343852.29208766413,2423677120.87177
All small ruminants,Overall,Adult Combined,Adult,Overall,66184385586.80138,40333164.40144182,78011487295.25314,40853916.49469451,157323942320.3498,65547573.1432284,1670782591.1292393,509978.81390141835,1715706317.0597024,523533.41332349577,5080282441.825551,1599126.7742070928,11827101708.451767,40333164.40144182,79272121860.6952,2394819958.414223,509978.81390141835,5859688306.457862
All small ruminants,Overall,Adult Female,Adult,Female,66184385586.80138,40333164.40144182,78011487295.25314,40853916.49469451,157323942320.3498,65547573.1432284,1670782591.1292393,509978.81390141835,1688592216.447394,522808.05408021534,5080282441.825551,1599126.7742070928,11827101708.451767,40333164.40144182,79272121860.6952,2375470088.270374,509978.81390141835,5851806777.046485
All small ruminants,Overall,Adult Male,Adult,Male,66184385586.80138,40333164.40144182,71643410162.57086,40221825.98083037,96675657797.44061,44095112.63553538,1670782591.1292393,509978.81390141835,1575148018.5815878,516183.656720281,1791678140.6008313,523557.1175750271,5459024575.769485,40333164.40144182,24991914470.468307,2296215527.1798935,509978.81390141835,3357712172.546631
All small ruminants,Overall,Juvenile Combined,Juvenile,Overall,66184385586.80138,40333164.40144182,75352286882.95059,40401233.39077312,93460589494.92471,44219087.10764339,1670782591.1292393,509978.81390141835,1621071299.2835312,511486.70369832695,1717762116.4082413,530272.3550095644,9167901296.149216,40333164.40144182,18067969447.572678,2327957607.9003954,509978.81390141835,3340899286.067686
All small ruminants,Overall,Juvenile Female,Juvenile,Female,66184385586.80138,40333164.40144182,75352286882.95059,40401233.39077312,93118367599.0644,44104933.78672897,1670782591.1292393,509978.81390141835,1621071299.2835312,511486.70369832695,1699985665.838593,524554.8574231965,9167901296.149216,40333164.40144182,17725747551.71237,2327957607.9003954,509978.81390141835,3331794203.599157
All small ruminants,Overall,Juvenile Male,Juvenile,Male,66184385586.80138,40333164.40144182,75352286882.95059,40401233.39077312,91787674768.6913,44219087.10764339,1670782591.1292393,509978.81390141835,1621071299.2835312,511486.70369832695,1717762116.4082413,528463.4071411329,9167901296.149216,40333164.40144182,16395054721.339266,2327957607.9003954,509978.81390141835,3340899286.067686
All small ruminants,Overall,Neonatal Combined,Neonatal,Overall,66184385586.80138,40333164.40144182,82525683576.2241,46929713.30812545,96431918398.3982,47449325.63985797,1670782591.1292393,509978.81390141835,1597013146.910672,540524.38565134,1709117543.986724,547458.7755489245,16341297989.42273,40333164.40144182,13865901657.772646,2311269231.0127053,509978.81390141835,3324840291.5460763
All small ruminants,Overall,Neonatal Female,Neonatal,Female,66184385586.80138,40333164.40144182,82525683576.2241,46929713.30812545,95226212125.5153,47360227.82963067,1670782591.1292393,509978.81390141835,1597013146.910672,540524.38565134,1683113581.0777028,537506.426287327,16341297989.42273,40333164.40144182,12660195384.889757,2311269231.0127053,509978.81390141835,3311548204.6820936
All small ruminants,Overall,Neonatal Male,Neonatal,Male,66184385586.80138,40333164.40144182,82525683576.2241,46929713.30812545,96322717834.57431,47448318.22680274,1670782591.1292393,509978.81390141835,1597013146.910672,540524.38565134,1708533546.8961868,547458.7755489245,16341297989.42273,40333164.40144182,13756701093.948763,2311269231.0127053,509978.81390141835,3324540128.498173
All small ruminants,Overall,Overall,Overall,Overall,66184385586.80138,40333164.40144182,137229257156.65732,49889190.347008914,209726227751.2729,0.0,1670782591.1292393,509978.81390141835,5651045784.279674,566957.370854954,6566086788.16984,0.0,71044871569.85594,40333164.40144182,72456637430.21411,5892862880.03086,509978.81390141835,8979467877.303368
All small ruminants,Overall,Overall Female,Overall,Female,66184385586.80138,40333164.40144182,83309438378.7816,46929713.30812545,157323942320.3498,65547573.1432284,1670782591.1292393,509978.81390141835,1739856165.7079585,555518.5924339377,5080282441.825551,1599126.7742070928,17125052791.980225,40333164.40144182,73974170777.16675,2412180329.9447856,509978.81390141835,5866804782.826205
All small ruminants,Overall,Overall Male,Overall,Male,66184385586.80138,40333164.40144182,82525683576.2241,46929713.30812545,99157595273.1069,47463344.591153204,1670782591.1292393,509978.81390141835,1661376912.7972522,551057.3621842825,1814276507.3705134,551552.0754235426,16341297989.42273,40333164.40144182,16591578532.481356,2356201967.8279414,509978.81390141835,3410982510.258846
All small ruminants,Pastoral,Adult Combined,Adult,Overall,25893221612.40808,19490144.96496671,31413641733.580757,19738169.22247073,72989978668.8323,33179818.4651094,1166980796.3078403,376621.815425444,1205508265.7685015,394138.2057899814,2558288557.8638535,819734.422960115,5520420121.172676,19490144.96496671,41556846790.28658,1677824292.8827384,376621.815425444,3274412775.427046
All small ruminants,Pastoral,Adult Female,Adult,Female,25893221612.40808,19490144.96496671,31413641733.580757,19738169.22247073,72989978668.8323,33179818.4651094,1166980796.3078403,376621.815425444,1196223916.7174325,393174.20033407176,2558288557.8638535,819734.422960115,5520420121.172676,19490144.96496671,41556846790.28658,1671166011.46567,376621.815425444,3271006038.5102415
All small ruminants,Pastoral,Adult Male,Adult,Male,25893221612.40808,19490144.96496671,28307351273.921852,19420076.77819632,47540037866.8712,23283331.23826091,1166980796.3078403,376621.815425444,1086697324.8773081,387825.0058222934,1265111969.694403,400608.92574501486,2414129661.513771,19490144.96496671,19213196447.984383,1594601911.0884004,376621.815425444,2346296629.053135
All small ruminants,Pastoral,Juvenile Combined,Juvenile,Overall,25893221612.40808,19490144.96496671,29521976677.28119,19493371.546074122,46738526909.29,23327890.7465534,1166980796.3078403,376621.815425444,1143222813.181585,377722.6502199963,1258196467.1237047,404646.53264963883,3628755064.873108,19490144.96496671,17197060087.043846,1633647018.0336077,376621.815425444,2369325906.2881036
All small ruminants,Pastoral,Juvenile Female,Juvenile,Female,25893221612.40808,19490144.96496671,29521976677.28119,19493371.546074122,46396305013.4297,23260719.43502517,1166980796.3078403,376621.815425444,1143222813.181585,377722.6502199963,1246509747.450727,401500.2116980252,3628755064.873108,19490144.96496671,16854838191.183548,1633647018.0336077,376621.815425444,2363140590.573283
All small ruminants,Pastoral,Juvenile Male,Juvenile,Male,25893221612.40808,19490144.96496671,29521976677.28119,19493371.546074122,46553526920.2564,23327890.7465534,1166980796.3078403,376621.815425444,1143222813.181585,377722.6502199963,1258196467.1237047,402618.4353756481,3628755064.873108,19490144.96496671,17012060098.010246,1633647018.0336077,376621.815425444,2369325906.2881036
All small ruminants,Pastoral,Neonatal Combined,Neonatal,Overall,25893221612.40808,19490144.96496671,32643928426.873802,22826366.61848255,45933174271.211395,23313871.79525817,1166980796.3078403,376621.815425444,1117334219.3354113,407596.5306440928,1235356436.4321146,402358.3484513748,6750706814.465721,19490144.96496671,13269755699.372627,1615636078.0352592,376621.815425444,2344830437.8949623
All small ruminants,Pastoral,Neonatal Female,Neonatal,Female,25893221612.40808,19490144.96496671,32643928426.873802,22826366.61848255,45488684232.1134,23297000.358349368,1166980796.3078403,376621.815425444,1117334219.3354113,407596.5306440928,1214771650.2817585,396812.3494269515,6750706814.465721,19490144.96496671,12825265660.274635,1615636078.0352592,376621.815425444,2334051074.7994986
All small ruminants,Pastoral,Neonatal Male,Neonatal,Male,25893221612.40808,19490144.96496671,32643928426.873802,22826366.61848255,45880395465.8542,23312864.38220293,1166980796.3078403,376621.815425444,1117334219.3354113,407596.5306440928,1234548349.292448,402358.3484513748,6750706814.465721,19490144.96496671,13216976894.015434,1615636078.0352592,376621.815425444,2344404803.822313
All small ruminants,Pastoral,Overall,Overall,Overall,25893221612.40808,19490144.96496671,45429232416.9152,23267897.97091041,83565228299.9582,0.0,1166980796.3078403,376621.815425444,1148262724.766056,400127.77575475984,2863405080.934762,0.0,19536010804.50712,19490144.96496671,38116505738.07804,1637177896.271034,376621.815425444,3498754698.7973785
All small ruminants,Pastoral,Overall Female,Overall,Female,25893221612.40808,19490144.96496671,33427683229.431297,22826366.61848255,72989978668.8323,33179818.4651094,1166980796.3078403,376621.815425444,1234890261.1568468,427281.20348211646,2558288557.8638535,819734.422960115,7534461617.023216,19490144.96496671,39542805294.43604,1699058014.3277352,376621.815425444,3285343635.3209224
All small ruminants,Pastoral,Overall Male,Overall,Male,25893221612.40808,19490144.96496671,32643928426.873802,22826366.61848255,48116545363.648,23327890.7465534,1166980796.3078403,376621.815425444,1193179956.4565449,421464.7514642736,1270127549.0352407,407910.3106652339,6750706814.465721,19490144.96496671,15453126791.809235,1668988492.3033242,376621.815425444,2400123100.8126364
Goat,Crop livestock mixed,Adult Combined,Adult,Overall,18662089075.103,9788370.01120911,22071302882.6238,9950967.62232418,40852143298.2612,14959836.9727277,870526324.663069,186877.922892989,939321550.277552,191449.436406835,2468147013.98369,634059.642675813,3409213807.5207977,9788370.01120911,18771052045.626194,1280679919.7095325,186877.922892989,2913710153.0932293
Goat,Crop livestock mixed,Adult Female,Adult,Female,18662089075.103,9788370.01120911,22071302882.6238,9950967.62232418,40852143298.2612,14959836.9727277,870526324.663069,186877.922892989,939321550.277552,191449.436406835,2468147013.98369,634059.642675813,3409213807.5207977,9788370.01120911,18771052045.626194,1280679919.7095325,186877.922892989,2913710153.0932293
Goat,Crop livestock mixed,Adult Male,Adult,Male,18662089075.103,9788370.01120911,20302448350.4396,9752908.73614085,24700474915.7753,9749413.82819917,870526324.663069,186877.922892989,831929799.802507,189962.23219996,1008758373.9695,190429.157611132,1640359275.3366013,9788370.01120911,4388238195.324488,1204127598.6085653,186877.922892989,1795921169.6617336
Goat,Crop livestock mixed,Juvenile Combined,Juvenile,Overall,18662089075.103,9788370.01120911,21759472465.5365,9811213.2308712,22234501921.1862,9806384.29456609,870526324.663069,186877.922892989,846566177.241883,191720.220027304,878118593.487877,189149.162129198,3097383390.4334984,9788370.01120911,465241085.63849103,1214285952.476321,186877.922892989,1733031666.0307171
Goat,Crop livestock mixed,Juvenile Female,Juvenile,Female,18662089075.103,9788370.01120911,21759472465.5365,9811213.2308712,22234501921.1862,9796767.1637496,870526324.663069,186877.922892989,846566177.241883,191720.220027304,867949452.278654,189149.162129198,3097383390.4334984,9788370.01120911,465241085.63849103,1214285952.476321,186877.922892989,1727901253.818311
Goat,Crop livestock mixed,Juvenile Male,Juvenile,Male,18662089075.103,9788370.01120911,21759472465.5365,9811213.2308712,21163595119.113,9806384.29456609,870526324.663069,186877.922892989,846566177.241883,191720.220027304,878118593.487877,188412.896626115,3097383390.4334984,9788370.01120911,-605665716.4347092,1214285952.476321,186877.922892989,1733031666.0307171
Goat,Crop livestock mixed,Neonatal Combined,Neonatal,Overall,18662089075.103,9788370.01120911,23531304402.597,11496078.1023492,24101747375.0365,11501699.2029582,870526324.663069,186877.922892989,825950778.358798,204201.52997333,856852062.379653,210310.559207955,4869215327.4939995,9788370.01120911,560654602.4282898,1200004487.5761487,186877.922892989,1712314907.9132345
Goat,Crop livestock mixed,Neonatal Female,Neonatal,Female,18662089075.103,9788370.01120911,23531304402.597,11496078.1023492,23340531141.2516,11472899.4498522,870526324.663069,186877.922892989,825950778.358798,204201.52997333,840780987.119748,201737.965909645,4869215327.4939995,9788370.01120911,-200561631.35661086,1200004487.5761487,186877.922892989,1704329649.8505511
Goat,Crop livestock mixed,Neonatal Male,Neonatal,Male,18662089075.103,9788370.01120911,23531304402.597,11496078.1023492,24101747375.0365,11501699.2029582,870526324.663069,186877.922892989,825950778.358798,204201.52997333,856852062.379653,210310.559207955,4869215327.4939995,9788370.01120911,560654602.4282898,1200004487.5761487,186877.922892989,1712314907.9132345
Goat,Crop livestock mixed,Overall,Overall,Overall,18662089075.103,9788370.01120911,58675136900.1724,13767559.8058729,67361302615.5609,0.0,870526324.663069,186877.922892989,5479414197.51204,255025.792199984,3877045589.94519,0.0,40013047825.0694,9788370.01120911,8676377345.377295,5548134463.928205,186877.922892989,6824301770.378864
Goat,Crop livestock mixed,Overall Female,Overall,Female,18662089075.103,9788370.01120911,23531304402.597,11496078.1023492,40852143298.2612,14959836.9727277,870526324.663069,186877.922892989,939321550.277552,204201.52997333,2468147013.98369,634059.642675813,4869215327.4939995,9788370.01120911,17311050525.652992,1280679919.7095325,186877.922892989,2913710153.0932293
Goat,Crop livestock mixed,Overall Male,Overall,Male,18662089075.103,9788370.01120911,23531304402.597,11496078.1023492,24700474915.7753,11501699.2029582,870526324.663069,186877.922892989,846566177.241883,204201.52997333,1008758373.9695,210310.559207955,4869215327.4939995,9788370.01120911,1159382143.16709,1214285952.476321,186877.922892989,1802747888.1667466
Goat,Overall,Adult Combined,Adult,Overall,36604800461.4941,22096057.73939851,44762389750.12019,22443526.26705378,99159731319.92569,38016945.9352597,1368998775.8874047,346995.1660004439,1416483621.254972,362271.3242592733,3462430899.542045,993223.8796129314,8157589288.626091,22096057.73939851,54375245512.0661,1969919667.820191,346995.1660004439,4212264118.0907927
Goat,Overall,Adult Female,Adult,Female,36604800461.4941,22096057.73939851,44762389750.12019,22443526.26705378,99159731319.92569,38016945.9352597,1368998775.8874047,346995.1660004439,1416483621.254972,362271.3242592733,3462430899.542045,993223.8796129314,8157589288.626091,22096057.73939851,54375245512.0661,1969919667.820191,346995.1660004439,4212264118.0907927
Goat,Overall,Adult Male,Adult,Male,36604800461.4941,22096057.73939851,40058339342.1936,21967665.06007935,59910981151.2722,24092110.88770087,1368998775.8874047,346995.1660004439,1242525236.4948297,354593.5493211635,1437935187.8646438,333944.63658015477,3453538880.699501,22096057.73939851,19830545751.3392,1848790580.8143184,346995.1660004439,2712902870.5417986
Goat,Overall,Juvenile Combined,Juvenile,Overall,36604800461.4941,22096057.73939851,42737580764.018295,22077112.5069587,56066989702.3251,24187194.188103788,1368998775.8874047,346995.1660004439,1318900912.99814,349350.85186409357,1338279033.2136161,337408.05526420014,6132780302.524193,22096057.73939851,13307312880.56741,1900962194.9656284,346995.1660004439,2697926204.738478
Goat,Overall,Juvenile Female,Juvenile,Female,36604800461.4941,22096057.73939851,42737580764.018295,22077112.5069587,56066989702.3251,24149163.7385479,1368998775.8874047,346995.1660004439,1318900912.99814,349350.85186409357,1329008607.3025393,333628.2352639736,6132780302.524193,22096057.73939851,13307312880.56741,1900962194.9656284,346995.1660004439,2693339732.3322644
Goat,Overall,Juvenile Male,Juvenile,Male,36604800461.4941,22096057.73939851,42737580764.018295,22077112.5069587,54811082911.2183,24187194.188103788,1368998775.8874047,346995.1660004439,1318900912.99814,349350.85186409357,1338279033.2136161,336995.86026839406,6132780302.524193,22096057.73939851,12051406089.460606,1900962194.9656284,346995.1660004439,2697926204.738478
Goat,Overall,Neonatal Combined,Neonatal,Overall,36604800461.4941,22096057.73939851,45438636467.535904,25496852.2856408,57331771814.3314,25880626.625554003,1368998775.8874047,346995.1660004439,1236841688.8741772,346195.8917542157,1304264222.733361,354103.9363053761,8833836006.041801,22096057.73939851,11871039289.056095,1844975612.770624,346995.1660004439,2641817166.877272
Goat,Overall,Neonatal Female,Neonatal,Female,36604800461.4941,22096057.73939851,45438636467.535904,25496852.2856408,56126065541.4485,25834955.4355392,1368998775.8874047,346995.1660004439,1236841688.8741772,346195.8917542157,1274122055.1791987,348823.1936649314,8833836006.041801,22096057.73939851,10665333016.173199,1844975612.770624,346995.1660004439,2627066765.8054037
Goat,Overall,Neonatal Male,Neonatal,Male,36604800461.4941,22096057.73939851,45438636467.535904,25496852.2856408,57331771814.3314,25880626.625554003,1368998775.8874047,346995.1660004439,1236841688.8741772,346195.8917542157,1304264222.733361,354103.9363053761,8833836006.041801,22096057.73939851,11871039289.056095,1844975612.770624,346995.1660004439,2641817166.877272
Goat,Overall,Overall,Overall,Overall,36604800461.4941,22096057.73939851,91456688116.13211,28127629.288353503,136411574548.2944,0.0,1368998775.8874047,346995.1660004439,5556606364.498793,382283.4257280153,4762046631.947198,0.0,54851887654.63801,22096057.73939851,44932790374.42289,5722764361.597435,346995.1660004439,7569760751.304906
Goat,Overall,Overall Female,Overall,Female,36604800461.4941,22096057.73939851,46222391270.0934,25496852.2856408,99159731319.92569,38016945.9352597,1368998775.8874047,346995.1660004439,1416483621.254972,369169.1895642451,3462430899.542045,993223.8796129314,9617590808.599297,22096057.73939851,52915243992.092896,1969919667.820191,346995.1660004439,4212264118.0907927
Goat,Overall,Overall Male,Overall,Male,36604800461.4941,22096057.73939851,45438636467.535904,25496852.2856408,59910981151.2722,25882509.0964959,1368998775.8874047,346995.1660004439,1318900912.99814,362421.30235574965,1437935187.8646438,354103.9363053761,8833836006.041801,22096057.73939851,14450248625.996899,1900962194.9656284,346995.1660004439,2748722001.217061
Goat,Pastoral,Adult Combined,Adult,Overall,17942711386.3911,12307687.7281894,22691086867.4964,12492558.6447296,58307588021.6645,23057108.962532,1056570663.25439,292373.540463014,1060236235.21731,307551.013134525,2428307651.73339,764501.173683326,4748375481.105297,12307687.7281894,35604193466.4399,1496810756.5479333,292373.540463014,3041950384.920279
Goat,Pastoral,Adult Female,Adult,Female,17942711386.3911,12307687.7281894,22691086867.4964,12492558.6447296,58307588021.6645,23057108.962532,1056570663.25439,292373.540463014,1060236235.21731,307551.013134525,2428307651.73339,764501.173683326,4748375481.105297,12307687.7281894,35604193466.4399,1496810756.5479333,292373.540463014,3041950384.920279
Goat,Pastoral,Adult Male,Adult,Male,17942711386.3911,12307687.7281894,19755890991.754,12214756.3239385,35210506235.4969,14342697.0595017,1056570663.25439,292373.540463014,922909405.915387,299417.660731275,1024726376.8664,274327.826208291,1813179605.3628998,12307687.7281894,15442307556.014711,1402891064.1874208,292373.540463014,2033349241.3638053
Goat,Pastoral,Juvenile Combined,Juvenile,Overall,17942711386.3911,12307687.7281894,20978108298.4818,12265899.2760875,33832487781.1389,14380809.8935377,1056570663.25439,292373.540463014,1011348271.29797,292043.446991796,1009900245.82136,279404.34896936,3035396912.0906982,12307687.7281894,12842071794.928911,1462589105.7666245,292373.540463014,2067705745.6875644
Goat,Pastoral,Juvenile Female,Juvenile,Female,17942711386.3911,12307687.7281894,20978108298.4818,12265899.2760875,33832487781.1389,14352396.5747983,1056570663.25439,292373.540463014,1011348271.29797,292043.446991796,1006443056.79627,274827.934954174,3035396912.0906982,12307687.7281894,12842071794.928911,1462589105.7666245,292373.540463014,2066019402.3321133
Goat,Pastoral,Juvenile Male,Juvenile,Male,17942711386.3911,12307687.7281894,20978108298.4818,12265899.2760875,33647487792.1053,14380809.8935377,1056570663.25439,292373.540463014,1011348271.29797,292043.446991796,1009900245.82136,279404.34896936,3035396912.0906982,12307687.7281894,12657071805.895311,1462589105.7666245,292373.540463014,2067705745.6875644
Goat,Pastoral,Neonatal Combined,Neonatal,Overall,17942711386.3911,12307687.7281894,21907332064.9389,14000774.1832916,33230024439.2949,14378927.4225958,1056570663.25439,292373.540463014,920642533.813001,279559.17195479,983315669.506997,284884.303520919,3964620678.547798,12307687.7281894,11310384686.62781,1401400814.012695,292373.540463014,2011759329.3795228
Goat,Pastoral,Neonatal Female,Neonatal,Female,17942711386.3911,12307687.7281894,21907332064.9389,14000774.1832916,32785534400.1969,14362055.985687,1056570663.25439,292373.540463014,920642533.813001,279559.17195479,957326664.828682,284568.820409477,3964620678.547798,12307687.7281894,10865894647.52981,1401400814.012695,292373.540463014,1999184893.0600593
Goat,Pastoral,Neonatal Male,Neonatal,Male,17942711386.3911,12307687.7281894,21907332064.9389,14000774.1832916,33230024439.2949,14378927.4225958,1056570663.25439,292373.540463014,920642533.813001,279559.17195479,983315669.506997,284884.303520919,3964620678.547798,12307687.7281894,11310384686.62781,1401400814.012695,292373.540463014,2011759329.3795228
Goat,Pastoral,Overall,Overall,Overall,17942711386.3911,12307687.7281894,32781551215.9597,14360069.4824806,69050271932.7335,0.0,1056570663.25439,292373.540463014,922981225.210989,284784.941489394,2765068827.05046,0.0,14838839829.5686,12307687.7281894,36256413029.045616,1402938312.4506223,292373.540463014,3275695831.239542
Goat,Pastoral,Overall Female,Overall,Female,17942711386.3911,12307687.7281894,22691086867.4964,14000774.1832916,58307588021.6645,23057108.962532,1056570663.25439,292373.540463014,1060236235.21731,307551.013134525,2428307651.73339,764501.173683326,4748375481.105297,12307687.7281894,35604193466.4399,1496810756.5479333,292373.540463014,3041950384.920279
Goat,Pastoral,Overall Male,Overall,Male,17942711386.3911,12307687.7281894,21907332064.9389,14000774.1832916,35210506235.4969,14380809.8935377,1056570663.25439,292373.540463014,1011348271.29797,299417.660731275,1024726376.8664,284884.303520919,3964620678.547798,12307687.7281894,13290866482.829813,1462589105.7666245,292373.540463014,2074987395.5484793
Sheep,Crop livestock mixed,Adult Combined,Adult,Overall,21629074899.2903,11054649.425266,24526542679.0486,11164779.6498996,43481820353.2563,17407917.7053913,819667131.180617,288636.520054449,779790364.615109,286512.51788065,3629418639.50513,1217871.21048576,2897467779.758301,11054649.425266,18944223024.782436,1131338684.3401172,288636.520054449,3889018021.1360035
Sheep,Crop livestock mixed,Adult Female,Adult,Female,21629074899.2903,11054649.425266,24526542679.0486,11164779.6498996,43481820353.2563,17407917.7053913,819667131.180617,288636.520054449,733530530.860239,286512.51788065,3629418639.50513,1217871.21048576,2897467779.758301,11054649.425266,18944223024.782436,1099964201.9820313,288636.520054449,3880007112.838601
Sheep,Crop livestock mixed,Adult Male,Adult,Male,21629074899.2903,11054649.425266,23033610538.2094,11048840.4664932,24435145014.7941,11062367.5690753,819667131.180617,288636.520054449,779790364.615109,282757.285779991,769421085.355224,278138.957912067,1404535638.9191017,11054649.425266,1390479827.1594355,1131338684.3401172,288636.520054449,1594926429.1880493
Sheep,Crop livestock mixed,Juvenile Combined,Juvenile,Overall,21629074899.2903,11054649.425266,24070837740.1329,11096648.6138278,24487560664.4485,11084812.0665239,819667131.180617,288636.520054449,777328414.720601,286683.806315677,772370425.673861,285784.094322684,2441762840.842602,11054649.425266,405668274.8903353,1129643160.5909476,288636.520054449,1595150160.3217266
Sheep,Crop livestock mixed,Juvenile Female,Juvenile,Female,21629074899.2903,11054649.425266,24070837740.1329,11096648.6138278,24487560664.4485,11047447.1879542,819667131.180617,288636.520054449,777328414.720601,286683.806315677,763432028.31437,279603.241967137,2441762840.842602,11054649.425266,405668274.8903353,1129643160.5909476,288636.520054449,1590841419.304577
Sheep,Crop livestock mixed,Juvenile Male,Juvenile,Male,21629074899.2903,11054649.425266,24070837740.1329,11096648.6138278,24070552729.3219,11084812.0665239,819667131.180617,288636.520054449,777328414.720601,286683.806315677,772370425.673861,285784.094322684,2441762840.842602,11054649.425266,-11339660.236266823,1129643160.5909476,288636.520054449,1595150160.3217266
