,Country,Region,ISO3-code,Tonnes2020,Tonnes2030,PCU (kg) 2020,PCU (kg) 2030,mgPCU_2020,mgPCU_2030
45,"China, mainland",Asia,CHN,32776.3,33253.42,1.57225E+11,1.57225E+11,208.4676755,211.5023102
46,"China, Taiwan Province of",Asia,TWN,6.4,6.08,57184238.77,57184238.77,111.9189507,106.3230032
54,Cyprus,Asia,CYP,48.4,40.22,206243626,206243626,234.673919,195.0120873
56,Democratic People's Republic of Korea,Asia,PRK,34.9,2.69,416742614.7,416742614.7,83.74473541,6.454823446
78,Georgia,Asia,GEO,23.8,23.11,288074417.1,288074417.1,82.61754113,80.2223267
96,India,Asia,IND,5234.2,5478.98,45812209079,45812209079,114.2533858,119.596503
97,Indonesia,Asia,IDN,2142.1,2458.87,24609294247,24609294247,87.04434912,99.91631516
98,Iran (Islamic Republic of),Asia,IRN,2332.8,2307.02,16047294379,16047294379,145.3703001,143.7637988
99,Iraq,Asia,IRQ,96.8,113.43,1725945625,1725945625,56.08519676,65.72049451
101,Israel,Asia,ISR,102.1,102.17,2000115544,2000115544,51.04705091,51.08204889
104,Japan,Asia,JPN,822.6,819.75,13100068046,13100068046,62.79356696,62.57601084
105,Jordan,Asia,JOR,27.6,25.82,672228614.9,672228614.9,41.05746079,38.40955209
106,Kazakhstan,Asia,KAZ,425.1,518.25,4786041867,4786041867,88.82078591,108.2836328
109,Kuwait,Asia,KWT,23.4,9.13,453684161.3,453684161.3,51.57773182,20.12413212
110,Kyrgyzstan,Asia,KGZ,118.4,119.65,1097518016,1097518016,107.8797781,109.0187115
111,Lao People's Democratic Republic,Asia,LAO,98.6,108.14,916500934.6,916500934.6,107.5830872,117.9922419
113,Lebanon,Asia,LBN,21.1,23.28,716594647.1,716594647.1,29.44481944,32.48698562
122,Malaysia,Asia,MYS,547.8,590.2,6049298228,6049298228,90.55595862,97.5650361
123,Maldives,Asia,MDV,1,1,0,0,NA,NA
134,Mongolia,Asia,MNG,652.2,503.07,2580034645,2580034645,252.7873032,194.9857538
139,Myanmar,Asia,MMR,1400,1692.99,15243837977,15243837977,91.84038837,111.0606136
142,Nepal,Asia,NPL,151.3,172.01,1471552943,1471552943,102.8165522,116.8901199
153,Occupied Palestinian Territory,Asia,PSE,9.2,1,97139739.65,97139739.65,94.70892174,10.29444802
154,Oman,Asia,OMN,17.4,6.26,231200678.4,231200678.4,75.25929474,27.07604512
155,Pakistan,Asia,PAK,2184.3,3142.6,21589664241,21589664241,101.1734122,145.5603925
161,Philippines,Asia,PHL,728.9,926.45,6265804136,6265804136,116.3298412,147.8581168
165,Qatar,Asia,QAT,7.4,2.91,137818620.4,137818620.4,53.69376054,21.11470853
167,Republic of Korea,Asia,KOR,895,907.63,7364200604,7364200604,121.5338973,123.2489511
180,Saudi Arabia,Asia,SAU,151.1,157.9,3552348807,3552348807,42.53523744,44.44946388
185,Singapore,Asia,SGP,15.1,15,234593226.3,234593226.3,64.36673488,63.94046511
192,Sri Lanka,Asia,LKA,65,81.41,857250124.4,857250124.4,75.82384435,94.96644874
198,Syrian Arab Republic,Asia,SYR,187.8,24.82,2110244139,2110244139,88.99444219,11.76167228
199,Tajikistan,Asia,TJK,140.4,133.58,1572195803,1572195803,89.30185396,84.96397188
200,Thailand,Asia,THA,2566.7,2883.94,7598792474,7598792474,337.777352,379.5260905
202,Timor-Leste,Asia,TLS,1,1,77680217.11,77680217.11,12.87329049,12.87329049
208,Turkey,Asia,TUR,1285.4,1329.73,18699907836,18699907836,68.73830669,71.10890661
209,Turkmenistan,Asia,TKM,187.4,225.39,1625578920,1625578920,115.2820067,138.6521425
214,United Arab Emirates,Asia,ARE,17.4,8.46,331815543.7,331815543.7,52.43877308,25.49609312
220,Uzbekistan,Asia,UZB,563.5,521.64,6771594134,6771594134,83.21526495,77.03355955
223,Viet Nam,Asia,VNM,1371.9,1913.2,11048712869,11048712869,124.1683096,173.1604416
226,Yemen,Asia,YEM,65.3,77.87,1247776689,1247776689,52.33308216,62.40700012
12,Australia,Australia & New Zealand,AUS,3609.5,4172.23,21867693675,21867693675,165.0608452,190.7942402
146,New Zealand,Australia & New Zealand,NZL,61.4,72.38,6141834640,6141834640,9.997012879,11.78475232
2,Albania,Europe,ALB,24.5,26.9,249580401.2,249580401.2,98.16475926,107.7808989
5,Andorra,Europe,AND,1,1,0,0,NA,NA
13,Austria,Europe,AUT,44.2,43.74,2527179041,2527179041,17.48985699,17.30783585
19,Belarus,Europe,BLR,276.8,298.72,3979744327,3979744327,69.55220668,75.0600982
20,Belgium,Europe,BEL,182.6,182.26,4549416310,4549416310,40.13701705,40.06228219
26,Bosnia and Herzegovina,Europe,BIH,33.6,36.7,491455635.9,491455635.9,68.36832777,74.67611991
31,Bulgaria,Europe,BGR,44.7,46.45,596468639.5,596468639.5,74.94107324,77.87500787
52,Croatia,Europe,HRV,22.7,22.69,634106312.7,634106312.7,35.79841353,35.7826433
55,Czechia,Europe,CZE,40.6,39.97,1597677494,1597677494,25.41188703,25.01756465
58,Denmark,Europe,DNK,89.7,93.11,4385971055,4385971055,20.45157136,21.22905027
67,Estonia,Europe,EST,6,5.88,256977291.9,256977291.9,23.34836653,22.8813992
70,Faroe Islands,Europe,FRO,1,1,3194794.615,3194794.615,313.0091666,313.0091666
72,Finland,Europe,FIN,9,8.99,1213476418,1213476418,7.416707788,7.408467001
73,France,Europe,FRA,409.8,411.8,18624107166,18624107166,22.00373937,22.11112706
79,Germany,Europe,DEU,695.2,697.8,19101028791,19101028791,36.39594535,36.53206367
81,Gibraltar,Europe,GBZ,1,1,0,0,NA,NA
82,Greece,Europe,GRC,108.8,112.69,1392398473,1392398473,78.13855168,80.93229217
92,Holy See,Europe,VAT,1,1,0,0,NA,NA
94,Hungary,Europe,HUN,136.4,138.66,2198676499,2198676499,62.03732112,63.06521222
95,Iceland,Europe,ISL,1,1,101728206.6,101728206.6,9.830115296,9.830115296
100,Ireland,Europe,IRL,114,119.28,5573160968,5573160968,20.45517807,21.40257579
102,Italy,Europe,ITA,696.6,693.51,9596004903,9596004903,72.59270989,72.27070088
112,Latvia,Europe,LVA,5,4.88,309438922.4,309438922.4,16.15827757,15.77047891
117,Liechtenstein,Europe,LIE,1,1,0,0,NA,NA
118,Lithuania,Europe,LTU,6.3,6.17,738841732.6,738841732.6,8.526859978,8.3509089
119,Luxembourg,Europe,LUX,1.8,1.69,146794585.5,146794585.5,12.26203265,11.51268621
125,Malta,Europe,MLT,1.8,1.64,31456831.88,31456831.88,57.22127412,52.13493864
133,Monaco,Europe,MCO,1,1,0,0,NA,NA
135,Montenegro,Europe,MNE,7.4,4.62,82038464.52,82038464.52,90.20159072,56.31504718
143,Netherlands,Europe,NLD,159.3,157.94,7646281518,7646281518,20.83365615,20.65579192
152,Norway,Europe,NOR,5,5.02,1152329957,1152329957,4.339034988,4.356391128
162,Poland,Europe,POL,892.2,909.5,12964557453,12964557453,68.81839224,70.15279953
163,Portugal,Europe,PRT,185.9,180.37,2128073616,2128073616,87.35600057,84.75740625
168,Republic of Moldova,Europe,MDA,19.1,27.92,370631503.8,370631503.8,51.53366565,75.33088718
169,Romania,Europe,ROU,184.5,186,3104900743,3104900743,59.4221894,59.90529663
170,Russian Federation,Europe,RUS,2203.6,2497.3,29148818663,29148818663,75.59826096,85.674141
178,San Marino,Europe,SMR,1,1,0,0,NA,NA
182,Serbia,Europe,SRB,71.4,11.22,1358535898,1358535898,52.55657955,8.258891073
186,Slovakia,Europe,SVK,11.9,11.84,552228713.4,552228713.4,21.54904247,21.44039184
187,Slovenia,Europe,SVN,6.6,5.87,515491386,515491386,12.80331773,11.38719319
191,Spain,Europe,ESP,1340.9,1385.98,17021302558,17021302558,78.77775484,81.4262008
196,Sweden,Europe,SWE,9.6,9.37,1770211918,1770211918,5.42307952,5.293151573
197,Switzerland,Europe,CHE,28.4,28,1439770984,1439770984,19.72535932,19.44753735
201,The former Yugoslav Republic of Macedonia,Europe,MKD,17.2,11.11,154446578.7,154446578.7,111.3653675,71.93425775
213,Ukraine,Europe,UKR,381.9,446.32,6595394116,6595394116,57.90404535,67.67146772
215,United Kingdom of Great Britain and Northern Ireland,Europe,GBR,226,224.65,14478835213,14478835213,15.60899041,15.51575087
23,Bermuda,Northern America,BMU,1,1,0,0,NA,NA
38,Canada,Northern America,CAN,1004.4,1084.78,16683520926,16683520926,60.20311926,65.0210471
83,Greenland,Northern America,GRL,1,1,0,0,NA,NA
175,Saint Pierre and Miquelon,Northern America,SPM,1,1,0,0,NA,NA
217,United States of America,Northern America,USA,5747.7,5911.62,1.87812E+11,1.87812E+11,30.60351803,31.47630692
4,American Samoa,Other Oceania,WSM,1,1,0,0,NA,NA
50,Cook Islands,Other Oceania,COK,1,1,37370.12309,37370.12309,26759.34456,26759.34456
71,Fiji,Other Oceania,FJI,9.3,10.22,119596217.4,119596217.4,77.76165669,85.45420768
75,French Polynesia,Other Oceania,PYF,1,1,2277044.653,2277044.653,439.16574,439.16574
86,Guam,Other Oceania,GUM,1,1,0,0,NA,NA
108,Kiribati,Other Oceania,KIR,1,1,0,0,NA,NA
126,Marshall Islands,Other Oceania,MHL,1,1,0,0,NA,NA
132,Micronesia (Federated States of),Other Oceania,FSM,1,1,6967086.216,6967086.216,143.532026,143.532026
141,Nauru,Other Oceania,NRU,1,1,0,0,NA,NA
145,New Caledonia,Other Oceania,NCL,3.5,3.53,31913568.27,31913568.27,109.6712211,110.6112601
150,Niue,Other Oceania,NIU,1,1,187012.7646,187012.7646,5347.22858,5347.22858
151,Northern Mariana Islands,Other Oceania,MNP,1,1,0,0,NA,NA
156,Palau,Other Oceania,PLW,1,1,0,0,NA,NA
158,Papua New Guinea,Other Oceania,PNG,33.7,42.83,238065378.6,238065378.6,141.5577528,179.9085623
177,Samoa,Other Oceania,WSM,1.2,1.42,23321703.59,23321703.59,51.45421712,60.88749026
188,Solomon Islands,Other Oceania,SLB,1.3,1.44,10985109.02,10985109.02,118.3420208,131.0865461
204,Tokelau,Other Oceania,TKL,1,1,0,0,NA,NA
205,Tonga,Other Oceania,TON,1.8,2.06,12193324.11,12193324.11,147.6217629,168.9449064
211,Tuvalu,Other Oceania,TUV,1,1,0,0,NA,NA
221,Vanuatu,Other Oceania,VUT,4.3,4.95,43093182.33,43093182.33,99.78376549,114.8673579
224,Wallis and Futuna Islands,Other Oceania,WLF,1,1,0,0,NA,NA
7,Anguilla,Southern Americas,AIA,1,1,0,0,NA,NA
8,Antigua and Barbuda,Southern Americas,ATG,1,1,2402661.852,2402661.852,416.2050516,416.2050516
9,Argentina,Southern Americas,ARG,1995.5,2207.72,31621474088,31621474088,63.10584998,69.81711206
11,Aruba,Southern Americas,ABW,1,1,0,0,NA,NA
15,Bahamas,Southern Americas,BHS,1.2,1.11,24419498.67,24419498.67,49.14105798,45.45547863
18,Barbados,Southern Americas,BRB,4,3.64,61021564.04,61021564.04,65.55059777,59.65104397
21,Belize,Southern Americas,BLZ,4.8,5.29,89026761.6,89026761.6,53.91637204,59.42033502
25,Bolivia (Plurinational State of),Southern Americas,BOL,456.9,591.93,6941471086,6941471086,65.82178249,85.27443141
28,Brazil,Southern Americas,BRA,10007.1,11285.8,1.77888E+11,1.77888E+11,56.25517306,63.44341839
29,British Virgin Islands,Southern Americas,VGB,1,1,0,0,NA,NA
39,Cayman Islands,Southern Americas,NA,1,1,0,0,NA,NA
42,Chile,Southern Americas,CHL,574.8,633.13,4825850323,4825850323,119.1085429,131.1955319
47,Colombia,Southern Americas,COL,925.5,1152.28,16669947991,16669947991,55.51906943,69.12319106
51,Costa Rica,Southern Americas,CRI,79.3,89.77,1223761442,1223761442,64.80021127,73.35580033
53,Cuba,Southern Americas,CUB,84.6,95.02,1197804751,1197804751,70.62920726,79.32845478
60,Dominica,Southern Americas,DMA,1,1,7187860.309,7187860.309,139.1234605,139.1234605
61,Dominican Republic,Southern Americas,DOM,110.1,122.91,2223668825,2223668825,49.51276861,55.27351853
62,Ecuador,Southern Americas,ECU,225.4,275.4,3636375972,3636375972,61.98478974,75.73474309
64,El Salvador,Southern Americas,SLV,28.5,32.77,621879365.4,621879365.4,45.82882402,52.69510748
69,Falkland Islands (Malvinas),Southern Americas,FLK,1,1,0,0,NA,NA
74,French Guiana,Southern Americas,GUF,1,1,0,0,NA,NA
84,Grenada,Southern Americas,GRD,1,1,4538590.958,4538590.958,220.3327,220.3327
85,Guadeloupe,Southern Americas,GLP,1,1,0,0,NA,NA
87,Guatemala,Southern Americas,GTM,154.2,180.57,2553425603,2553425603,60.38946262,70.71676567
90,Guyana,Southern Americas,GUY,11.3,12.9,244588084.5,244588084.5,46.20012468,52.74173525
91,Haiti,Southern Americas,HTI,36.6,37.2,597867313.7,597867313.7,61.21759654,62.2211637
93,Honduras,Southern Americas,HND,75.7,86.48,1624623106,1624623106,46.59542248,53.23080761
103,Jamaica,Southern Americas,JAM,20.2,23.34,435107041.9,435107041.9,46.42535757,53.64197255
127,Martinique,Southern Americas,MTQ,1,1,0,0,NA,NA
131,Mexico,Southern Americas,MEX,2215.4,2508.83,31345247309,31345247309,70.67738143,80.03860921
136,Montserrat,Southern Americas,MSR,1,1,0,0,NA,NA
144,Netherlands Antilles,Southern Americas,ANT,1,1,0,0,NA,NA
147,Nicaragua,Southern Americas,NIC,109.9,131.72,2237087905,2237087905,49.12636636,58.88011808
157,Panama,Southern Americas,PAN,69.4,80.08,1271921016,1271921016,54.56313648,62.95988428
159,Paraguay,Southern Americas,PRY,352.5,388.08,6503853412,6503853412,54.19863851,59.66924152
160,Peru,Southern Americas,PER,460.2,569.62,7088680134,7088680134,64.92040708,80.35628484
164,Puerto Rico,Southern Americas,PRI,5.7,5.6,113113466.1,113113466.1,50.39187814,49.50781011
173,Saint Kitts and Nevis,Southern Americas,KNA,1,1,2713408.768,2713408.768,368.5401225,368.5401225
174,Saint Lucia,Southern Americas,LCA,1.3,1.34,11718630.19,11718630.19,110.9344675,114.3478357
176,Saint Vincent and the Grenadines,Southern Americas,VCT,1,1,4174188.806,4174188.806,239.5675056,239.5675056
194,Suriname,Southern Americas,SUR,3.3,3.96,63692781.89,63692781.89,51.81120846,62.17345016
206,Trinidad and Tobago,Southern Americas,TTO,13.2,13.32,325332282.6,325332282.6,40.57390154,40.94275519
210,Turks and Caicos Islands,Southern Americas,TCA,1,1,0,0,NA,NA
218,United States Virgin Islands,Southern Americas,VIR,1,1,0,0,NA,NA
219,Uruguay,Southern Americas,URY,415.4,484.54,5660005010,5660005010,73.39216119,85.60769808
222,Venezuela (Bolivarian Republic of),Southern Americas,VEN,445.2,563.65,8210260562,8210260562,54.22483204,68.65190157
