"Animaux de boucherie : Abattage et Production"
""
"France entière";"FR - France entière"
""
"Source";"Agreste - Base de données nationale de l'identification française (BDNI)"
"notes";"- Unités utilisées : « Nombre d'animaux abattus en têtes »,  « Indicateurs de Volume en téc » et  « Poids moyen en kg carcasse/tête »"
""
"/Conjoncture animale 1";"/Conjoncture animale 2";"/Année de référence";"Total annuel/Nombre d'animaux abattus bruts";"Total annuel/Nombre d'animaux abattus CVJA";"Total annuel/Production indigène brute totale (PIB)";"Total annuel/Production indigène brute (PIB) d'animaux finis";"Total annuel/Solde des échanges d'animaux d'élevage (PIB)";"Total annuel/Production indigène brute totale (PIB) CVJA";"Total annuel/Production indigène brute (PIB) CVJA d'animaux finis";"Total annuel/Solde des échanges d'animaux d'élevage (PIB) CVJA";"Total annuel/Production indigène contrôlée totale (PIC) (nombre d'animaux)";"Total annuel/Production indigène contrôlée CVJA (PIC) (nombre d'animaux)";"Total annuel/Abattages bruts (volume)";"Total annuel/Abattages CVJA (volume)";"Total annuel/Production indigène brute (PIB) totale (volume)";"Total annuel/Production indigène brute (PIB) d'animaux finis (volume)";"Total annuel/Solde des échanges d'animaux d'élevage (PIB) (volume)";"Total annuel/Production indigène brute totale (PIB) CVJA (volume)";"Total annuel/Production indigène brute (PIB) CVJA d'animaux finis (volume)";"Total annuel/Solde des échanges d'animaux d'élevage (PIB) CVJA (volume)";"Total annuel/Production indigène contrôlée totale (PIC) (volume)";"Total annuel/Production indigène contrôlée CVJA (PIC) (volume)";"Total annuel/Poids moyen brut"
"Mammifères de type porcin";"Autres mammifères de type porcin, n.c.a. niv. 1";"2022";"89";"89";"993";"";"";"993";"";"";"";"";"4";"4";"257";"";"";"257";"";"";"";"";"44,9"
"Ovins";"";"2011";"4531104";"4538368";"4939164";"";"0";"4946429";"";"0";"4931883";"4939148";"85285";"85380";"89151";"";"0";"89243";"";"0";"89038";"89131";"18,8"
"Ovins";"";"2012";"4356329";"4352127";"4607421";"";"0";"4603220";"";"0";"4600849";"4596648";"82999";"82908";"84065";"";"0";"83975";"";"0";"83971";"83878";"19,1"
"Ovins";"";"2013";"4228065";"4237619";"4459968";"";"0";"4469522";"";"0";"4452364";"4461918";"79817";"79966";"80225";"";"0";"80374";"";"0";"80083";"80233";"18,9"
"Ovins";"";"2014";"4233736";"4235466";"4372452";"";"";"4374182";"";"";"4363678";"4365408";"80517";"80547";"80490";"";"";"80522";"";"";"80337";"80369";"19"
"Ovins";"";"2015";"4195280";"4189483";"4370189";"";"";"4364390";"";"";"4353912";"4348113";"80544";"80452";"80954";"";"";"80863";"";"";"80590";"80497";"19,2"
"Ovins";"";"2016";"4305505";"4293577";"4521072";"";"";"4509143";"";"";"4503179";"4491250";"82864";"82639";"83674";"";"";"83450";"";"";"83262";"83037";"19,2"
"Ovins";"";"2017";"4194847";"4202617";"4477649";"";"";"4485420";"";"";"4454868";"4462639";"80846";"80953";"82750";"";"";"82853";"";"";"82192";"82299";"19,3"
"Ovins";"";"2018";"4219268";"4218782";"4444314";"";"";"4443830";"";"";"4428926";"4428442";"81419";"81401";"82396";"";"";"82380";"";"";"82032";"82016";"19,3"
"Ovins";"";"2019";"4182352";"4181641";"4480266";"";"";"4479554";"";"";"4467546";"4466834";"80813";"80835";"82868";"";"";"82888";"";"";"82558";"82582";"19,3"
"Ovins";"";"2020";"4140627";"4137443";"4392218";"";"";"4389036";"";"";"4369256";"4366074";"80277";"80229";"82275";"";"";"82229";"";"";"81740";"81695";"19,4"
"Ovins";"";"2021";"4200089";"4188271";"4345715";"";"";"4333896";"";"";"4320444";"4308625";"81789";"81570";"82585";"";"";"82362";"";"";"82001";"81778";"19,5"
"Ovins";"";"2022";"1004394";"1014143";"641934";"";"";"674176";"";"";"640161";"672403";"19440";"19625";"11739";"";"";"12362";"";"";"11694";"12317";"19,4"
"Ovins";"Agneaux";"2011";"3958707";"3965909";"";"";"";"";"";"";"";"";"70486";"70581";"";"";"";"";"";"";"";"";"17,8"
"Ovins";"Agneaux";"2012";"3796118";"3792956";"";"";"";"";"";"";"";"";"68360";"68293";"";"";"";"";"";"";"";"";"18"
"Ovins";"Agneaux";"2013";"3662175";"3672328";"";"";"";"";"";"";"";"";"65271";"65441";"";"";"";"";"";"";"";"";"17,8"
"Ovins";"Agneaux";"2014";"3688342";"3689031";"";"";"";"";"";"";"";"";"66181";"66192";"";"";"";"";"";"";"";"";"17,9"
"Ovins";"Agneaux";"2015";"3646166";"3640678";"";"";"";"";"";"";"";"";"65990";"65908";"";"";"";"";"";"";"";"";"18,1"
"Ovins";"Agneaux";"2016";"3747993";"3737187";"";"";"";"";"";"";"";"";"68055";"67860";"";"";"";"";"";"";"";"";"18,2"
"Ovins";"Agneaux";"2017";"3622569";"3631607";"";"";"";"";"";"";"";"";"65735";"65872";"";"";"";"";"";"";"";"";"18,1"
"Ovins";"Agneaux";"2018";"3643552";"3643442";"";"";"";"";"";"";"";"";"66179";"66169";"";"";"";"";"";"";"";"";"18,2"
"Ovins";"Agneaux";"2019";"3627019";"3625758";"";"";"";"";"";"";"";"";"66244";"66250";"";"";"";"";"";"";"";"";"18,3"
"Ovins";"Agneaux";"2020";"3611797";"3607789";"";"";"";"";"";"";"";"";"66062";"65994";"";"";"";"";"";"";"";"";"18,3"
"Ovins";"Agneaux";"2021";"3672628";"3660944";"";"";"";"";"";"";"";"";"67458";"67244";"";"";"";"";"";"";"";"";"18,4"
"Ovins";"Agneaux";"2022";"896547";"905050";"";"";"";"";"";"";"";"";"16500";"16651";"";"";"";"";"";"";"";"";"18,4"
"Ovins";"Ovins de réforme";"2011";"572397";"572459";"";"";"";"";"";"";"";"";"14799";"14799";"";"";"";"";"";"";"";"";"25,9"
"Ovins";"Ovins de réforme";"2012";"560211";"559171";"";"";"";"";"";"";"";"";"14639";"14615";"";"";"";"";"";"";"";"";"26,1"
"Ovins";"Ovins de réforme";"2013";"565890";"565291";"";"";"";"";"";"";"";"";"14546";"14525";"";"";"";"";"";"";"";"";"25,7"
"Ovins";"Ovins de réforme";"2014";"545394";"546435";"";"";"";"";"";"";"";"";"14336";"14355";"";"";"";"";"";"";"";"";"26,3"
"Ovins";"Ovins de réforme";"2015";"549114";"548805";"";"";"";"";"";"";"";"";"14554";"14544";"";"";"";"";"";"";"";"";"26,5"
"Ovins";"Ovins de réforme";"2016";"557512";"556390";"";"";"";"";"";"";"";"";"14809";"14779";"";"";"";"";"";"";"";"";"26,6"
"Ovins";"Ovins de réforme";"2017";"572278";"571010";"";"";"";"";"";"";"";"";"15111";"15081";"";"";"";"";"";"";"";"";"26,4"
"Ovins";"Ovins de réforme";"2018";"575716";"575340";"";"";"";"";"";"";"";"";"15240";"15232";"";"";"";"";"";"";"";"";"26,5"
"Ovins";"Ovins de réforme";"2019";"555333";"555883";"";"";"";"";"";"";"";"";"14569";"14585";"";"";"";"";"";"";"";"";"26,2"
"Ovins";"Ovins de réforme";"2020";"528830";"529654";"";"";"";"";"";"";"";"";"14215";"14235";"";"";"";"";"";"";"";"";"26,9"
"Ovins";"Ovins de réforme";"2021";"527461";"527327";"";"";"";"";"";"";"";"";"14331";"14326";"";"";"";"";"";"";"";"";"27,2"
"Ovins";"Ovins de réforme";"2022";"107847";"109093";"";"";"";"";"";"";"";"";"2940";"2974";"";"";"";"";"";"";"";"";"27,3"
"Caprins";"";"2011";"857393";"863966";"853116";"";"0";"859686";"";"0";"852420";"858990";"7328";"7376";"7370";"";"0";"7417";"";"0";"7362";"7410";"8,5"
"Caprins";"";"2012";"826817";"823840";"835549";"";"0";"832574";"";"0";"833245";"830270";"7166";"7160";"7312";"";"0";"7303";"";"0";"7274";"7265";"8,7"
"Caprins";"";"2013";"760193";"779119";"769865";"";"0";"788792";"";"0";"767493";"786420";"6489";"6604";"6608";"";"0";"6720";"";"0";"6569";"6682";"8,5"
"Caprins";"";"2014";"718598";"717796";"730603";"";"";"729799";"";"";"728212";"727408";"6222";"6212";"6340";"";"";"6330";"";"";"6305";"6296";"8,7"
"Caprins";"";"2015";"705906";"708457";"717935";"";"";"720484";"";"";"713487";"716036";"6228";"6236";"6396";"";"";"6405";"";"";"6307";"6315";"8,8"
"Caprins";"";"2016";"728775";"717813";"737416";"";"";"726454";"";"";"733024";"722062";"6455";"6402";"6558";"";"";"6505";"";"";"6482";"6430";"8,9"
"Caprins";"";"2017";"680224";"688356";"688541";"";"";"696671";"";"";"682863";"690993";"6081";"6139";"6203";"";"";"6260";"";"";"6119";"6176";"8,9"
