Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H3,2009,2009,2009,6,1,1,Import,348,Hungary,HUN,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,445068,,,,12612200,,37037000,,,2
H3,2009,2009,2009,6,1,2,Export,348,Hungary,HUN,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,,,,,8255400,,27804000,,,0
H3,2009,2009,2009,6,1,1,Import,372,Ireland,IRL,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,12,,,,332,,975,,,0
H3,2009,2009,2009,6,1,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,65971,,,,1705467,,5836988,,,0
H3,2009,2009,2009,6,1,1,Import,376,Israel,ISR,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,4,,,,2767,,8000,,,4
H3,2009,2009,2009,6,1,1,Import,381,Italy,ITA,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,466865,,,,15016413,,43419591,,,4
H3,2009,2009,2009,6,1,2,Export,381,Italy,ITA,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,8561,,,,496706,,1290953,,,4
H3,2009,2009,2009,6,1,1,Import,392,Japan,JPN,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,40,,,,22252,,64342,,,4
H3,2009,2009,2009,6,1,1,Import,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,68,,,,45,,5674,,,2
H3,2009,2009,2009,6,1,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",1,No Quantity,,,,,1240,,770000,,,0
H3,2009,2009,2009,6,1,2,Export,428,Latvia,LVA,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,26121,,,,737150,,1628822,,,0
H3,2009,2009,2009,6,1,2,Export,440,Lithuania,LTU,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,138799,,,,3435043,,9750218,,,0
H3,2009,2009,2009,6,1,1,Import,442,Luxembourg,LUX,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,85495,,,,2488992,,6301994,,,0
H3,2009,2009,2009,6,1,2,Export,442,Luxembourg,LUX,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,14629,,,,359870,,909843,,,0
H3,2009,2009,2009,6,1,1,Import,446,"China, Macao SAR",MAC,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,36,,,,3400,,8564,,,0
H3,2009,2009,2009,6,1,1,Import,454,Malawi,MWI,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,3479,,,,3695,,39208,,,0
H3,2009,2009,2009,6,1,1,Import,498,Rep. of Moldova,MDA,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,56159,,,,1189910,,3917268,,,0
H3,2009,2009,2009,6,1,1,Import,499,Montenegro,MNE,0,World,WLD,,,,,,,,010391,"Live swine other than pure-bred breeding animals, weighing < 50kg",5,Number of items,12277,,,,599374,,1021630,,,2
