Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,Total Rejection,Fever/Septicaemia/Toxaemia,2020-09,England,51,653925,84,0.008
Pigs,Total Rejection,Fever/Septicaemia/Toxaemia,2020-07,Wales,1,2216,9,0.045
Pigs,Total Rejection,Jaundice,2020-07,England,54,573524,87,0.009
Pigs,Total Rejection,Jaundice,2020-08,England,54,531569,86,0.01
Pigs,Total Rejection,Jaundice,2020-09,England,59,653925,84,0.009
Pigs,Total Rejection,Other,2020-07,England,57,573524,87,0.01
Pigs,Total Rejection,Other,2020-08,England,56,531569,86,0.011
Pigs,Total Rejection,Other,2020-09,England,65,653925,84,0.01
Pigs,Total Rejection,Polyarthritis,2020-07,England,123,573524,87,0.021
Pigs,Total Rejection,Polyarthritis,2020-08,England,113,531569,86,0.021
Pigs,Total Rejection,Polyarthritis,2020-09,England,190,653925,84,0.029
Pigs,Total Rejection,Processing Fault,2020-07,England,210,573524,87,0.037
Pigs,Total Rejection,Processing Fault,2020-08,England,328,531569,86,0.062
Pigs,Total Rejection,Processing Fault,2020-09,England,307,653925,84,0.047
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2020-07,England,662,573524,87,0.115
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2020-08,England,592,531569,86,0.111
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2020-09,England,688,653925,84,0.105
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2020-07,Wales,2,2216,9,0.09
Pigs,Total Rejection,Pyaemia/Multiple Abscess,2020-08,Wales,1,2299,9,0.043
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2020-07,England,441,573524,87,0.077
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2020-08,England,383,531569,86,0.072
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2020-09,England,464,653925,84,0.071
Pigs,Total Rejection,Pyaemia/Multiple Abscess - Tail Bite,2020-09,Wales,1,2603,9,0.038
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2020-07,England,365,573524,87,0.064
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2020-08,England,270,531569,86,0.051
Pigs,Total Rejection,Septic Peritonitis & Pleurisy,2020-09,England,335,653925,84,0.051
Pigs,Total Rejection,Septic Pleurisy,2020-07,England,66,573524,87,0.012
Pigs,Total Rejection,Septic Pleurisy,2020-08,England,71,531569,86,0.013
Pigs,Total Rejection,Septic Pleurisy,2020-09,England,59,653925,84,0.009
Wild Boar,Conditions,Contamination,2020-08,England,3,5,2,60
