Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,Offal,Contamination,2019-05,Wales,11,1971,10,0.558
Pigs,Offal,Contamination,2019-06,Wales,4,2337,11,0.171
Pigs,Offal,Endocarditis,2019-04,England,116,533604,98,0.022
Pigs,Offal,Endocarditis,2019-05,England,104,589233,98,0.018
Pigs,Offal,Endocarditis,2019-06,England,78,511153,97,0.015
Pigs,Offal,Endocarditis,2019-04,Wales,10,2335,10,0.428
Pigs,Offal,Endocarditis,2019-05,Wales,2,1971,10,0.101
Pigs,Offal,Kidney Lesions ,2019-04,England,11221,533604,98,2.103
Pigs,Offal,Kidney Lesions ,2019-05,England,13890,589233,98,2.357
Pigs,Offal,Kidney Lesions ,2019-06,England,12104,511153,97,2.368
Pigs,Offal,Kidney Lesions ,2019-04,Wales,39,2335,10,1.67
Pigs,Offal,Kidney Lesions ,2019-05,Wales,38,1971,10,1.928
Pigs,Offal,Kidney Lesions ,2019-06,Wales,22,2337,11,0.941
Pigs,Offal,Milk Spot,2019-04,England,11088,533604,98,2.078
Pigs,Offal,Milk Spot,2019-05,England,14346,589233,98,2.435
Pigs,Offal,Milk Spot,2019-06,England,11467,511153,97,2.243
Pigs,Offal,Milk Spot,2019-04,Wales,432,2335,10,18.501
Pigs,Offal,Milk Spot,2019-05,Wales,377,1971,10,19.127
Pigs,Offal,Milk Spot,2019-06,Wales,470,2337,11,20.111
Pigs,Offal,Other,2019-04,England,17470,533604,98,3.274
Pigs,Offal,Other,2019-05,England,25506,589233,98,4.329
Pigs,Offal,Other,2019-06,England,23916,511153,97,4.679
Pigs,Offal,Other,2019-04,Wales,21,2335,10,0.899
Pigs,Offal,Other,2019-05,Wales,76,1971,10,3.856
Pigs,Offal,Other,2019-06,Wales,38,2337,11,1.626
Pigs,Offal,Pericarditis,2019-04,England,21836,533604,98,4.092
Pigs,Offal,Pericarditis,2019-05,England,26290,589233,98,4.462
Pigs,Offal,Pericarditis,2019-06,England,20904,511153,97,4.09
Pigs,Offal,Pericarditis,2019-04,Wales,57,2335,10,2.441
Pigs,Offal,Pericarditis,2019-05,Wales,48,1971,10,2.435
Pigs,Offal,Pericarditis,2019-06,Wales,56,2337,11,2.396
Pigs,Offal,Peritonitis,2019-04,England,9881,533604,98,1.852
Pigs,Offal,Peritonitis,2019-05,England,10900,589233,98,1.85
Pigs,Offal,Peritonitis,2019-06,England,9826,511153,97,1.922
Pigs,Offal,Peritonitis,2019-04,Wales,9,2335,10,0.385
Pigs,Offal,Peritonitis,2019-05,Wales,5,1971,10,0.254
Pigs,Offal,Peritonitis,2019-06,Wales,7,2337,11,0.3
Pigs,Offal,Pleurisy visceral,2019-04,England,15343,533604,98,2.875
Pigs,Offal,Pleurisy visceral,2019-05,England,16662,589233,98,2.828
Pigs,Offal,Pleurisy visceral,2019-06,England,14662,511153,97,2.868
Pigs,Offal,Pleurisy visceral,2019-04,Wales,22,2335,10,0.942
Pigs,Offal,Pleurisy visceral,2019-05,Wales,28,1971,10,1.421
Pigs,Offal,Pleurisy visceral,2019-06,Wales,14,2337,11,0.599
Pigs,Offal,Pneumonia – Mild,2019-04,England,25386,533604,98,4.757
Pigs,Offal,Pneumonia – Mild,2019-05,England,29007,589233,98,4.923
Pigs,Offal,Pneumonia – Mild,2019-06,England,25715,511153,97,5.031
Pigs,Offal,Pneumonia – Mild,2019-04,Wales,285,2335,10,12.206
Pigs,Offal,Pneumonia – Mild,2019-05,Wales,334,1971,10,16.946
