Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Pigs,Offal,Pericarditis,2018-08,Wales,59,2400,12,2.458
Pigs,Offal,Pericarditis,2018-09,Wales,72,2319,11,3.105
Pigs,Offal,Peritonitis,2018-07,England,7479,320195,98,2.336
Pigs,Offal,Peritonitis,2018-08,England,9434,449375,98,2.099
Pigs,Offal,Peritonitis,2018-09,England,7784,384442,98,2.025
Pigs,Offal,Peritonitis,2018-07,Wales,10,2512,11,0.398
Pigs,Offal,Peritonitis,2018-08,Wales,3,2400,12,0.125
Pigs,Offal,Peritonitis,2018-09,Wales,8,2319,11,0.345
Pigs,Offal,Pleurisy visceral,2018-07,England,13770,320195,98,4.301
Pigs,Offal,Pleurisy visceral,2018-08,England,14730,449375,98,3.278
Pigs,Offal,Pleurisy visceral,2018-09,England,11358,384442,98,2.954
Pigs,Offal,Pleurisy visceral,2018-07,Wales,41,2512,11,1.632
Pigs,Offal,Pleurisy visceral,2018-08,Wales,6,2400,12,0.25
Pigs,Offal,Pleurisy visceral,2018-09,Wales,23,2319,11,0.992
Pigs,Offal,Pneumonia ? Mild,2018-07,England,23268,320195,98,7.267
Pigs,Offal,Pneumonia ? Mild,2018-08,England,26190,449375,98,5.828
Pigs,Offal,Pneumonia ? Mild,2018-09,England,23335,384442,98,6.07
Pigs,Offal,Pneumonia ? Mild,2018-07,Wales,252,2512,11,10.032
Pigs,Offal,Pneumonia ? Mild,2018-08,Wales,376,2400,12,15.667
Pigs,Offal,Pneumonia ? Mild,2018-09,Wales,208,2319,11,8.969
Pigs,Offal,Pneumonia ? Severe,2018-07,England,7983,320195,98,2.493
Pigs,Offal,Pneumonia ? Severe,2018-08,England,10857,449375,98,2.416
Pigs,Offal,Pneumonia ? Severe,2018-09,England,9264,384442,98,2.41
Pigs,Offal,Pneumonia ? Severe,2018-07,Wales,20,2512,11,0.796
Pigs,Offal,Pneumonia ? Severe,2018-08,Wales,23,2400,12,0.958
Pigs,Offal,Pneumonia ? Severe,2018-09,Wales,48,2319,11,2.07
Pigs,Offal,Pneumonia Mycoplasma Like,2018-07,England,7,320195,98,0.002
Pigs,Total Rejection,Anaemia,2018-07,England,12,320195,98,0.004
Pigs,Total Rejection,Anaemia,2018-08,England,24,449375,98,0.005
Pigs,Total Rejection,Anaemia,2018-09,England,17,384442,98,0.004
Pigs,Total Rejection,Badly Bled,2018-07,England,7,320195,98,0.002
Pigs,Total Rejection,Badly Bled,2018-08,England,13,449375,98,0.003
Pigs,Total Rejection,Badly Bled,2018-09,England,4,384442,98,0.001
Pigs,Total Rejection,Contamination,2018-07,England,14,320195,98,0.004
Pigs,Total Rejection,Contamination,2018-08,England,18,449375,98,0.004
Pigs,Total Rejection,Contamination,2018-09,England,21,384442,98,0.005
Pigs,Total Rejection,Cysticercosis,2018-08,England,2,449375,98,0
Pigs,Total Rejection,Emaciation/Generalised Oedema,2018-07,England,57,320195,98,0.018
Pigs,Total Rejection,Emaciation/Generalised Oedema,2018-08,England,58,449375,98,0.013
Pigs,Total Rejection,Emaciation/Generalised Oedema,2018-09,England,53,384442,98,0.014
Pigs,Total Rejection,Fever/Septicaemia/Toxaemia,2018-07,England,35,320195,98,0.011
Pigs,Total Rejection,Fever/Septicaemia/Toxaemia,2018-08,England,25,449375,98,0.006
Pigs,Total Rejection,Fever/Septicaemia/Toxaemia,2018-09,England,32,384442,98,0.008
Pigs,Total Rejection,Fever/Septicaemia/Toxaemia,2018-07,Wales,1,2512,11,0.04
Pigs,Total Rejection,Jaundice,2018-07,England,10,320195,98,0.003
